rewardType	levelRangeId	dayRangeId	rewardItems
奖励类型	等级区段ID	天数区段ID	奖励
1	1	1	[(26044,1),(26267,1),(27566,1)]
1	2	1	[(26044,1),(26267,1),(27566,1)]
1	3	1	[(28034,1),(26043,10),(27167,1)]
1	1	2	[(26026,1),(26227,1),(27566,3)]
1	2	2	[(26026,1),(26227,1),(27566,3)]
1	3	2	[(28035,1),(26043,20),(27167,3)]
1	1	3	[(26224,1),(26228,1),(27566,5)]
1	2	3	[(26224,1),(26228,1),(27566,5)]
1	3	3	[(28030,1),(26043,30),(27167,5)]
2	1	1	[(26026,1),(26227,1),(27566,3)]
2	2	1	[(26026,1),(26227,1),(27566,3)]
2	3	1	[(28035,1),(27587,20),(26304,10)]
2	1	2	[(26224,1),(26228,1),(27566,5)]
2	2	2	[(26224,1),(26228,1),(27566,5)]
2	3	2	[(28030,1),(26479,10),(26304,20)]
2	1	3	[(26225,1),(26229,1),(27566,10)]
2	2	3	[(26225,1),(26229,1),(27566,10)]
2	3	3	[(28031,1),(26479,15),(26304,30)]
3	1	1	[(26225,1),(26229,1),(27566,5)]
3	2	1	[(26225,1),(26229,1),(27566,5)]
3	3	1	[(28031,1),(26298,10),(27709,1)]
3	1	2	[(26226,1),(26230,1),(27566,10)]
3	2	2	[(26226,1),(26230,1),(27566,10)]
3	3	2	[(28032,1),(26298,15),(27710,1)]
3	1	3	[(26928,1),(26930,1),(27566,15)]
3	2	3	[(26928,1),(26930,1),(27566,15)]
3	3	3	[(28042,1),(26298,20),(27711,1)]
