rewardType	items	weight	show	isRumor
奖励类型(1:普通奖励，2:高级奖励，3:珍惜奖励)	物品	抽奖权重	是否展示物品(1:展示，0:不展示)	是否广播（广播的都记录）
3	(29459,1)	0	1	0
3	(28973,1)	1	1	1
3	(28971,1)	1	1	1
3	(29461,2)	300	0	0
3	(29461,5)	315	0	1
3	(29461,8)	100	0	1
3	(29461,10)	85	1	1
3	(29460,2)	300	0	0
3	(29460,5)	315	0	1
3	(29460,8)	100	0	1
3	(29460,10)	85	1	1
3	(27566,5)	2000	0	0
3	(27566,8)	800	0	0
3	(27566,10)	400	0	0
3	(27622,1)	1000	0	0
3	(27623,1)	400	0	0
3	(27624,1)	160	0	0
3	(27625,1)	40	0	0
3	(27519,1)	1000	0	0
3	(27520,1)	400	0	0
3	(27521,1)	160	0	0
3	(27618,1)	40	1	0
2	(29461,2)	200	0	0
2	(29461,4)	200	0	0
2	(29461,6)	80	0	1
2	(29461,10)	40	0	1
2	(29460,2)	200	0	0
2	(29460,4)	200	0	0
2	(29460,6)	80	0	1
2	(29460,10)	40	0	1
2	(25600,12)	1000	0	0
2	(25600,20)	500	0	0
2	(25600,30)	200	0	0
2	(27566,1)	1000	0	0
2	(27566,2)	500	0	0
2	(27566,5)	100	0	0
2	(27518,1)	565	0	0
2	(27519,1)	280	0	0
2	(27623,1)	112	1	0
2	(27621,1)	565	0	0
2	(27622,1)	280	0	0
2	(27520,1)	112	1	0
2	(26042,1)	400	0	0
1	(25600,5)	600	0	0
1	(25600,10)	160	0	0
1	(27566,1)	40	1	0
1	(25600,15)	40	1	0
1	(27516,1)	200	0	0
1	(27517,1)	80	0	0
1	(29416,1)	200	0	0
1	(29417,1)	80	0	0
1	(26344,2)	300	0	0
1	(26342,2)	300	0	0
1	(26343,2)	300	0	0
