rank	minLevel	maxLevel	rewardMoney	rewardBindRMB	rewardExp	rewardItem	rewardShow
伤害排名	最小等级	最大等级	金币	魔晶	经验	奖励物品(物品ID，个数）	奖励展示，前端用
(1,1)	30	39	500000	0	0	[(25681,300)]	[(25828,500000),(25681,300)]
(2,2)	30	39	400000	0	0	[(25681,240)]	[(25828,400000),(25681,240)]
(3,3)	30	39	300000	0	0	[(25681,180)]	[(25828,300000),(25681,180)]
(4,4)	30	39	250000	0	0	[(25681,150)]	[(25828,250000),(25681,150)]
(5,5)	30	39	200000	0	0	[(25681,120)]	[(25828,200000),(25681,120)]
(6,7)	30	39	150000	0	0	[(25681,90)]	[(25828,150000),(25681,90)]
(8,10)	30	39	100000	0	0	[(25681,60)]	[(25828,100000),(25681,60)]
(11,20)	30	39	50000	0	0	[(25681,30)]	[(25828,50000),(25681,30)]
(21,999)	30	39	25000	0	0	[(25681,15)]	[(25828,25000),(25681,15)]
(1,1)	40	59	1000000	0	0	[(25682,300),(25661,60)]	[(25828,1000000),(25682,300),(25661,60)]
(2,2)	40	59	800000	0	0	[(25682,240),(25661,48)]	[(25828,800000),(25682,240),(25661,48)]
(3,3)	40	59	600000	0	0	[(25682,180),(25661,36)]	[(25828,600000),(25682,180),(25661,36)]
(4,4)	40	59	500000	0	0	[(25682,150),(25661,30)]	[(25828,500000),(25682,150),(25661,30)]
(5,5)	40	59	400000	0	0	[(25682,120),(25661,24)]	[(25828,400000),(25682,120),(25661,24)]
(6,7)	40	59	300000	0	0	[(25682,90),(25661,18)]	[(25828,300000),(25682,90),(25661,18)]
(8,10)	40	59	200000	0	0	[(25682,60),(25661,12)]	[(25828,200000),(25682,60),(25661,12)]
(11,20)	40	59	100000	0	0	[(25682,30),(25661,8)]	[(25828,100000),(25682,30),(25661,8)]
(21,999)	40	59	50000	0	0	[(25682,15),(25661,5)]	[(25828,50000),(25682,15),(25661,5)]
(1,1)	60	79	2000000	0	0	[(25683,300),(25662,60)]	[(25828,2000000),(25683,300),(25662,60)]
(2,2)	60	79	1600000	0	0	[(25683,240),(25662,48)]	[(25828,1600000),(25683,240),(25662,48)]
(3,3)	60	79	1200000	0	0	[(25683,180),(25662,36)]	[(25828,1200000),(25683,180),(25662,36)]
(4,4)	60	79	1000000	0	0	[(25683,150),(25662,30)]	[(25828,1000000),(25683,150),(25662,30)]
(5,5)	60	79	800000	0	0	[(25683,120),(25662,24)]	[(25828,800000),(25683,120),(25662,24)]
(6,7)	60	79	600000	0	0	[(25683,90),(25662,18)]	[(25828,600000),(25683,90),(25662,18)]
(8,10)	60	79	400000	0	0	[(25683,60),(25662,12)]	[(25828,400000),(25683,60),(25662,12)]
(11,20)	60	79	200000	0	0	[(25683,30),(25662,8)]	[(25828,200000),(25683,30),(25662,8)]
(21,999)	60	79	100000	0	0	[(25683,15),(25662,5)]	[(25828,100000),(25683,15),(25662,5)]
(1,1)	80	99	3000000	0	0	[(25684,300),(25663,60)]	[(25828,3000000),(25684,300),(25663,60)]
(2,2)	80	99	2400000	0	0	[(25684,240),(25663,48)]	[(25828,2400000),(25684,240),(25663,48)]
(3,3)	80	99	1800000	0	0	[(25684,180),(25663,36)]	[(25828,1800000),(25684,180),(25663,36)]
(4,4)	80	99	1500000	0	0	[(25684,150),(25663,30)]	[(25828,1500000),(25684,150),(25663,30)]
(5,5)	80	99	1200000	0	0	[(25684,120),(25663,24)]	[(25828,1200000),(25684,120),(25663,24)]
(6,7)	80	99	900000	0	0	[(25684,90),(25663,18)]	[(25828,900000),(25684,90),(25663,18)]
(8,10)	80	99	600000	0	0	[(25684,60),(25663,12)]	[(25828,600000),(25684,60),(25663,12)]
(11,20)	80	99	300000	0	0	[(25684,30),(25663,8)]	[(25828,300000),(25684,30),(25663,8)]
(21,999)	80	99	150000	0	0	[(25684,15),(25663,5)]	[(25828,150000),(25684,15),(25663,5)]
