rank	minLevel	maxLevel	rewardMoney	rewardBindRMB	rewardExp	rewardItem
排名	最小等级	最大等级	金币	魔晶	经验	奖励物品(物品ID，个数）
1	30	39	0	0	0	[(25681,30)]
1	40	59	0	0	0	[(25682,30)]
1	60	79	0	0	0	[(25683,30)]
1	80	99	0	0	0	[(25684,30)]
1	100	119	0	0	0	[(25685,30)]
1	120	139	0	0	0	[(25686,30)]
1	140	159	0	0	0	[(26607,30)]
1	160	179	0	0	0	[(27066,30)]
2	30	39	0	0	0	[(25681,20)]
2	40	59	0	0	0	[(25682,20)]
2	60	79	0	0	0	[(25683,20)]
2	80	99	0	0	0	[(25684,20)]
2	100	119	0	0	0	[(25685,20)]
2	120	139	0	0	0	[(25686,20)]
2	140	159	0	0	0	[(26607,20)]
2	160	179	0	0	0	[(27066,20)]
3	30	39	0	0	0	[(25681,10)]
3	40	59	0	0	0	[(25682,10)]
3	60	79	0	0	0	[(25683,10)]
3	80	99	0	0	0	[(25684,10)]
3	100	119	0	0	0	[(25685,10)]
3	120	139	0	0	0	[(25686,10)]
3	140	159	0	0	0	[(26607,10)]
3	160	179	0	0	0	[(27066,10)]
