qinmiLevel	paiXu	needQinmi	nextLevel	maxLevel	needQinmiGrade	maxhp	defense_m	attack_m	defense_p	attack_p	crit	critpress	parry	puncture	xianshi
亲密等级	升星排序	升级需要亲密度	下一级	最高级	需要亲密品阶	生命	法防	法攻	物防	物攻	暴击	免暴	格挡	破挡	显示属性（客户端用）
0	(0,0,0,0,0)	75	1	500	0	0	0	0	0	0	0	0	0	0	
1	(1,0,0,0,0)	75	2	500	0	90	0	0	0	0	0	0	0	0	maxhp
2	(1,1,0,0,0)	75	3	500	0	90	30	0	0	0	0	0	0	0	defense_m
3	(1,1,1,0,0)	75	4	500	0	90	30	30	0	0	0	0	0	0	attack_m
4	(1,1,1,1,0)	75	5	500	0	90	30	30	30	0	0	0	0	0	defense_p
5	(1,1,1,1,1)	85	6	500	0	90	30	30	30	30	0	0	0	0	attack_p
6	(2,1,1,1,1)	85	7	500	0	180	30	30	30	30	0	0	0	0	maxhp
7	(2,2,1,1,1)	85	8	500	0	180	60	30	30	30	0	0	0	0	defense_m
8	(2,2,2,1,1)	85	9	500	0	180	60	60	30	30	0	0	0	0	attack_m
9	(2,2,2,2,1)	85	10	500	0	180	60	60	60	30	0	0	0	0	defense_p
10	(2,2,2,2,2)	99	11	500	0	180	60	60	60	60	0	0	0	0	attack_p
11	(3,2,2,2,2)	99	12	500	0	270	60	60	60	60	0	0	0	0	maxhp
12	(3,3,2,2,2)	99	13	500	0	270	90	60	60	60	0	0	0	0	defense_m
13	(3,3,3,2,2)	99	14	500	0	270	90	90	60	60	0	0	0	0	attack_m
14	(3,3,3,3,2)	99	15	500	0	270	90	90	90	60	0	0	0	0	defense_p
15	(3,3,3,3,3)	119	16	500	0	270	90	90	90	90	0	0	0	0	attack_p
16	(4,3,3,3,3)	119	17	500	0	360	90	90	90	90	0	0	0	0	maxhp
17	(4,4,3,3,3)	119	18	500	0	360	120	90	90	90	0	0	0	0	defense_m
18	(4,4,4,3,3)	119	19	500	0	360	120	120	90	90	0	0	0	0	attack_m
19	(4,4,4,4,3)	119	20	500	0	360	120	120	120	90	0	0	0	0	defense_p
20	(4,4,4,4,4)	145	21	500	0	360	120	120	120	120	0	0	0	0	attack_p
21	(5,4,4,4,4)	145	22	500	0	450	120	120	120	120	0	0	0	0	maxhp
22	(5,5,4,4,4)	145	23	500	0	450	150	120	120	120	0	0	0	0	defense_m
23	(5,5,5,4,4)	145	24	500	0	450	150	150	120	120	0	0	0	0	attack_m
24	(5,5,5,5,4)	145	25	500	0	450	150	150	150	120	0	0	0	0	defense_p
25	(5,5,5,5,5)	176	26	500	0	450	150	150	150	150	0	0	0	0	attack_p
26	(6,5,5,5,5)	176	27	500	0	540	150	150	150	150	0	0	0	0	maxhp
27	(6,6,5,5,5)	176	28	500	0	540	180	150	150	150	0	0	0	0	defense_m
28	(6,6,6,5,5)	176	29	500	0	540	180	180	150	150	0	0	0	0	attack_m
29	(6,6,6,6,5)	176	30	500	0	540	180	180	180	150	0	0	0	0	defense_p
30	(6,6,6,6,6)	214	31	500	0	540	180	180	180	180	0	0	0	0	attack_p
31	(7,6,6,6,6)	214	32	500	0	630	180	180	180	180	0	0	0	0	maxhp
32	(7,7,6,6,6)	214	33	500	0	630	210	180	180	180	0	0	0	0	defense_m
33	(7,7,7,6,6)	214	34	500	0	630	210	210	180	180	0	0	0	0	attack_m
34	(7,7,7,7,6)	214	35	500	0	630	210	210	210	180	0	0	0	0	defense_p
35	(7,7,7,7,7)	258	36	500	0	630	210	210	210	210	0	0	0	0	attack_p
36	(8,7,7,7,7)	258	37	500	0	720	210	210	210	210	0	0	0	0	maxhp
37	(8,8,7,7,7)	258	38	500	0	720	240	210	210	210	0	0	0	0	defense_m
38	(8,8,8,7,7)	258	39	500	0	720	240	240	210	210	0	0	0	0	attack_m
39	(8,8,8,8,7)	258	40	500	0	720	240	240	240	210	0	0	0	0	defense_p
40	(8,8,8,8,8)	306	41	500	0	720	240	240	240	240	0	0	0	0	attack_p
41	(9,8,8,8,8)	306	42	500	0	810	240	240	240	240	0	0	0	0	maxhp
42	(9,9,8,8,8)	306	43	500	0	810	270	240	240	240	0	0	0	0	defense_m
43	(9,9,9,8,8)	306	44	500	0	810	270	270	240	240	0	0	0	0	attack_m
