skillID	skillType	skillLevel	maxLevel	name	needSkillPointType	needSkillPoint	skillPointInterval	nextSkillID	iskillPointIcon	iskillIcon	iskillDes
技能ID(唯一标识)	技能类型(对应脚本里skill_id)	技能等级	最大等级	名字(策划用)	需要技能点类型	需要技能点	技能点区间(客户端用)	升级后技能ID	技能点图标	被动技能图标	被动技能描述
1	700	1	5	冰封	1	100	(0,219)	2	Pub_Icon_MFZ_BF	MFZ_MLJN_BF	#C(#ffffff)攻击有#C(#00BC00)15%#n概率触发冰封，将敌方冰封住，持续#C(#00BC00)2#n回合不能出手释放任何技能。#n
2	700	2	5	冰封	1	220	(220,341)	3	Pub_Icon_MFZ_BF	MFZ_MLJN_BF	#C(#ffffff)攻击有#C(#00BC00)22.5%#n概率触发冰封，将敌方冰封住，持续#C(#00BC00)2#n回合不能出手释放任何技能。#n
3	700	3	5	冰封	1	342	(342,519)	4	Pub_Icon_MFZ_BF	MFZ_MLJN_BF	#C(#ffffff)攻击有#C(#00BC00)30%#n概率触发冰封，将敌方冰封住，持续#C(#00BC00)2#n回合不能出手释放任何技能。#n
4	700	4	5	冰封	1	520	(520,679)	5	Pub_Icon_MFZ_BF	MFZ_MLJN_BF	#C(#ffffff)攻击有#C(#00BC00)37.5%#n概率触发冰封，将敌方冰封住，持续#C(#00BC00)2#n回合不能出手释放任何技能。#n
5	700	5	5	冰封	1	680	(680,99999)	0	Pub_Icon_MFZ_BF	MFZ_MLJN_BF	#C(#ffffff)攻击有#C(#00BC00)50%#n概率触发冰封，将敌方冰封住，持续#C(#00BC00)2#n回合不能出手释放任何技能。#n
6	701	1	5	刷新	2	100	(0,219)	7	Pub_Icon_MFZ_CZ	MFZ_MLJN_CZCD	#C(#ffffff)战斗中有#C(#00BC00)8%#n的概率触发重置主动技能CD。#n
7	701	2	5	刷新	2	220	(220,341)	8	Pub_Icon_MFZ_CZ	MFZ_MLJN_CZCD	#C(#ffffff)战斗中有#C(#00BC00)12%#n的概率触发重置主动技能CD。#n
8	701	3	5	刷新	2	342	(342,519)	9	Pub_Icon_MFZ_CZ	MFZ_MLJN_CZCD	#C(#ffffff)战斗中有#C(#00BC00)16%#n的概率触发重置主动技能CD。#n
9	701	4	5	刷新	2	520	(520,679)	10	Pub_Icon_MFZ_CZ	MFZ_MLJN_CZCD	#C(#ffffff)战斗中有#C(#00BC00)20%#n的概率触发重置主动技能CD。#n
