mountId	mountName	mountBuffName	wingHeightDif	mountHeight	mountZHeight	mountRes	mountResChange	mountHead	mountBuff	mountActiveDes	mountUnActiveDes	moveSpeed	isFly	mountPos	timeLimit	timeLimitToForever	mountType	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce
坐骑id	坐骑名称	属性名称	翅膀高度差	坐骑高度	战斗坐骑高度	坐骑资源	坐骑资源转换（蓝钻坐骑黄钻登录 显示资源 黄钻坐骑蓝钻登录显示资源）	坐骑头像	坐骑外形按钮	坐骑激活描述	坐骑未激活描述	移动速度	是否可以飞行	在面板中的位置	时间限定天数	是否限时坐骑变永久坐骑(1是限时坐骑变永久)	坐骑类型 1普通 2蓝钻专属 3黄钻专属	生命	攻击速度	怒气	物攻	物防	法攻	法防	暴击	免暴	破防	免破	格挡	破挡	增伤	免伤
1	铠甲战马	无	58	-20	0	90001	90001	zhanma1	jinjing1	0阶坐骑		250	1	[140,220]	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	森林之狼	狼魂	58	-40	-30	90002	90002	zhanma2	jinjing2	1阶坐骑	1阶激活	275	1	[180,210]	0	0	1	240	0	0	80	0	80	0	0	0	0	0	0	0	0	0
3	极地白虎	虎魄	58	-20	-10	90003	90003	zhanma3	jinjing3	2阶坐骑	2阶激活	300	1	[140,210]	0	0	1	720	0	0	240	0	240	0	0	0	0	0	0	0	0	0
4	黑暗之翼	翼神	58	-20	-20	90004	90004	zhanma4	jinjing4	3阶坐骑	3阶激活	325	1	[140,220]	0	0	1	1680	0	0	560	0	560	0	0	0	0	0	0	0	0	0
5	鹫马	鹫魂	58	-4	0	90005	90005	zhanma5	jinjing5	4阶坐骑	4阶激活	350	1	[140,230]	0	0	1	2880	0	0	960	0	960	0	0	0	0	0	0	0	0	0
6	飞马	天神	58		0	90006	90006	zhanma6	jinjing6	5阶坐骑	5阶激活	375	1	[140,230]	0	0	1	5280	0	0	1760	0	1760	0	0	0	0	0	0	0	0	0
7	狮鹫	狮魂	58		-12	90007	90007	zhanma7	jinjing7	6阶坐骑	6阶激活	400	1	[140,230]	0	0	1	8040	0	0	2680	0	2680	0	0	0	0	0	0	0	0	0
8	梦魇	噬魂	58		12	90008	90008	zhanma8	jinjing8	7阶坐骑	7阶激活	425	1	[140,230]	0	0	1	11280	0	0	3760	0	3760	0	0	0	0	0	0	0	0	0
9	凤凰	涅火	58		20	90009	90009	zhanma9	jinjing9	8阶坐骑	8阶激活	450	1	[140,185]	0	0	1	15120	0	0	5040	0	5040	0	0	0	0	0	0	0	0	0
