roleLevel	maxExp	addExp	pro1	rewards1	pro2	rewards2	campId	fightType
玩家等级	当前等级最大获取经验上限	每次战斗增加的经验	获得道具的概率	道具奖励	获得道具的概率	道具奖励	阵营	战斗类型
30	231920	322	400	[(26941,1)]	10	[(26942,1)]	14107	148
31	282986	393	400	[(26941,1)]	10	[(26942,1)]	14107	148
32	283386	394	400	[(26941,1)]	10	[(26942,1)]	14107	148
33	411653	572	400	[(26941,1)]	10	[(26942,1)]	14107	148
34	412053	572	400	[(26941,1)]	10	[(26942,1)]	14107	148
35	412453	573	400	[(26941,1)]	10	[(26942,1)]	14107	148
36	412853	573	400	[(26941,1)]	10	[(26942,1)]	14107	148
37	413253	574	400	[(26941,1)]	10	[(26942,1)]	14107	148
38	413653	575	400	[(26941,1)]	10	[(26942,1)]	14107	148
39	414053	575	400	[(26941,1)]	10	[(26942,1)]	14107	148
40	477706	663	400	[(26941,1)]	10	[(26942,1)]	14108	148
41	510373	709	400	[(26941,1)]	10	[(26942,1)]	14108	148
42	569440	791	400	[(26941,1)]	10	[(26942,1)]	14108	148
43	616773	857	400	[(26941,1)]	10	[(26942,1)]	14108	148
44	617173	857	400	[(26941,1)]	10	[(26942,1)]	14108	148
45	617573	858	400	[(26941,1)]	10	[(26942,1)]	14108	148
46	617973	858	400	[(26941,1)]	10	[(26942,1)]	14108	148
47	618373	859	400	[(26941,1)]	10	[(26942,1)]	14108	148
48	618773	859	400	[(26941,1)]	10	[(26942,1)]	14108	148
49	619173	860	400	[(26941,1)]	10	[(26942,1)]	14108	148
50	619573	861	400	[(26941,1)]	10	[(26942,1)]	14108	148
51	619973	861	400	[(26941,1)]	10	[(26942,1)]	14108	148
52	620373	862	400	[(26941,1)]	10	[(26942,1)]	14108	148
53	620773	862	400	[(26941,1)]	10	[(26942,1)]	14108	148
54	621173	863	400	[(26941,1)]	10	[(26942,1)]	14108	148
55	621573	863	400	[(26941,1)]	10	[(26942,1)]	14108	148
56	621973	864	400	[(26941,1)]	10	[(26942,1)]	14108	148
57	622373	864	400	[(26941,1)]	10	[(26942,1)]	14108	148
58	622773	865	400	[(26941,1)]	10	[(26942,1)]	14108	148
59	623173	866	400	[(26941,1)]	10	[(26942,1)]	14108	148
60	790933	1099	400	[(26941,1)]	10	[(26942,1)]	14109	148
61	831333	1155	400	[(26941,1)]	10	[(26942,1)]	14109	148
62	898400	1248	400	[(26941,1)]	10	[(26942,1)]	14109	148
63	952133	1322	400	[(26941,1)]	10	[(26942,1)]	14109	148
64	952533	1323	400	[(26941,1)]	10	[(26942,1)]	14109	148
65	952933	1324	400	[(26941,1)]	10	[(26942,1)]	14109	148
66	953333	1324	400	[(26941,1)]	10	[(26942,1)]	14109	148
67	953733	1325	400	[(26941,1)]	10	[(26942,1)]	14109	148
68	954133	1325	400	[(26941,1)]	10	[(26942,1)]	14109	148
69	954533	1326	400	[(26941,1)]	10	[(26942,1)]	14109	148
70	954933	1326	400	[(26941,1)]	10	[(26942,1)]	14109	148
71	955333	1327	400	[(26941,1)]	10	[(26942,1)]	14109	148
72	955733	1327	400	[(26941,1)]	10	[(26942,1)]	14109	148
73	956133	1328	400	[(26941,1)]	10	[(26942,1)]	14109	148
74	956533	1329	400	[(26941,1)]	10	[(26942,1)]	14109	148
75	956933	1329	400	[(26941,1)]	10	[(26942,1)]	14109	148
76	957333	1330	400	[(26941,1)]	10	[(26942,1)]	14109	148
77	957733	1330	400	[(26941,1)]	10	[(26942,1)]	14109	148
78	958133	1331	400	[(26941,1)]	10	[(26942,1)]	14109	148
79	958533	1331	400	[(26941,1)]	10	[(26942,1)]	14109	148
80	1072733	1490	400	[(26941,1)]	10	[(26942,1)]	14110	148
81	1113133	1546	400	[(26941,1)]	10	[(26942,1)]	14110	148
82	1180200	1639	400	[(26941,1)]	10	[(26942,1)]	14110	148
83	1233933	1714	400	[(26941,1)]	10	[(26942,1)]	14110	148
84	1234333	1714	400	[(26941,1)]	10	[(26942,1)]	14110	148
85	1234733	1715	400	[(26941,1)]	10	[(26942,1)]	14110	148
86	1235133	1715	400	[(26941,1)]	10	[(26942,1)]	14110	148
87	1235533	1716	400	[(26941,1)]	10	[(26942,1)]	14110	148
88	1235933	1717	400	[(26941,1)]	10	[(26942,1)]	14110	148
89	1236333	1717	400	[(26941,1)]	10	[(26942,1)]	14110	148
90	1236733	1718	400	[(26941,1)]	10	[(26942,1)]	14110	148
91	1237133	1718	400	[(26941,1)]	10	[(26942,1)]	14110	148
92	1237533	1719	400	[(26941,1)]	10	[(26942,1)]	14110	148
93	1237933	1719	400	[(26941,1)]	10	[(26942,1)]	14110	148
94	1238333	1720	400	[(26941,1)]	10	[(26942,1)]	14110	148
95	1238733	1720	400	[(26941,1)]	10	[(26942,1)]	14110	148
96	1239133	1721	400	[(26941,1)]	10	[(26942,1)]	14110	148
97	1239533	1722	400	[(26941,1)]	10	[(26942,1)]	14110	148
98	1239933	1722	400	[(26941,1)]	10	[(26942,1)]	14110	148
99	1240333	1723	400	[(26941,1)]	10	[(26942,1)]	14110	148
100	1410765	1959	400	[(26941,1)]	10	[(26942,1)]	14111	148
101	1511165	2099	400	[(26941,1)]	10	[(26942,1)]	14111	148
102	1611565	2238	400	[(26941,1)]	10	[(26942,1)]	14111	148
103	1711965	2378	400	[(26941,1)]	10	[(26942,1)]	14111	148
104	1712365	2378	400	[(26941,1)]	10	[(26942,1)]	14111	148
105	1712765	2379	400	[(26941,1)]	10	[(26942,1)]	14111	148
106	1713165	2379	400	[(26941,1)]	10	[(26942,1)]	14111	148
107	1713565	2380	400	[(26941,1)]	10	[(26942,1)]	14111	148
108	1713965	2381	400	[(26941,1)]	10	[(26942,1)]	14111	148
109	1714365	2381	400	[(26941,1)]	10	[(26942,1)]	14111	148
110	1714765	2382	400	[(26941,1)]	10	[(26942,1)]	14111	148
111	1715165	2382	400	[(26941,1)]	10	[(26942,1)]	14111	148
112	1715565	2383	400	[(26941,1)]	10	[(26942,1)]	14111	148
113	1715965	2383	400	[(26941,1)]	10	[(26942,1)]	14111	148
114	1716365	2384	400	[(26941,1)]	10	[(26942,1)]	14111	148
115	1716765	2384	400	[(26941,1)]	10	[(26942,1)]	14111	148
116	1717165	2385	400	[(26941,1)]	10	[(26942,1)]	14111	148
117	1717565	2386	400	[(26941,1)]	10	[(26942,1)]	14111	148
118	1717965	2386	400	[(26941,1)]	10	[(26942,1)]	14111	148
119	1718365	2387	400	[(26941,1)]	10	[(26942,1)]	14111	148
120	1951573	2711	400	[(26941,1)]	10	[(26942,1)]	14112	148
121	1965306	2730	400	[(26941,1)]	10	[(26942,1)]	14112	148
122	1979040	2749	400	[(26941,1)]	10	[(26942,1)]	14112	148
123	1992773	2768	400	[(26941,1)]	10	[(26942,1)]	14112	148
124	1993173	2768	400	[(26941,1)]	10	[(26942,1)]	14112	148
125	1993573	2769	400	[(26941,1)]	10	[(26942,1)]	14112	148
126	1993973	2769	400	[(26941,1)]	10	[(26942,1)]	14112	148
127	1994373	2770	400	[(26941,1)]	10	[(26942,1)]	14112	148
128	1994773	2771	400	[(26941,1)]	10	[(26942,1)]	14112	148
129	1995173	2771	400	[(26941,1)]	10	[(26942,1)]	14112	148
130	1995573	2772	400	[(26941,1)]	10	[(26942,1)]	14112	148
131	1995973	2772	400	[(26941,1)]	10	[(26942,1)]	14112	148
132	1996373	2773	400	[(26941,1)]	10	[(26942,1)]	14112	148
133	1996773	2773	400	[(26941,1)]	10	[(26942,1)]	14112	148
134	1997173	2774	400	[(26941,1)]	10	[(26942,1)]	14112	148
135	1997573	2774	400	[(26941,1)]	10	[(26942,1)]	14112	148
136	1997973	2775	400	[(26941,1)]	10	[(26942,1)]	14112	148
137	1998373	2776	400	[(26941,1)]	10	[(26942,1)]	14112	148
138	1998773	2776	400	[(26941,1)]	10	[(26942,1)]	14112	148
139	1999173	2777	400	[(26941,1)]	10	[(26942,1)]	14112	148
140	1999573	2778	400	[(26941,1)]	10	[(26942,1)]	14112	148
141	1999973	2779	400	[(26941,1)]	10	[(26942,1)]	14112	148
142	2000373	2780	400	[(26941,1)]	10	[(26942,1)]	14112	148
143	2000773	2781	400	[(26941,1)]	10	[(26942,1)]	14112	148
144	2001173	2782	400	[(26941,1)]	10	[(26942,1)]	14112	148
145	2001573	2783	400	[(26941,1)]	10	[(26942,1)]	14112	148
146	2001973	2784	400	[(26941,1)]	10	[(26942,1)]	14112	148
147	2002373	2785	400	[(26941,1)]	10	[(26942,1)]	14112	148
148	2002773	2786	400	[(26941,1)]	10	[(26942,1)]	14112	148
149	2003173	2787	400	[(26941,1)]	10	[(26942,1)]	14112	148
150	2003573	2788	400	[(26941,1)]	10	[(26942,1)]	14112	148
151	2003973	2789	400	[(26941,1)]	10	[(26942,1)]	14112	148
152	2004373	2790	400	[(26941,1)]	10	[(26942,1)]	14112	148
153	2004773	2791	400	[(26941,1)]	10	[(26942,1)]	14112	148
154	2005173	2792	400	[(26941,1)]	10	[(26942,1)]	14112	148
155	2005573	2793	400	[(26941,1)]	10	[(26942,1)]	14112	148
156	2005973	2794	400	[(26941,1)]	10	[(26942,1)]	14112	148
157	2006373	2795	400	[(26941,1)]	10	[(26942,1)]	14112	148
158	2006773	2796	400	[(26941,1)]	10	[(26942,1)]	14112	148
159	2007173	2797	400	[(26941,1)]	10	[(26942,1)]	14112	148
