Index	Item	Type	IsBroadcast
奖励	物品编码及数量	1:普通物品，2：命魂	是否广播
1	(26972,1)	1	1
2	(25756,1)	1	0
3	(25757,1)	1	0
4	(25758,1)	1	0
5	(26225,1)	1	0
6	(26226,1)	1	0
7	(25792,1)	1	1
8	(25795,1)	1	1
9	(25796,1)	1	1
10	(25600,50)	1	0
11	(26344,50)	1	0
12	(26343,30)	1	0
13	(26342,40)	1	0
14	(26042,2)	1	0
15	(26951,10)	1	1
16	(26972,1)	1	1
17	(47,1)	2	1
18	(25756,1)	1	0
19	(25757,1)	1	0
20	(25758,1)	1	0
21	(25761,1)	1	0
22	(25762,1)	1	0
23	(25763,1)	1	0
24	(25764,1)	1	0
25	(26228,1)	1	0
26	(26225,1)	1	0
27	(26229,1)	1	0
28	(26226,1)	1	0
29	(26230,1)	1	0
30	(25792,1)	1	1
31	(25795,1)	1	1
32	(25796,1)	1	1
33	(25837,30)	1	0
34	(26144,30)	1	0
35	(26925,12)	1	0
36	(26924,12)	1	0
37	(26479,20)	1	0
38	(26951,10)	1	1
39	(26972,1)	1	1
40	(47,1)	2	1
41	(25756,1)	1	0
42	(25757,1)	1	0
43	(25758,1)	1	0
44	(25761,1)	1	0
45	(25762,1)	1	0
46	(25763,1)	1	0
47	(25764,1)	1	0
48	(26228,1)	1	0
49	(26225,1)	1	0
50	(26229,1)	1	0
51	(26226,1)	1	0
52	(26230,1)	1	0
53	(25792,1)	1	1
54	(25795,1)	1	1
55	(25796,1)	1	1
56	(25837,30)	1	0
57	(26144,30)	1	0
58	(26925,12)	1	0
59	(26924,12)	1	0
60	(26298,6)	1	0
61	(26951,10)	1	1
62	(26044,1)	1	0
63	(26033,1)	1	0
64	(26032,1)	1	0
65	(25600,2)	1	0
66	(26344,2)	1	0
67	(26342,2)	1	0
68	(26342,2)	1	0
69	(25600,1)	1	0
70	(26344,1)	1	0
71	(26342,1)	1	0
72	(26342,1)	1	0
73	(26951,1)	1	1
74	(26044,1)	1	0
75	(26033,1)	1	0
76	(26032,1)	1	0
77	(26267,1)	1	0
78	(26119,1)	1	0
79	(26266,1)	1	0
80	(25837,2)	1	0
81	(26144,2)	1	0
82	(26479,2)	1	0
83	(25837,1)	1	0
84	(26144,1)	1	0
85	(26479,1)	1	0
86	(26951,1)	1	1
87	(26044,1)	1	0
88	(26033,1)	1	0
89	(26032,1)	1	0
90	(26267,1)	1	0
91	(26119,1)	1	0
92	(26266,1)	1	0
93	(25837,2)	1	0
94	(26144,2)	1	0
95	(26479,2)	1	0
96	(25837,1)	1	0
97	(26144,1)	1	0
98	(26479,1)	1	0
99	(26951,1)	1	1
