AwardID	MinLevel	MaxLevel	RewardItems	Rate
奖励Id	最低等级	最高等级	道具	
1	30	129	(28487,1)	3000
2	30	129	(28488,1)	2000
3	30	129	(28489,1)	1000
4	30	129	(28490,1)	100
5	30	129	(25600,20)	500
6	30	129	(25837,20)	500
7	30	129	(26676,1)	300
8	30	129	(26677,5)	500
9	30	129	(26044,1)	1000
10	30	129	(26267,1)	1000
11	30	129	(26925,3)	500
12	30	129	(26924,3)	500
13	130	179	(28487,1)	3000
14	130	179	(28488,1)	2000
15	130	179	(28489,1)	1000
16	130	179	(28490,1)	100
17	130	179	(27566,2)	700
18	130	179	(27167,1)	700
19	130	179	(26934,5)	700
20	130	179	(26933,5)	700
21	130	179	(28030,1)	1000
22	130	179	(26448,1)	700
23	130	179	(27041,5)	700
24	130	179	(27042,5)	700
