sceneID	npcID	des	show	npcType	npcPosX	npcPosY	direct	transportSceneId	tpPosX	tpPosY	showCondition	circularCondition	phycalCondition	unionCondition
场景ID	npcId	备注	是否在小地图显示（填1表示显示  填0或者不填不显示）	npc类型	npcX坐标	npxY坐标	方向	可传送场景ID	传送坐标X	传送坐标Y	显示条件	日常循环任务显示条件	体力循环任务显示条件	公会任务显示条件
15	40	绝美艳后	1	325	1988	827	1				step>=0&&step<210	0	0	0
15	41	战争之王	0	300	2559	961	1				step>=200&&step<250	0	0	0
15	42	圣堂法师	1	301	2908	1152	1				step>=240&&step<280	0	0	0
15	43	圣堂法师	1	301	3551	1479	1				step>=290&&step<310	0	0	0
15	44	龙人士兵	0	126	3229	1388	3				step>=270&&step<290	0	0	0
15	46	红袍女巫	0	304	2391	1636	7				step>=310&&step<350	0	0	0
15	47	剑狂	1	305	2108	1813	5				step>=340&&step<380	0	0	0
15	48	圣光祭司	0	306	1834	2002	5				step>=370&&step<460	0	0	0
15	49	红袍女巫	0	304	1106	1654	7				step>=430&&step<490	0	0	0
50	50	吸血鬼猎手	0	1	402	624	0					0	0	0
50	51	红袍女巫	0	2	1601	645	0					0	0	0
15	52	众神之王	0	307	747	1339	0				step>=480&&step<530	0	0	0
15	53	爱丽丝	0	308	262	1468	0				step>=520&&step<580	0	0	0
15	54	重甲兵	0	309	648	1753	7				step>=570&&step<610	0	0	0
15	55	凶猛死神	0	310	627	2137	7				step>=600&&step<620	0	0	0
15	56	马女郎	1	311	1055	2078	1					0	0	0
15	57	死神	0	312	380	2565	7				step>=690&&step<710	0	0	0
15	58	圣光祭司	0	306	954	2789	1				step>=700&&step<790	0	0	0
15	59	众神之王	0	307	589	3024	7				step>=780&&step<820	0	0	0
15	60	爱丽丝	0	308	1248	3053	1				step>=810&&step<850	0	0	0
15	61	毒刃女巫	0	315	1482	3352	1				step>=840&&step<860	0	0	0
15	62	圣光祭司	0	306	1973	3386	1				step>=850&&step<910	0	0	0
15	63	战争之王	0	317	2482	3261	1				step>=900&&step<940	0	0	0
15	64	红袍女巫	0	120	2504	2861	0				step>=930&&step<970	0	0	0
15	66	圣辉护卫	0	110	3101	3091	1				step>=960&&step<1080	0	0	0
15	67	掠夺者	0	111	2576	2769	7				step>=1170&&step<1190	0	0	0
15	68	偷盗者	0	112	3048	3118	3				step>=1230&&step<1250	0	0	0
15	69	烈火战神	0	171	3578	2882	1					0	0	0
15	70	女魔法师	0	109	3106	2517	7					0	0	0
15	71	众神之王	0	116	2688	3065	7				step>=1370&&step<1410	0	0	0
15	72	龙人队长	0	101	3179	1694	5				step>=300&&step<320	0	0	0
15	74	圣光祭司	0	103	1606	2031	7				step>=420&&step<440	0	0	0
16	75	天空射手	0	329	666	3930	0				step<2560	0	0	0
16	76	死神	0	330	1146	2723	0				step<2560	0	0	0
16	77	重甲兵	0	331	421	2495	0				step>=1500&&step<1520	0	0	0
16	79	亚瑟	0	333	676	1524	0				step<2560	0	0	0
16	80	执法者	1	334	1578	2040	0				step>=1560&&step<1580	0	0	0
