taskId	desc
任务ID	描述
1	9级开放坐骑，首次乘上铠甲战马，点击乘上时跳转到分享页面。
2	10级开放坐骑，首次乘上铠甲战马，点击乘上时跳转到分享页面。
3	11级开放坐骑，首次乘上铠甲战马，点击乘上时跳转到分享页面。
4	12级开放坐骑，首次乘上铠甲战马，点击乘上时跳转到分享页面。
5	13级开放坐骑，首次乘上铠甲战马，点击乘上时跳转到分享页面。
6	14级开放坐骑，首次乘上铠甲战马，点击乘上时跳转到分享页面。
7	15级开放坐骑，首次乘上铠甲战马，点击乘上时跳转到分享页面。
8	16级开放坐骑，首次乘上铠甲战马，点击乘上时跳转到分享页面。
9	17级开放坐骑，首次乘上铠甲战马，点击乘上时跳转到分享页面。
10	18级开放坐骑，首次乘上铠甲战马，点击乘上时跳转到分享页面。
11	19级开放坐骑，首次乘上铠甲战马，点击乘上时跳转到分享页面。
12	20级开放坐骑，首次乘上铠甲战马，点击乘上时跳转到分享页面。
13	21级开放坐骑，首次乘上铠甲战马，点击乘上时跳转到分享页面。
14	22级开放坐骑，首次乘上铠甲战马，点击乘上时跳转到分享页面。
15	23级开放坐骑，首次乘上铠甲战马，点击乘上时跳转到分享页面。
16	24级开放坐骑，首次乘上铠甲战马，点击乘上时跳转到分享页面。
17	25级开放坐骑，首次乘上铠甲战马，点击乘上时跳转到分享页面。
18	26级开放坐骑，首次乘上铠甲战马，点击乘上时跳转到分享页面。
19	27级开放坐骑，首次乘上铠甲战马，点击乘上时跳转到分享页面。
20	28级开放坐骑，首次乘上铠甲战马，点击乘上时跳转到分享页面。
