index	actId	actTitle	actRes	actContent	smallIconname
标签顺序	活动ID(不变)开启新活动不要删，直接改循环活动开启时间就可以了	活动名	活动图片	活动内容	小图标名字
11	1	JQQY_TextQYYL	JQQY_HLXS	活动期间，每日必做达到100分可以领取每日礼包，累计完成天数还可领取更多奖励。	
9	2	JQQY_TextJLLFB	wangzhe2	1、活动期间,每日完成任务可以领取奖励；#H2、每天都会开启不同日常活动的奖励翻倍，当天参加对应的日常活动奖励是平时的2倍。	
4	3	GEJ2015_Text4	GEJ2015_4	1、活动期间，每日累计充值神石达到条件即可领取对应档次的奖励；#H2、次日累计神石数清零，奖励重置。	
29	4	GEJ2015_Text5	GEJ2015_5	1、活动期间每日充值达到3000神石可领取固定奖励。#H2、充值达到3000神石的玩家有资格进入充值排行榜，跨服排行榜每半个小时更新一次，本服排行榜实时更新。#H3、每日23：58结算当日玩家充值排名。#H4、每日00：00以邮件方式发放排行奖励，跨服前500名、本服前10名的玩家可获得丰厚奖励。#H5、玩家可通过下方按钮查看跨服和本服的今日排名和昨日排名。	
5	5	JQQY_TextXFFL	HDGQ_XFFL	活动期间，每日累计消耗的充值神石达到条件即可领取对应档次的奖励	
27	6	JQQY_TextXSDH	JQQY_XSDH	 	Pub_IcomQYB
20	7	JQQY_TextTHSP	JJSH_THSP	1、活动期间限时出售各种珍稀道具；#H2、赠送他人不占用自己的限购次数。	
32	8	JQQY_TextZKMC	HDGQ_ZKMC	1、活动期间限时特惠将打折出售各种商品；#H2、商品每日0点自动刷新，也可消耗神石手动刷新，刷新消耗神石与每日刷新次数有关。当日首次刷新免费。	
1	9	JQQY_TextZXYL	SSR2015_6	1、活动期间，每天在线2小时即可获得2次翻牌机会。#H2、消耗翻牌机会可随机获得一次奖励，共14个奖励，活动7天只要满足在线条件即可全部领取。	
31	10	JQQY_TextXYZP	HDGQ_XYZP	1、活动期间可使用彩虹勋章转取奖励；#H2、彩虹勋章在充值返利和消费返利中获得；#H3、可消耗一定数量的彩虹勋章将转盘奖励全部领取。#H4、花费200神石可换转盘奖励。	
17	11	JQQY_TextDLYL	HDGQ_DLYL	1、活动期间登录即可获得奖励。#H2、当天累计充值满100神石即可获得额外的奖励。	
18	12	JQQY_TextNXFWMD	HDGQ_NXFWMD	1、活动期间，玩家在每日消费的充值神石按照12%的比例返还给玩家，返还的奖励神石在7天后领取。以此类推；#H2、当日返还的奖励神石数量不超过返利最大值10000；超过最大值以最大值返利；#H3、返利的神石需在消费后的7-14天领取。开启后的第16天关闭活动界面，不可领取。	
19	13	JQQY_TextSSTM	HDGQ_SSTM	1、活动期间，使用充值神石或者神树精华即可进行神树探秘，有机会获得紫色天赋卡等珍稀奖励。#H2、获得的华表徽章可在神树兑换里兑换道具。	
10	14	JQQY_TextCBSD	HDGQ_SSDH	1、活动期间内可使用陶瓷碎片进行兑换。	
12	15	JQQY_TextCZHL	HDGQ_CZHL		
30	16	JQQY_TextLCHL	HDGQ_LCHL	1、每天累积充值满200神石即可完成一天充值目标。#H2、活动期间按照完成充值目标的天数领取奖励。#H3、完成7天目标可以领取超级大奖。	
14	17	JQQY_TextXFHL	HDGQ_XFHL		
23	18	JQQY_TextXFPM	HDGQ_XFPM	1.活动期间每日消费达到2400充值神石可领取固定奖励。#H2.消费达到2400充值神石的玩家有资格进入消费充值神石排行榜，跨服排行榜每半个小时更新一次，本服排行榜实时更新。#H3.每日23：58结算当日玩家消费充值神石排名。#H4.每日00：00以邮件方式发放排行奖励，跨服前500名、本服前10名的玩家可获得丰厚奖励。#H5.玩家可通过下方按钮查看跨服和本服的今日排名和昨日排名。	
22	19	JQQY_TextHJLZTG	HDGQ_HLZTG	1、消耗充值神石砸碎陶罐可以获得道具奖励和陶瓷碎片，陶瓷碎片可用于藏宝商店兑换。	
26	20	GEJ2015_Text1	GEJ2015_1	1、每天在指定时间段内即可领取对应奖励，错过时间将无法领取	
7	21	GEJ2015_Text2	GEJ2015_2	1、活动期间每消耗10充值神石即可获得1消费积分，兑换道具需消耗消费积分，消费积分在活动期间不清零；#H2、活动结束后积分将被清零，请及时兑换。	
