index	minLevel	needPoint	items	special	limitCnt	freshType
物品展示排序索引	物品开启对应主角等级	需要积分数量	道具coding，cnt	是否极品道具	限购个数(不限购配0)	刷新机制(0:每日,1:永久)
1	30	720	(37071,1)	1	1	1
2	30	720	(37072,1)	1	1	1
3	30	600	(37073,1)	1	1	1
4	85	12000	(28901,1)	1	1	0
5	60	3000	(28937,1)	0	1	0
6	100	600	(28587,1)	0	3	0
7	60	10000	(28254,1)	1	1	0
8	80	50000	(28978,1)	1	1	1
9	60	4680	(28907,1)	0	1	0
10	60	8320	(28908,1)	0	1	0
11	60	18000	(28909,1)	0	1	0
12	60	32000	(28910,1)	1	1	0
13	60	57200	(28911,1)	1	1	0
14	60	84000	(28912,1)	1	1	0
15	30	12	(26032,1)	0	0	0
16	120	360	(28894,1)	0	10	0
17	120	600	(34000,1)	0	3	0
18	120	600	(34001,1)	0	3	0
19	120	600	(34002,1)	0	3	0
20	120	600	(34003,1)	0	3	0
21	120	600	(34004,1)	0	3	0
22	120	600	(34005,1)	0	3	0
23	80	50000	(27706,1)	1	1	1
24	80	10000	(27705,1)	1	2	1
