index	minLevel	needPoint	items	special	limitCnt	freshType
物品展示排序索引	物品开启对应主角等级	需要积分数量	道具coding，cnt	是否极品道具	限购个数(不限购配0)	刷新机制(0:每日,1:永久)
1	30	125	(27566,1)	0	0	0
2	30	65	(26450,1)	0	0	0
3	30	1500	(37050,1)	1	1	1
4	30	15	(28428,1)	1	100	1
5	30	5000	(28971,1)	1	1	1
6	80	17000	(28978,1)	1	1	1
7	80	17000	(27706,1)	1	1	1
8	80	6500	(27705,1)	1	2	1
9	50	12000	(28254,1)	1	1	0
10	45	800	(26676,1)	0	0	0
11	60	300	(27621,1)	0	0	0
12	60	4000	(26971,1)	1	1	0
13	60	900	(26042,1)	0	0	0
14	60	50	(25837,1)	0	0	0
15	75	3000	(27710,1)	0	0	0
16	75	6000	(27711,1)	0	0	0
17	75	12000	(27712,1)	0	0	0
18	75	24000	(27713,1)	1	0	0
19	80	250	(26272,1)	0	0	0
20	80	600	(28030,1)	0	0	0
21	80	50	(26302,1)	0	3	0
22	35	300	(27518,1)	0	0	0
23	30	1500	(37058,1)	1	1	0
24	120	1000	(28376,1)	0	0	1
