index	needItems	RMB_Q	dayLimit	allLimit	rewards	RMB	Money	MoJing
兑换索引	需要的物品(soding, cnt)	需要的神石	每日限购	活动限购	奖励	神石奖励	金币奖励	魔晶奖励
1	((29238,200),(29240,80),(29242,40))	8888	0	1	(28978,1)	0	0	0
2	((29238,200),(29240,80),(29242,40))	8888	0	1	(26439,1)	0	0	0
3	((29238,80),(29240,20),(29242,10))	888	1	0	(28254,1)	0	0	0
4	((29238,30),(29240,15))	688	1	0	(28253,1)	0	0	0
5	((29238,30),(29240,15))	688	1	0	(27492,1)	0	0	0
6	((29238,10),(29240,5),(29242,2))	0	1	0		1000	0	0
7	((29238,10),(29240,5))	0	2	7		500	0	0
8	((29238,36),)	188	0	1	(37078,1)	0	0	0
9	((29238,10),)	0	3	7		100	0	0
10	((29238,24),)	0	0	1	(37077,1)	0	0	0
11	((29238,30),)	0	0	1	(37076,1)	0	0	0
12	((29238,30),)	0	0	1	(37075,1)	0	0	0
13	((29238,5),)	0	0	0	(27518,1)	0	0	0
14	((29238,2),)	0	0	0	(26450,1)	0	0	0
