index	minLevel	needConsumeRMB	rewardItems
索引	最小等级	需要消费充值神石	奖励道具
1	1	500	[(29010,3),(28527,1),(27041,5),(26677,5),(26934,5),(29001,5)]
2	1	1000	[(28035,3),(28527,1),(27041,5),(26677,5),(26934,5),(29001,5)]
3	1	2000	[(28889,3),(28527,1),(27041,5),(26677,5),(26934,5),(29001,10)]
4	1	3600	[(28035,3),(28527,1),(27041,5),(26677,5),(26934,5),(29001,10)]
5	1	4800	[(28889,3),(28527,1),(27041,5),(26677,5),(26934,5),(29001,10)]
6	1	6000	[(28035,3),(28527,1),(27041,5),(26677,5),(26934,5),(29001,10)]
7	1	7200	[(28889,3),(28527,1),(27041,5),(26677,5),(26934,5),(29001,10)]
8	1	9600	[(28030,3),(28527,2),(27041,10),(26677,10),(26934,10),(29001,20)]
9	1	12000	[(28890,3),(28527,2),(27041,10),(26677,10),(26934,10),(29001,20)]
10	1	14400	[(28030,3),(28527,2),(27041,10),(26677,10),(26934,10),(29001,20)]
11	1	16800	[(28890,3),(28527,2),(27041,10),(26677,10),(26934,10),(29001,20)]
12	1	19200	[(28030,3),(28527,2),(27041,10),(26677,10),(26934,10),(29001,20)]
13	1	21600	[(28890,3),(28527,2),(27041,10),(26677,10),(26934,10),(29001,20)]
14	1	24000	[(28030,3),(28527,2),(27041,10),(26677,10),(26934,10),(29001,20)]
15	1	30000	[(28031,3),(28527,5),(27041,15),(26677,15),(26934,15),(29001,50)]
16	1	36000	[(28891,3),(28527,5),(27041,15),(26677,15),(26934,15),(29001,50)]
17	1	48000	[(28892,3),(28527,10),(27041,30),(26677,30),(26934,30),(29001,100)]
18	1	60000	[(28032,3),(28527,10),(27041,30),(26677,30),(26934,30),(29001,100)]
19	1	72000	[(29234,1),(28892,3),(28527,10),(27041,30),(26677,30),(26934,30),(29001,100)]
20	1	96000	[(28042,3),(28527,10),(27041,60),(26677,60),(26934,60),(29001,200)]
21	1	120000	[(28969,1),(28893,3),(28527,10),(27041,60),(26677,60),(26934,60),(29001,200)]
