index	minLevel	needConsumeRMB	rewardItems
索引	最小等级	需要消费充值神石	奖励道具
1	1	500	[(27518,3),(27041,5),(26677,5),(26934,5),(25970,5)]
2	1	1000	[(27518,3),(27041,5),(26677,5),(26934,5),(25970,5)]
3	1	2000	[(27621,3),(27041,5),(26677,5),(26934,5),(25970,10)]
4	1	3600	[(28035,3),(27041,5),(26677,5),(26934,5),(25970,10)]
5	1	4800	[(27621,3),(27041,5),(26677,5),(26934,5),(25970,10)]
6	1	6000	[(28035,3),(27041,5),(26677,5),(26934,5),(25970,10)]
7	1	7200	[(27621,3),(27041,5),(26677,5),(26934,5),(25970,10)]
8	1	9600	[(28030,3),(27041,10),(26677,10),(26934,10),(25970,20)]
9	1	12000	[(27622,3),(27041,10),(26677,10),(26934,10),(25970,20)]
10	1	14400	[(28030,3),(27041,10),(26677,10),(26934,10),(25970,20)]
11	1	16800	[(27622,3),(27041,10),(26677,10),(26934,10),(25970,20)]
12	1	19200	[(28030,3),(27041,10),(26677,10),(26934,10),(25970,20)]
13	1	21600	[(27622,3),(27041,10),(26677,10),(26934,10),(25970,20)]
14	1	24000	[(28030,3),(27041,10),(26677,10),(26934,10),(25970,20)]
15	1	30000	[(28031,3),(27041,15),(26677,15),(26934,15),(25970,50)]
16	1	36000	[(27623,3),(27041,15),(26677,15),(26934,15),(25970,50)]
17	1	48000	[(27623,3),(27041,30),(26677,30),(26934,30),(25970,100)]
18	1	60000	[(28032,3),(27041,30),(26677,30),(26934,30),(25970,100)]
19	1	72000	[(27624,3),(27041,30),(26677,30),(26934,30),(25970,100)]
20	1	96000	[(28042,3),(27041,60),(26677,60),(26934,60),(25970,200)]
21	1	120000	[(27492,1),(27041,60),(26677,60),(26934,60),(25970,200)]
