goodId	item	needLevel	originalUnbindRMB	needUnbindRMB	limitCnt	canDonate
商品ID	商品(coding,cnt)	等级限制	原价	现价	限购（限购数量）	是否可赠送
1	(26458,1)	80	5888	1998	2	0
2	(26438,1)	80	5888	3888	2	0
3	(27177,1)	80	5888	1888	2	0
4	(26459,1)	80	25888	8888	2	0
5	(26439,1)	80	25888	16888	1	0
6	(27178,1)	80	25888	8888	2	0
7	(26638,1)	30	5400	2100	3	0
8	(26643,1)	30	7500	3000	2	0
9	(26644,1)	30	9800	4000	1	0
10	(26923,1)	30	3998	998	1	0
11	(29271,1)	30	5000	3888	1	0
12	(26608,1)	40	2000	1200	8	0
13	(28253,1)	40	6000	3888	2	0
14	(37079,1)	40	1248	998	1	1
15	(37080,1)	40	1248	998	1	1
16	(37081,1)	40	998	800	1	1
17	(37075,1)	40	1248	720	1	1
18	(37076,1)	40	1248	720	1	1
19	(37077,1)	40	998	600	1	1
20	(37078,1)	65	1588	888	1	1
21	(37067,1)	40	1248	720	1	1
22	(37068,1)	40	1248	720	1	1
23	(37069,1)	40	998	600	1	1
24	(37070,1)	65	1588	888	1	1
25	(37013,1)	70	1000	398	1	1
