goodId	item	needLevel	originalUnbindRMB	needUnbindRMB	limitCnt	canDonate
商品ID	商品(coding,cnt)	等级限制	原价	现价	限购（限购数量）	是否可赠送
1	(37055,1)	30	3995	2995	1	0
2	(37056,1)	30	3495	2495	1	0
3	(37057,1)	30	3495	2495	1	0
4	(26226,1)	30	2360	1416	5	0
5	(26230,1)	30	2360	1416	5	0
6	(26450,1)	30	65	20	100	0
7	(27939,1)	80	500	200	100	0
8	(26144,1)	30	95	20	200	0
9	(25837,1)	30	50	20	200	0
10	(28006,1)	80	7000	2100	5	0
11	(27492,1)	80	14995	4995	1	0
12	(26972,1)	30	6995	2995	1	0
13	(28240,1)	80	75	45	100	0
