index	levelRangeId	items	percent	special
索引	奖励等级段ID	物品coding,cnt	物品概率	是否极品道具
1	1	(28791,1)	100	0
2	1	(27618,1)	10	1
3	1	(27521,1)	20	1
4	1	(26344,2)	1594	0
5	1	(26344,5)	625	0
6	1	(26344,10)	313	0
7	1	(25600,2)	1595	0
8	1	(25600,5)	625	0
9	1	(25600,10)	313	0
10	1	(27566,1)	400	0
11	1	(27517,1)	2000	0
12	1	(27518,1)	500	0
13	1	(26343,2)	625	0
14	1	(26343,5)	250	0
15	1	(26343,10)	125	0
16	1	(26342,2)	625	0
17	1	(26342,5)	250	0
18	1	(26342,10)	125	0
19	2	(28791,1)	100	0
20	2	(28253,1)	5	1
21	2	(27618,1)	10	1
22	2	(27625,1)	8	1
23	2	(27521,1)	20	0
24	2	(27624,1)	16	0
25	2	(27712,1)	5	1
26	2	(27709,1)	40	0
27	2	(26925,1)	900	0
28	2	(26924,1)	900	0
29	2	(26344,5)	400	0
30	2	(26344,10)	100	0
31	2	(26933,1)	400	0
32	2	(26934,1)	800	0
33	2	(25600,5)	400	0
34	2	(25600,10)	100	0
35	2	(27566,1)	191	0
36	2	(26485,1)	200	0
37	2	(26484,1)	400	0
38	2	(26479,2)	400	0
39	2	(26479,5)	100	0
40	2	(27518,1)	300	0
41	2	(27621,1)	300	0
42	2	(26144,2)	1250	0
43	2	(26144,5)	500	0
44	2	(26144,10)	250	0
45	2	(25837,2)	1250	0
46	2	(25837,5)	500	0
47	2	(25837,10)	250	0
48	3	(28791,1)	100	0
49	3	(27707,1)	1	1
50	3	(28253,1)	5	1
51	3	(26439,1)	1	1
52	3	(26459,1)	2	1
53	3	(26438,1)	3	1
54	3	(27880,1)	5	1
55	3	(27712,1)	5	1
56	3	(27709,1)	40	0
57	3	(26925,1)	706	0
58	3	(26924,1)	707	0
59	3	(28353,1)	20	0
60	3	(26221,20)	500	0
61	3	(26933,1)	200	0
62	3	(26934,1)	300	0
63	3	(26676,1)	100	0
64	3	(26677,1)	1000	0
65	3	(27566,1)	300	0
66	3	(27167,1)	150	0
67	3	(27041,1)	750	0
68	3	(27042,1)	750	0
69	3	(28035,1)	300	0
70	3	(27518,1)	300	0
71	3	(27621,1)	300	0
72	3	(26144,2)	1125	0
73	3	(26144,5)	425	0
74	3	(26144,10)	225	0
75	3	(25837,2)	1125	0
76	3	(25837,5)	425	0
77	3	(25837,10)	225	0
78	4	(28791,1)	100	0
79	4	(27707,1)	1	1
80	4	(28253,1)	5	1
81	4	(26439,1)	1	1
82	4	(26459,1)	2	1
83	4	(26438,1)	3	1
84	4	(27880,1)	5	1
85	4	(27712,1)	5	1
86	4	(27709,1)	40	0
87	4	(28564,1)	1541	0
88	4	(28572,1)	1542	0
89	4	(28563,1)	200	0
90	4	(28571,1)	200	0
91	4	(26676,1)	100	0
92	4	(26677,1)	1000	0
93	4	(27566,1)	300	0
94	4	(27167,1)	150	0
95	4	(27041,1)	1000	0
96	4	(27042,1)	1000	0
97	4	(28035,1)	300	0
98	4	(27518,1)	300	0
99	4	(27621,1)	300	0
100	4	(26144,2)	625	0
101	4	(26144,5)	250	0
102	4	(26144,10)	125	0
103	4	(25837,2)	625	0
104	4	(25837,5)	250	0
105	4	(25837,10)	125	0
