goodId	item	des	limitCnt	originalUnbindRMB	needUnbindRMB	RMBType	isLowestPrice	discountFlag
商品ID	物品(coding,cnt)	备注	限购个数(0为不限购)	原价	现价（需要神石）	神石类型(1-充值神石 0-充值奖励神石均可)	是否最低价	折扣标签
1	(26638,1)	坐骑升星精华（小）	3	5400	2100	1	1	SDJNH_4z
2	(26643,1)	坐骑升星精华（中）	2	7500	3000	1	1	SDJNH_4z
3	(26644,1)	坐骑升星精华（大）	1	9800	4000	1	1	SDJNH_4z
4	(26923,1)	黄金白马	1	3998	1888	1	0	SDJNH_5z
5	(26450,20)	许愿币	0	400	200	1	0	SDJNH_5z
6	(26450,5)	许愿币	0	100	55	1	0	SDJNH_6z
7	(25600,100)	坐骑培养石	0	1000	400	0	1	SDJNH_4z
8	(25600,20)	坐骑培养石	0	200	88	0	1	SDJNH_4z
9	(26344,100)	姻缘石	0	1000	400	0	1	SDJNH_4z
10	(26344,20)	姻缘石	0	200	88	0	1	SDJNH_4z
11	(26033,1)	二级宝石礼盒	0	30	6	0	1	SDJNH_2z
12	(26026,1)	四级宝石礼盒	0	120	60	0	0	SDJNH_5z
13	(26226,1)	七级宝石礼盒	0	960	488	0	0	SDJNH_5z
14	(25792,1)	九级生命宝石	3	3840	2588	0	0	SDJNH_7z
15	(25793,1)	九级物攻宝石	3	3840	2588	0	0	SDJNH_7z
16	(25794,1)	九级法攻宝石	3	3840	2588	0	0	SDJNH_7z
17	(25795,1)	九级物防宝石	5	3072	1888	0	0	SDJNH_6z
18	(25796,1)	九级法防宝石	5	3072	1888	0	0	SDJNH_6z
19	(29246,1)	圣诞礼包	0	200	100	1	0	SDJNH_5z
20	(26608,1)	黄色命魂礼盒	8	2000	1200	0	0	SDJNH_6z
21	(28253,1)	红色命魂一	2	6000	3888	1	0	SDJNH_6z
22	(27566,20)	坐骑进化石	0	1000	720	0	0	SDJNH_7z
23	(27566,5)	坐骑进化石	0	250	200	0	0	SDJNH_8z
24	(26042,5)	占卜令	0	1000	400	0	0	SDJNH_4z
25	(26042,1)	占卜令	0	200	100	0	0	SDJNH_5z
26	(37050,1)	黄金之翼	1	1288	888	1	0	SDJNH_7z
27	(37071,1)	死灵之刃	1	1248	720	1	0	SDJNH_6z
28	(37072,1)	死灵之心	1	1248	720	1	0	SDJNH_6z
29	(37073,1)	死灵之骨	1	998	600	1	0	SDJNH_6z
30	(37047,1)	黄金利刃	1	1248	720	1	0	SDJNH_6z
31	(37048,1)	黄金铠甲	1	1248	720	1	0	SDJNH_6z
32	(37049,1)	黄金头盔	1	998	600	1	0	SDJNH_6z
33	(28672,1)	坐骑进化石专属礼包	4	1000	720	0	0	SDJNH_7z
34	(25800,1)	九级格挡宝石	3	3840	2888	0	0	SDJNH_8z
35	(25797,1)	九级暴击宝石	3	3840	2888	0	0	SDJNH_8z
36	(26925,10)	生命之源	0	250	180	0	0	SDJNH_7z
37	(26924,10)	生命结晶	0	250	180	0	0	SDJNH_7z
38	(26119,1)	二级符文礼盒	0	30	9	0	1	SDJNH_3z
39	(26227,1)	四级符文礼盒	0	120	72	0	0	SDJNH_6z
40	(26230,1)	七级符文礼盒	0	960	540	0	0	SDJNH_6z
41	(25948,1)	九级英勇符文	3	3840	2688	0	0	SDJNH_7z
42	(25947,1)	九级公正符文	3	3840	2688	0	0	SDJNH_7z
43	(25950,1)	九级信仰符文	3	3840	2688	0	0	SDJNH_7z
44	(25952,1)	九级命运符文	3	3840	2688	0	0	SDJNH_7z
45	(25954,1)	九级奉献符文	3	3840	2688	0	0	SDJNH_7z
46	(25957,1)	九级牺牲符文	3	3840	2688	0	0	SDJNH_7z
47	(26479,10)	装备附魔石	0	150	100	0	0	SDJNH_7z
48	(26933,10)	星灵之羽	0	200	120	0	0	SDJNH_6z
49	(26934,10)	星灵水晶	0	200	150	0	0	SDJNH_8z
50	(26934,50)	星灵水晶	0	1000	700	0	0	SDJNH_7z
51	(25837,100)	羽翼培养石	0	1000	560	0	0	SDJNH_6z
52	(25837,10)	羽翼培养石	0	100	60	0	0	SDJNH_6z
53	(27167,5)	羽灵精魄	0	500	400	0	0	SDJNH_8z
54	(26676,1)	时装之魄	0	298	234	0	0	SDJNH_8z
55	(28673,1)	星灵水晶专属礼包	4	400	300	0	0	SDJNH_8z
56	(28674,1)	羽翼培养石专属礼包	4	500	320	0	0	SDJNH_6z
57	(28676,1)	时装之魄专属礼包	4	1192	1100	0	0	SDJNH_9z
58	(26144,100)	宠物圣果	0	1000	560	0	0	SDJNH_6z
59	(26144,10)	宠物圣果	0	100	60	0	0	SDJNH_6z
60	(28353,1)	宠物之灵	5	1000	600	1	0	SDJNH_6z
61	(27709,1)	一级魔石	0	500	300	0	0	SDJNH_6z
62	(27710,1)	二级魔石	0	1500	750	0	0	SDJNH_5z
63	(27712,1)	四级魔石	0	4500	2400	0	0	SDJNH_5z
64	(27715,1)	七级魔石	1	121500	18000	0	1	SDJNH_1z
65	(28675,1)	宠物圣果专属礼包	4	500	320	0	0	SDJNH_6z
66	(28671,1)	羽灵精魄专属礼包	4	1000	800	0	0	SDJNH_8z
67	(28039,1)	摩羯座女神（紫）	2	5888	1998	1	1	SDJNH_3z
68	(27177,1)	飞马座女神（紫）	2	5888	1888	1	1	SDJNH_3z
69	(27893,1)	天秤座女神（紫）	2	5888	1888	1	1	SDJNH_3z
70	(28269,1)	天蝎座女神（橙）	2	25888	8888	1	1	SDJNH_3z
71	(27178,1)	飞马座女神（橙）	2	25888	8888	1	1	SDJNH_3z
72	(28899,1)	天秤座女神（橙）	2	25888	7888	1	1	SDJNH_3z
73	(27939,5)	神造石	3	1000	500	1	0	SDJNH_5z
74	(26298,5)	圣器附魔石	0	250	200	0	0	SDJNH_8z
75	(28034,1)	二级雕纹	0	50	24	0	0	SDJNH_5z
76	(28030,1)	四级雕纹	0	200	144	0	0	SDJNH_7z
77	(28032,1)	六级雕纹	0	800	560	0	0	SDJNH_7z
78	(26677,10)	时装精华	0	200	128	0	0	SDJNH_6z
79	(28677,1)	时装精华专属礼包	4	400	300	0	0	SDJNH_8z
80	(27041,5)	龙脉精华	0	150	90	0	0	SDJNH_6z
81	(27042,5)	龙脉精魄	0	150	100	0	0	SDJNH_7z
82	(27570,20)	时装水晶石	0	200	100	0	0	SDJNH_5z
83	(27587,100)	装备洗练石	20	1000	720	0	0	SDJNH_7z
84	(27587,10)	装备洗练石	0	100	80	0	0	SDJNH_8z
85	(28376,1)	魔灵礼包	5	1000	600	1	0	SDJNH_6z
86	(28280,20)	魔灵洗练石	20	1000	800	0	0	SDJNH_8z
87	(29271,1)	绯红飞鹿	0	5000	3888	1	0	SDJNH_8z
