goodId	item	limitCnt	originalUnbindRMB	needUnbindRMB	RMBType	isLowestPrice	discountFlag
商品ID	物品(coding,cnt)	限购个数(0为不限购)	原价	现价（需要神石）	神石类型(1-充值神石 0-充值奖励神石均可)	是否最低价	折扣标签
1	(28547,1)	10	350	140	1	0	SDJNH_4z
2	(26450,20)	0	1300	520	1	1	SDJNH_4z
3	(26450,5)	0	325	162	1	0	SDJNH_5z
4	(26638,1)	3	10800	4320	1	0	SDJNH_4z
5	(26643,1)	2	15000	6000	1	0	SDJNH_4z
6	(26644,1)	1	19600	7840	1	0	SDJNH_4z
7	(26923,1)	1	7995	4797	1	0	SDJNH_6z
8	(25600,100)	0	2000	600	0	1	SDJNH_3z
9	(25600,20)	0	400	120	0	1	SDJNH_3z
10	(26344,100)	0	2500	750	0	1	SDJNH_3z
11	(26344,20)	0	500	150	0	1	SDJNH_3z
12	(25656,1)	0	1000	100	0	0	SDJNH_1z
13	(25657,1)	0	1000	100	0	0	SDJNH_1z
14	(25658,1)	0	1000	100	0	0	SDJNH_1z
15	(25659,1)	0	1000	100	0	0	SDJNH_1z
16	(25660,1)	0	1000	100	0	0	SDJNH_1z
17	(26525,1)	0	1000	100	0	0	SDJNH_1z
18	(27047,1)	0	1000	100	0	0	SDJNH_1z
19	(27913,1)	0	1000	100	0	0	SDJNH_1z
20	(26033,1)	0	85	8	0	0	SDJNH_1z
21	(26026,1)	0	295	118	0	0	SDJNH_4z
22	(26226,1)	0	2360	944	0	0	SDJNH_4z
23	(25792,1)	3	9440	5664	0	0	SDJNH_6z
24	(25793,1)	3	9440	5664	0	0	SDJNH_6z
25	(25794,1)	3	9440	5664	0	0	SDJNH_6z
26	(25795,1)	5	7840	3920	0	0	SDJNH_5z
27	(25796,1)	5	7840	3920	0	0	SDJNH_5z
28	(25800,1)	3	9440	6608	0	0	SDJNH_7z
29	(25797,1)	3	9440	6608	0	0	SDJNH_7z
30	(27939,5)	3	2500	1000	1	0	SDJNH_4z
33	(27705,1)	2	15995	3199	1	0	SDJNH_2z
34	(27177,1)	2	15995	3199	1	0	SDJNH_2z
36	(27566,20)	0	2500	1500	0	1	SDJNH_6z
37	(27566,5)	0	625	437	0	0	SDJNH_7z
38	(26925,10)	0	650	390	0	0	SDJNH_6z
39	(26924,10)	0	650	390	0	0	SDJNH_6z
40	(27041,5)	0	250	125	0	0	SDJNH_5z
41	(27042,5)	0	250	150	0	0	SDJNH_6z
42	(26042,5)	0	4475	1342	0	1	SDJNH_3z
43	(26042,1)	0	895	358	0	0	SDJNH_4z
44	(26608,1)	8	5000	2500	0	0	SDJNH_5z
45	(28253,1)	2	15000	7500	1	0	SDJNH_5z
46	(26119,1)	0	85	17	0	0	SDJNH_2z
47	(26227,1)	0	295	147	0	0	SDJNH_5z
48	(26230,1)	0	2360	1180	0	0	SDJNH_5z
49	(25948,1)	3	9440	5664	0	0	SDJNH_6z
50	(25947,1)	3	9440	5664	0	0	SDJNH_6z
51	(25950,1)	3	9440	5664	0	0	SDJNH_6z
52	(25952,1)	3	9440	5664	0	0	SDJNH_6z
53	(25954,1)	3	9440	5664	0	0	SDJNH_6z
54	(25957,1)	3	9440	5664	0	0	SDJNH_6z
55	(26298,5)	0	625	437	0	0	SDJNH_7z
56	(28034,1)	0	155	62	0	0	SDJNH_4z
57	(28030,1)	0	595	357	0	0	SDJNH_6z
58	(28032,1)	0	2380	1428	0	0	SDJNH_6z
61	(26479,10)	0	400	240	0	0	SDJNH_6z
62	(27587,100)	20	2500	1500	0	1	SDJNH_6z
63	(27587,10)	0	250	175	0	0	SDJNH_7z
64	(26933,10)	0	500	250	0	0	SDJNH_5z
65	(26934,10)	0	500	350	0	0	SDJNH_7z
66	(26934,50)	0	2500	1500	0	0	SDJNH_6z
67	(26144,100)	0	9500	4750	0	1	SDJNH_5z
68	(26144,10)	0	950	475	0	1	SDJNH_5z
69	(28353,1)	5	395	197	1	0	SDJNH_5z
70	(25837,100)	0	5000	2500	0	1	SDJNH_5z
71	(25837,10)	0	500	250	0	1	SDJNH_5z
72	(27167,5)	0	1250	875	0	0	SDJNH_7z
73	(26676,1)	0	795	556	0	0	SDJNH_7z
74	(26677,10)	0	950	475	0	0	SDJNH_5z
75	(27570,20)	0	300	120	0	0	SDJNH_4z
76	(27709,1)	0	1595	797	0	0	SDJNH_5z
77	(27710,1)	0	4785	2392	0	0	SDJNH_5z
78	(27712,1)	0	14355	7177	0	0	SDJNH_5z
79	(27715,1)	1	387585	38758	0	0	SDJNH_1z
