goodId	item	des	limitCnt	originalUnbindRMB	needUnbindRMB	RMBType	isLowestPrice	discountFlag
商品ID	物品(coding,cnt)	备注	限购个数(0为不限购)	原价	现价（需要神石）	神石类型(1-充值神石 0-充值奖励神石均可)	是否最低价	折扣标签
1	(28046,1)	缤纷十月礼包	5	200	100	1	0	SDJNH_5z
2	(26450,20)	许愿币	0	400	200	1	1	SDJNH_5z
3	(26450,5)	许愿币	0	100	55	1	0	SDJNH_6z
4	(26638,1)	坐骑升星精华（小）	3	5400	2100	1	0	SDJNH_3z
5	(26643,1)	坐骑升星精华（中）	2	7500	3000	1	0	SDJNH_4z
6	(26644,1)	坐骑升星精华（大）	1	9800	4000	1	0	SDJNH_4z
7	(26923,1)	黄金白马	1	3998	1888	1	0	SDJNH_5z
8	(25600,100)	坐骑培养石	0	1000	400	0	1	SDJNH_4z
9	(25600,20)	坐骑培养石	0	200	88	0	1	SDJNH_4z
10	(26344,100)	姻缘石	0	1000	400	0	1	SDJNH_4z
11	(26344,20)	姻缘石	0	200	88	0	1	SDJNH_4z
12	(25656,1)	一星召唤令	0	250	50	0	0	SDJNH_2z
13	(25657,1)	二星召唤令	0	250	50	0	0	SDJNH_2z
14	(25658,1)	三星召唤令	0	250	50	0	0	SDJNH_2z
15	(25659,1)	四星召唤令	0	250	50	0	0	SDJNH_2z
16	(25660,1)	五星召唤令	0	250	50	0	0	SDJNH_2z
17	(26525,1)	六星召唤令	0	250	50	0	0	SDJNH_2z
18	(27047,1)	七星召唤令	0	250	50	0	0	SDJNH_2z
19	(27913,1)	八星召唤令	0	250	50	0	0	SDJNH_2z
20	(26033,1)	二级宝石礼盒	0	30	6	0	0	SDJNH_2z
21	(26026,1)	四级宝石礼盒	0	120	60	0	0	SDJNH_5z
22	(26226,1)	七级宝石礼盒	0	960	488	0	0	SDJNH_5z
23	(25792,1)	九级生命宝石	3	3840	1920	0	0	SDJNH_5z
24	(25793,1)	九级物攻宝石	3	3840	1920	0	0	SDJNH_5z
25	(25794,1)	九级法攻宝石	3	3840	1920	0	0	SDJNH_5z
26	(25795,1)	九级物防宝石	5	3072	1500	0	0	SDJNH_4z
27	(25796,1)	九级法防宝石	5	3072	1500	0	0	SDJNH_4z
28	(25800,1)	九级格挡宝石	3	3840	2340	0	0	SDJNH_6z
29	(25797,1)	九级暴击宝石	3	3840	2340	0	0	SDJNH_6z
30	(27939,5)	神造石	3	1000	500	1	0	SDJNH_5z
31	(26481,1)	狮子座女神（紫）	2	5888	1998	1	0	SDJNH_3z
32	(28039,1)	摩羯座女神（紫）	2	5888	1998	1	0	SDJNH_3z
33	(27566,20)	坐骑进化石	0	1000	720	0	1	SDJNH_7z
34	(27566,5)	坐骑进化石	0	250	200	0	0	SDJNH_8z
35	(26925,10)	生命之源	0	250	180	0	0	SDJNH_7z
36	(26924,10)	生命结晶	0	250	180	0	0	SDJNH_7z
37	(27041,5)	龙脉精华	0	150	90	0	0	SDJNH_6z
38	(27042,5)	龙脉精魄	0	150	100	0	0	SDJNH_7z
39	(26042,5)	占卜令	0	1000	400	0	1	SDJNH_4z
40	(26042,1)	占卜令	0	200	100	0	0	SDJNH_5z
