rewardId	rewardType	rangeId	levelRange	item	rate	isPrecious	isBroadcast
奖励ID	奖励类型(1:普通攻击,2:高级攻击)	等级区段ID	 等级区段	物品(coding,cnt)	随机概率	1-珍稀 0-不珍稀	是否广播（1是，0否）
1	2	1	[30,59]	(37082,1)	22	1	1
2	2	1	[30,59]	(37079,1)	32	1	1
3	2	1	[30,59]	(37080,1)	36	1	1
4	2	1	[30,59]	(37081,1)	40	1	1
5	2	1	[30,59]	(29412,1)	2500	1	0
6	2	1	[30,59]	(29413,5)	500	0	0
7	2	1	[30,59]	(27521,1)	64	1	1
8	2	1	[30,59]	(25600,50)	200	1	0
9	2	1	[30,59]	(26344,50)	200	1	0
10	2	1	[30,59]	(27518,1)	1000	1	0
11	2	1	[30,59]	(27519,1)	400	0	0
12	2	1	[30,59]	(27520,1)	160	0	1
13	2	1	[30,59]	(26042,1)	800	0	0
14	2	1	[30,59]	(26925,5)	1000	0	0
15	2	1	[30,59]	(26924,5)	1000	0	0
16	2	1	[30,59]	(25600,20)	1000	0	0
17	2	1	[30,59]	(25600,30)	500	0	0
18	2	1	[30,59]	(26344,20)	1000	0	0
19	2	1	[30,59]	(26344,30)	500	0	0
20	2	1	[30,59]	(26343,10)	1000	0	0
21	2	1	[30,59]	(27566,2)	1000	0	0
22	1	2	[30,59]	(29413,1)	3800	1	0
23	1	2	[30,59]	(26044,1)	250	1	0
24	1	2	[30,59]	(25600,3)	400	1	0
25	1	2	[30,59]	(26344,3)	400	1	0
26	1	2	[30,59]	(26343,2)	500	1	0
27	1	2	[30,59]	(26925,1)	500	1	0
28	1	2	[30,59]	(26924,1)	500	1	0
29	1	2	[30,59]	(27566,1)	50	1	0
30	1	2	[30,59]	(26033,1)	500	1	0
31	1	2	[30,59]	(26032,1)	1000	0	0
32	1	2	[30,59]	(25600,1)	1200	0	0
33	1	2	[30,59]	(25600,2)	600	0	0
34	1	2	[30,59]	(26344,1)	1200	0	0
35	1	2	[30,59]	(26344,2)	600	0	0
36	1	2	[30,59]	(26343,1)	1000	0	0
37	2	3	[60,79]	(28253,1)	32	1	1
38	2	3	[60,79]	(37082,1)	27	1	1
39	2	3	[60,79]	(37079,1)	40	1	1
40	2	3	[60,79]	(37080,1)	45	1	1
41	2	3	[60,79]	(37081,1)	50	1	1
42	2	3	[60,79]	(29412,1)	3200	1	0
43	2	3	[60,79]	(29413,5)	640	0	0
44	2	3	[60,79]	(27624,1)	64	1	1
45	2	3	[60,79]	(27521,1)	64	1	1
46	2	3	[60,79]	(27518,1)	1000	1	0
47	2	3	[60,79]	(27519,1)	400	0	0
48	2	3	[60,79]	(27520,1)	160	0	0
49	2	3	[60,79]	(27621,1)	1000	0	0
50	2	3	[60,79]	(27622,1)	400	0	0
51	2	3	[60,79]	(27623,1)	160	0	0
52	2	3	[60,79]	(26042,1)	800	0	0
53	2	3	[60,79]	(25837,10)	1000	0	0
54	2	3	[60,79]	(25837,15)	600	0	0
55	2	3	[60,79]	(25837,20)	300	0	0
56	2	3	[60,79]	(26144,10)	1000	0	0
57	2	3	[60,79]	(26144,15)	600	0	0
58	2	3	[60,79]	(26144,20)	300	0	0
59	2	3	[60,79]	(26479,10)	1000	0	0
60	2	3	[60,79]	(26479,15)	600	0	0
61	2	3	[60,79]	(26479,20)	300	0	0
62	2	3	[60,79]	(26934,8)	1000	0	0
63	2	3	[60,79]	(26934,10)	600	0	0
64	2	3	[60,79]	(26934,20)	300	0	0
65	2	3	[60,79]	(27566,2)	1000	0	0
66	2	3	[60,79]	(27566,5)	200	0	0
67	1	4	[60,79]	(29413,1)	4320	1	0
68	1	4	[60,79]	(26267,1)	200	1	0
69	1	4	[60,79]	(26044,1)	250	1	0
70	1	4	[60,79]	(25837,2)	500	1	0
71	1	4	[60,79]	(27566,1)	50	1	0
72	1	4	[60,79]	(26936,3)	600	1	0
73	1	4	[60,79]	(26479,1)	1000	1	0
74	1	4	[60,79]	(26934,1)	600	1	0
75	1	4	[60,79]	(26144,2)	500	1	0
76	1	4	[60,79]	(26033,1)	500	0	0
77	1	4	[60,79]	(26032,1)	1000	0	0
78	1	4	[60,79]	(26119,1)	400	0	0
79	1	4	[60,79]	(26266,1)	800	0	0
80	1	4	[60,79]	(25837,1)	1000	0	0
81	1	4	[60,79]	(26144,1)	1000	0	0
82	1	4	[60,79]	(26479,2)	500	0	0
83	1	4	[60,79]	(26936,2)	600	0	0
84	1	4	[60,79]	(26933,1)	600	0	0
85	2	5	[80,119]	(28253,1)	35	1	1
86	2	5	[80,119]	(27492,1)	17	1	1
87	2	5	[80,119]	(37082,1)	30	1	1
88	2	5	[80,119]	(37079,1)	45	1	1
89	2	5	[80,119]	(37080,1)	50	1	1
90	2	5	[80,119]	(37081,1)	55	1	1
91	2	5	[80,119]	(29412,1)	3500	1	0
92	2	5	[80,119]	(29413,5)	700	0	0
93	2	5	[80,119]	(28043,1)	12	1	1
94	2	5	[80,119]	(27518,1)	1000	0	0
95	2	5	[80,119]	(27519,1)	400	0	0
96	2	5	[80,119]	(27520,1)	160	0	0
97	2	5	[80,119]	(27521,1)	64	0	0
98	2	5	[80,119]	(27618,1)	25	1	1
99	2	5	[80,119]	(27621,1)	1000	0	0
100	2	5	[80,119]	(27622,1)	400	0	0
101	2	5	[80,119]	(27623,1)	160	0	0
102	2	5	[80,119]	(27624,1)	64	0	0
103	2	5	[80,119]	(27625,1)	25	0	1
104	2	5	[80,119]	(28030,1)	400	0	0
105	2	5	[80,119]	(28031,1)	160	0	0
106	2	5	[80,119]	(28032,1)	64	0	0
107	2	5	[80,119]	(28042,1)	30	0	1
108	2	5	[80,119]	(27709,1)	200	0	0
109	2	5	[80,119]	(25837,10)	1000	0	0
110	2	5	[80,119]	(25837,15)	600	0	0
111	2	5	[80,119]	(25837,20)	300	0	0
112	2	5	[80,119]	(26144,10)	1000	0	0
113	2	5	[80,119]	(26144,15)	600	0	0
114	2	5	[80,119]	(26144,20)	300	0	0
115	2	5	[80,119]	(26479,10)	1000	0	0
116	2	5	[80,119]	(26479,15)	600	0	0
117	2	5	[80,119]	(26479,20)	300	0	0
118	2	5	[80,119]	(26934,8)	1000	0	0
119	2	5	[80,119]	(26934,10)	600	0	0
120	2	5	[80,119]	(26934,20)	300	0	0
121	2	5	[80,119]	(27566,2)	1000	0	0
122	2	5	[80,119]	(26298,2)	1000	0	0
123	2	5	[80,119]	(26298,5)	200	0	0
124	1	6	[80,179]	(29413,1)	5250	1	0
125	1	6	[80,179]	(28034,1)	250	1	0
126	1	6	[80,179]	(26267,1)	250	1	0
127	1	6	[80,179]	(26044,1)	250	1	0
128	1	6	[80,179]	(29023,1)	50	1	0
129	1	6	[80,179]	(27566,1)	50	1	0
130	1	6	[80,179]	(26934,1)	600	1	0
131	1	6	[80,179]	(26936,3)	600	1	0
132	1	6	[80,179]	(26302,2)	500	1	0
133	1	6	[80,179]	(26033,1)	500	0	0
134	1	6	[80,179]	(26032,1)	1000	0	0
135	1	6	[80,179]	(26119,1)	500	0	0
136	1	6	[80,179]	(26266,1)	1000	0	0
137	1	6	[80,179]	(28033,1)	500	0	0
138	1	6	[80,179]	(25837,2)	500	0	0
139	1	6	[80,179]	(25837,2)	500	0	0
140	1	6	[80,179]	(26479,2)	500	0	0
141	1	6	[80,179]	(25837,1)	1000	0	0
142	1	6	[80,179]	(25837,1)	1000	0	0
143	1	6	[80,179]	(26479,2)	500	0	0
144	1	6	[80,179]	(26479,1)	1000	0	0
145	1	6	[80,179]	(26936,2)	600	0	0
146	1	6	[80,179]	(26933,1)	600	0	0
147	2	7	[120,179]	(28253,1)	46	1	1
148	2	7	[120,179]	(27492,1)	23	1	1
149	2	7	[120,179]	(37082,1)	40	1	1
150	2	7	[120,179]	(37079,1)	60	1	1
151	2	7	[120,179]	(37080,1)	67	1	1
152	2	7	[120,179]	(37081,1)	74	1	1
153	2	7	[120,179]	(29412,1)	4650	1	0
154	2	7	[120,179]	(29413,5)	930	0	0
155	2	7	[120,179]	(28043,1)	12	1	1
156	2	7	[120,179]	(27518,1)	1000	0	0
157	2	7	[120,179]	(27519,1)	400	0	0
158	2	7	[120,179]	(27520,1)	160	0	0
159	2	7	[120,179]	(27521,1)	64	0	1
160	2	7	[120,179]	(27618,1)	25	0	1
161	2	7	[120,179]	(27619,1)	10	1	1
162	2	7	[120,179]	(27621,1)	1000	0	0
163	2	7	[120,179]	(27622,1)	400	0	0
164	2	7	[120,179]	(27623,1)	160	0	0
165	2	7	[120,179]	(27624,1)	64	0	1
166	2	7	[120,179]	(27625,1)	25	0	1
167	2	7	[120,179]	(27626,1)	10	0	1
168	2	7	[120,179]	(28030,1)	400	0	0
169	2	7	[120,179]	(28031,1)	160	0	0
170	2	7	[120,179]	(28032,1)	64	0	1
171	2	7	[120,179]	(28042,1)	30	0	1
172	2	7	[120,179]	(27709,1)	200	0	0
173	2	7	[120,179]	(26934,8)	1000	0	0
174	2	7	[120,179]	(26934,10)	600	0	0
175	2	7	[120,179]	(26934,20)	300	0	0
176	2	7	[120,179]	(27566,2)	1000	0	0
177	2	7	[120,179]	(26298,2)	1000	0	0
178	2	7	[120,179]	(26298,5)	200	0	0
179	2	7	[120,179]	(27041,5)	1000	0	0
180	2	7	[120,179]	(27041,10)	500	0	0
181	2	7	[120,179]	(27042,5)	1000	0	0
182	2	7	[120,179]	(27042,10)	500	0	0
183	2	7	[120,179]	(26676,1)	300	0	0
184	2	7	[120,179]	(26677,5)	1000	0	0
185	2	7	[120,179]	(26677,10)	800	0	0
186	2	7	[120,179]	(26677,20)	500	0	0
187	2	7	[120,179]	(28280,3)	1000	0	0
188	2	7	[120,179]	(28280,5)	500	0	0
189	2	7	[120,179]	(28563,5)	800	0	0
190	2	7	[120,179]	(28564,2)	800	0	0
191	2	7	[120,179]	(28571,5)	800	0	0
192	2	7	[120,179]	(28572,2)	800	0	0
