index	minLevel	needRechargeRMB	rewardItems
索引	最小等级	需要充值神石	奖励道具
1	1	500	[(28035,3),(28887,1),(27041,5),(26677,5),(26934,5),(26043,5)]
2	1	1000	[(28035,3),(28887,1),(27041,5),(26677,5),(26934,5),(26043,5)]
3	1	2000	[(28035,3),(28887,1),(27041,5),(26677,5),(26934,5),(26043,10)]
4	1	3000	[(28035,3),(28887,1),(27041,5),(26677,5),(26934,5),(26043,10)]
5	1	4000	[(28035,3),(28887,2),(27041,5),(26677,5),(26934,5),(26043,10)]
6	1	5000	[(28035,3),(28887,2),(27041,5),(26677,5),(26934,5),(26043,10)]
7	1	6000	[(28030,3),(28887,2),(27041,5),(26677,5),(26934,5),(26043,10)]
8	1	8000	[(28030,3),(28887,2),(27041,10),(26677,10),(26934,10),(26043,20)]
9	1	10000	[(28030,3),(28887,5),(27041,10),(26677,10),(26934,10),(26043,20)]
10	1	12000	[(28030,3),(28887,5),(27041,10),(26677,10),(26934,10),(26043,20)]
11	1	14000	[(28030,3),(28887,5),(27041,10),(26677,10),(26934,10),(26043,20)]
12	1	16000	[(28030,3),(28887,5),(27041,10),(26677,10),(26934,10),(26043,20)]
13	1	18000	[(28030,3),(28887,10),(27041,10),(26677,10),(26934,10),(26043,20)]
14	1	20000	[(28030,3),(28887,10),(27041,10),(26677,10),(26934,10),(26043,20)]
15	1	25000	[(28031,3),(28887,10),(27041,15),(26677,15),(26934,15),(26043,50)]
16	1	30000	[(28031,3),(28887,10),(27041,15),(26677,15),(26934,15),(26043,50)]
17	1	40000	[(28032,3),(28887,10),(27041,30),(26677,30),(26934,30),(26043,100)]
18	1	50000	[(28032,3),(28887,10),(27041,30),(26677,30),(26934,30),(26043,100)]
19	1	60000	[(28032,3),(28887,10),(27041,30),(26677,30),(26934,30),(26043,100)]
20	1	80000	[(28042,3),(28887,20),(27041,60),(26677,60),(26934,60),(26043,200)]
21	1	100000	[(28042,1),(28887,20),(27041,60),(26677,60),(26934,60),(26043,200)]
