rank	needRMB	rewardItems	rankImg
排名	需要充值神石	奖励	是否显示(没有就不填，千万不要填0)
1	3000	[(28528,50),(26450,60),(27566,40)]	WZGC_TextDYM
2	3000	[(28528,35),(26450,48),(27566,32)]	WZGC_TextDRM
3	3000	[(28528,25),(26450,36),(27566,24)]	WZGC_TextDSM
4	3000	[(28528,20),(26450,24),(27566,18)]	WZGC_TextD4M
5	3000	[(28528,10),(26450,15),(27566,10)]	WZGC_TextD5M
6	3000	[(28528,10),(26450,15),(27566,10)]	
7	3000	[(28528,10),(26450,15),(27566,10)]	
8	3000	[(28528,10),(26450,15),(27566,10)]	
9	3000	[(28528,5),(26450,10),(27566,6)]	
10	3000	[(28528,5),(26450,10),(27566,6)]	
