roundId	syncTime	lotteryTime	rewardPool
轮次ID	数据同步时间	抽奖时间	本次抽奖奖励池[(rewarId,cnt)]
1	(2016,1,27,11,55,0)	(2016,1,27,12,0,0)	[(1,1),(2,2),(3,5),(4,20),(5,40),(6,100),(7,200)]
2	(2016,1,27,17,55,0)	(2016,1,27,18,0,0)	[(1,1),(2,2),(3,5),(4,20),(5,40),(6,100),(7,200)]
3	(2016,1,27,23,45,0)	(2016,1,27,23,50,0)	[(1,1),(2,2),(3,5),(4,20),(5,40),(6,100),(7,200)]
4	(2016,1,28,11,55,0)	(2016,1,28,12,0,0)	[(1,1),(2,2),(3,5),(4,20),(5,40),(6,100),(7,200)]
5	(2016,1,28,17,55,0)	(2016,1,28,18,0,0)	[(1,1),(2,2),(3,5),(4,20),(5,40),(6,100),(7,200)]
6	(2016,1,28,23,45,0)	(2016,1,28,23,50,0)	[(1,1),(2,2),(3,5),(4,20),(5,40),(6,100),(7,200)]
7	(2016,1,29,11,55,0)	(2016,1,29,12,0,0)	[(1,1),(2,2),(3,5),(4,20),(5,40),(6,100),(7,200)]
8	(2016,1,29,17,55,0)	(2016,1,29,18,0,0)	[(1,1),(2,2),(3,5),(4,20),(5,40),(6,100),(7,200)]
9	(2016,1,29,23,45,0)	(2016,1,29,23,50,0)	[(1,1),(2,2),(3,5),(4,20),(5,40),(6,100),(7,200)]
10	(2016,1,30,11,55,0)	(2016,1,30,12,0,0)	[(1,1),(2,2),(3,5),(4,20),(5,40),(6,100),(7,200)]
11	(2016,1,30,17,55,0)	(2016,1,30,18,0,0)	[(1,1),(2,2),(3,5),(4,20),(5,40),(6,100),(7,200)]
12	(2016,1,30,23,45,0)	(2016,1,30,23,50,0)	[(1,1),(2,2),(3,5),(4,20),(5,40),(6,100),(7,200)]
13	(2016,1,31,11,55,0)	(2016,1,31,12,0,0)	[(1,1),(2,2),(3,5),(4,20),(5,40),(6,100),(7,200)]
14	(2016,1,31,17,55,0)	(2016,1,31,18,0,0)	[(1,1),(2,2),(3,5),(4,20),(5,40),(6,100),(7,200)]
15	(2016,1,31,23,45,0)	(2016,1,31,23,50,0)	[(1,1),(2,2),(3,5),(4,20),(5,40),(6,100),(7,200)]
16	(2016,2,1,11,55,0)	(2016,2,1,12,0,0)	[(1,1),(2,2),(3,5),(4,20),(5,40),(6,100),(7,200)]
17	(2016,2,1,17,55,0)	(2016,2,1,18,0,0)	[(1,1),(2,2),(3,5),(4,20),(5,40),(6,100),(7,200)]
18	(2016,2,1,23,45,0)	(2016,2,1,23,50,0)	[(1,1),(2,2),(3,5),(4,20),(5,40),(6,100),(7,200)]
19	(2016,2,2,11,55,0)	(2016,2,2,12,0,0)	[(1,1),(2,2),(3,5),(4,20),(5,40),(6,100),(7,200)]
20	(2016,2,2,17,55,0)	(2016,2,2,18,0,0)	[(1,1),(2,2),(3,5),(4,20),(5,40),(6,100),(7,200)]
21	(2016,2,2,23,45,0)	(2016,2,2,23,50,0)	[(1,1),(2,2),(3,5),(4,20),(5,40),(6,100),(7,200)]
