roleLevel	schemeList
角色等级	方案列表
1	[1,1]
2	[1,1]
3	[1,1]
4	[1,1]
5	[1,1]
6	[1,1]
7	[1,1]
8	[1,1]
9	[1,1]
10	[1,1]
11	[1,1]
12	[1,1]
13	[1,1]
14	[1,1]
15	[1,1]
16	[1,1]
17	[1,1]
18	[1,1]
19	[1,1]
20	[1,1]
21	[1,1]
22	[1,1]
23	[1,1]
24	[1,1]
25	[1,1]
26	[1,1]
27	[1,1]
28	[1,1]
29	[1,1]
30	[1,1]
31	[1,1]
32	[1,1]
33	[1,1]
34	[1,1]
35	[1,1]
36	[1,1]
37	[1,1]
38	[1,1]
39	[1,1]
40	[1,1]
41	[1,1]
42	[1,1]
43	[1,1]
44	[1,1]
45	[1,1]
46	[1,1]
47	[1,1]
48	[1,1]
49	[1,1]
50	[1,1]
51	[1,1]
52	[1,1]
53	[1,1]
54	[1,1]
55	[1,1]
56	[1,1]
57	[1,1]
58	[1,1]
59	[1,1]
60	[2,2]
61	[2,2]
62	[2,2]
63	[2,2]
64	[2,2]
65	[2,2]
66	[2,2]
67	[2,2]
68	[2,2]
69	[2,2]
70	[2,2]
71	[2,2]
72	[2,2]
73	[2,2]
74	[2,2]
75	[2,2]
76	[2,2]
77	[2,2]
78	[2,2]
79	[2,2]
80	[3,3]
81	[3,3]
82	[3,3]
83	[3,3]
84	[3,3]
85	[3,3]
86	[3,3]
87	[3,3]
88	[3,3]
89	[3,3]
90	[3,3]
91	[3,3]
92	[3,3]
93	[3,3]
94	[3,3]
95	[3,3]
96	[3,3]
97	[3,3]
98	[3,3]
99	[3,3]
100	[3,3]
101	[3,3]
102	[3,3]
103	[3,3]
104	[3,3]
105	[3,3]
106	[3,3]
107	[3,3]
108	[3,3]
109	[3,3]
110	[3,3]
111	[3,3]
112	[3,3]
113	[3,3]
114	[3,3]
115	[3,3]
116	[3,3]
117	[3,3]
118	[3,3]
119	[3,3]
120	[4,4]
121	[4,4]
122	[4,4]
123	[4,4]
124	[4,4]
125	[4,4]
126	[4,4]
127	[4,4]
128	[4,4]
129	[4,4]
130	[4,4]
131	[4,4]
132	[4,4]
133	[4,4]
134	[4,4]
135	[4,4]
136	[4,4]
137	[4,4]
138	[4,4]
139	[4,4]
140	[4,4]
141	[4,4]
142	[4,4]
143	[4,4]
144	[4,4]
145	[4,4]
146	[4,4]
147	[4,4]
148	[4,4]
149	[4,4]
150	[4,4]
151	[4,4]
152	[4,4]
153	[4,4]
154	[4,4]
155	[4,4]
156	[4,4]
157	[4,4]
158	[4,4]
159	[4,4]
160	[4,4]
161	[4,4]
162	[4,4]
163	[4,4]
164	[4,4]
165	[4,4]
166	[4,4]
167	[4,4]
168	[4,4]
169	[4,4]
170	[4,4]
171	[4,4]
172	[4,4]
173	[4,4]
174	[4,4]
175	[4,4]
176	[4,4]
177	[4,4]
178	[4,4]
179	[4,4]
