dayIndex	theDate	startBackDayIndex	endBackDayIndex	percent	maxBack	needRecordConsume
天数	日期	开始返还天数	结束返还天数	返还百分比	最大返还值	是否记录充值
1	(2015,10,1)	8	15	12	10000	1
2	(2015,10,2)	9	15	12	10000	1
3	(2015,10,3)	10	15	12	10000	1
4	(2015,10,4)	11	15	12	10000	1
5	(2015,10,5)	12	15	12	10000	1
6	(2015,10,6)	13	15	12	10000	1
7	(2015,10,7)	14	15	12	10000	1
8	(2015,10,8)	0	0	0	0	0
9	(2015,10,9)	0	0	0	0	0
10	(2015,10,10)	0	0	0	0	0
11	(2015,10,11)	0	0	0	0	0
12	(2015,10,12)	0	0	0	0	0
13	(2015,10,13)	0	0	0	0	0
14	(2015,10,14)	0	0	0	0	0
15	(2015,10,15)	0	0	0	0	0
