petType	starLevel	maxStarLevel	initLucky	addLucky	trainNeedRMB	trainNeedItemCoding
宠物类型	星级	最大星级	初始幸运值	失败增加幸运值	培养需要的神石	培养需要道具coding
1	1	5	10000	500	95	26144
1	2	5	5000	500	95	26144
1	3	5	2000	300	95	26144
1	4	5	500	100	95	26144
1	5	5	100	60	95	26144
2	1	5	10000	500	95	26144
2	2	5	5000	500	95	26144
2	3	5	2000	300	95	26144
2	4	5	500	100	95	26144
2	5	5	100	60	95	26144
3	1	5	10000	500	95	26144
3	2	5	5000	500	95	26144
3	3	5	2000	300	95	26144
3	4	5	500	100	95	26144
3	5	5	100	60	95	26144
4	1	5	10000	500	95	26144
4	2	5	5000	500	95	26144
4	3	5	2000	300	95	26144
4	4	5	500	100	95	26144
4	5	5	100	60	95	26144
