petType	evoId	isActiveShape	shapeId	nextshapeId	name	nameColor	resID	icon	des	petStar	nextEvoId	sucRate	addRate	maxRate	addExp	maxExp	unBindRMB	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	parry	puncture	antibroken	notbroken	damageupgrade	damagereduce
宠物类型	进化ID	是否激活新的外形（1是）	外观ID从100开始，切记！！	下一个外观ID(没有填0)	宠物名称	颜色	宠物资源	宠物图标	宠物描述	需要的宠物星数	下一阶，没有填0	初始成功率（万分比）	每次失败增加的成功率（万分比）	基础成功率上限	增加的修为	修为上限	消耗的神石	生命	攻击速度	怒气	物攻	物防	法攻	法防	暴击	免暴	格挡	破挡	破防	免破	增伤	免伤
1	1	1	100	100	小白龙	黄色	91003	bmcw1	愤怒的小白龙，擅长提升物理攻击，适合物攻型英雄	2	2	5000	500	10000	1	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	2	0	100	100	小白龙	黄色	91003	bmcw1	愤怒的小白龙，擅长提升物理攻击，适合物攻型英雄	3	3	2000	400	10000	1	75	50	2700	0	0	1500	0	0	0	1200	600	500	1000	200	200	0	0
1	3	0	100	100	小白龙	黄色	91003	bmcw1	愤怒的小白龙，擅长提升物理攻击，适合物攻型英雄	3	4	1000	300	10000	1	135	50	5400	0	0	3000	0	0	0	2400	1200	1000	2000	400	400	0	0
1	4	0	100	108	小白龙	黄色	91003	bmcw1	愤怒的小白龙，擅长提升物理攻击，适合物攻型英雄	4	5	500	100	10000	1	320	50	8100	0	0	4500	0	0	0	3600	1800	1500	3000	600	600	0	0
1	5	1	108	120	灵·小白龙	黄色	91007	bmcw1_1	进阶的小白龙，擅长提升物理攻击，适合物攻型英雄	5	6	200	50	10000	1	600	10	10800	0	0	6000	0	0	0	4800	2400	2000	4000	800	800	0	0
1	6	1	120	0	小灵蝠	黄色	91012	xiaolingfu	机灵的小灵蝠，擅长提升物理攻击，适合物攻型英雄	5	0	0	0	0	0	0	0	13500	0	0	7500	0	0	0	6000	3000	2500	5000	1000	1000	0	0
2	1	1	103	103	小蓝龙	黄色	91005	bmcw3	爱卖萌的小蓝龙，擅长提升法术攻击，适合法攻型英雄	2	2	5000	500	10000	1	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	2	0	103	103	小蓝龙	黄色	91005	bmcw3	爱卖萌的小蓝龙，擅长提升法术攻击，适合法攻型英雄	3	3	2000	400	10000	1	75	50	2700	0	0	0	0	1500	0	1100	700	600	900	200	200	0	0
2	3	0	103	103	小蓝龙	黄色	91005	bmcw3	爱卖萌的小蓝龙，擅长提升法术攻击，适合法攻型英雄	3	4	1000	300	10000	1	135	50	5400	0	0	0	0	3000	0	2200	1400	1200	1800	400	400	0	0
2	4	0	103	109	小蓝龙	黄色	91005	bmcw3	爱卖萌的小蓝龙，擅长提升法术攻击，适合法攻型英雄	4	5	500	100	10000	1	320	50	8100	0	0	0	0	4500	0	3300	2100	1800	2700	600	600	0	0
2	5	1	109	121	灵·小蓝龙	黄色	91009	bmcw3_1	进阶的小蓝龙，擅长提升法术攻击，适合法攻型英雄	5	6	200	50	10000	1	600	10	10800	0	0	0	0	6000	0	4400	2800	2400	3600	800	800	0	0
2	6	1	121	0	小精灵	黄色	91010	xiaojingling	调皮的小精灵，擅长提升法术攻击，适合法攻型英雄	5	0	0	0	0	0	0	0	13500	0	0	0	0	7500	0	5500	3500	3000	4500	1000	1000	0	0
3	1	1	105	105	小黑龙	黄色	91004	bmcw2	爱睡觉的小黑龙，生命成长出众，适合防御型英雄	2	2	5000	500	10000	1	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	2	0	105	105	小黑龙	黄色	91004	bmcw2	爱睡觉的小黑龙，生命成长出众，适合防御型英雄	3	3	2000	400	10000	1	75	50	5400	0	0	600	0	0	0	600	1200	1000	500	200	200	0	0
3	3	0	105	105	小黑龙	黄色	91004	bmcw2	爱睡觉的小黑龙，生命成长出众，适合防御型英雄	3	4	1000	300	10000	1	135	50	10800	0	0	1200	0	0	0	1200	2400	2000	1000	400	400	0	0
3	4	0	105	110	小黑龙	黄色	91004	bmcw2	爱睡觉的小黑龙，生命成长出众，适合防御型英雄	4	5	500	100	10000	1	320	50	16200	0	0	1800	0	0	0	1800	3600	3000	1500	600	600	0	0
3	5	1	110	122	灵·小黑龙	黄色	91008	bmcw2_1	进阶的小黑龙，生命成长出众，适合防御型英雄	5	6	200	50	10000	1	600	10	21600	0	0	2400	0	0	0	2400	4800	4000	2000	800	800	0	0
3	6	1	122	0	小灵神	黄色	91011	xiaolingshen	憨厚的小灵神，生命成长出众，适合防御型英雄	5	0	0	0	0	0	0	0	27000	0	0	3000	0	0	0	3000	6000	5000	2500	1000	1000	0	0
4	1	1	107	107	小白龙	黄色	91003	bmcw1	愤怒的小白龙，擅长提升物理攻击，适合物攻型英雄	2	2	5000	500	10000	1	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	2	0	107	107	小白龙	黄色	91003	bmcw1	愤怒的小白龙，擅长提升物理攻击，适合物攻型英雄	3	3	2000	400	10000	1	75	50	2700	0	0	1500	0	0	0	1200	600	500	1000	200	200	0	0
4	3	0	107	107	小白龙	黄色	91003	bmcw1	愤怒的小白龙，擅长提升物理攻击，适合物攻型英雄	3	4	1000	300	10000	1	135	50	5400	0	0	3000	0	0	0	2400	1200	1000	2000	400	400	0	0
4	4	0	107	111	小白龙	黄色	91003	bmcw1	愤怒的小白龙，擅长提升物理攻击，适合物攻型英雄	4	5	500	100	10000	1	320	50	8100	0	0	4500	0	0	0	3600	1800	1500	3000	600	600	0	0
4	5	1	111	123	灵·小白龙	黄色	91007	bmcw1_1	进阶的小白龙，擅长提升物理攻击，适合物攻型英雄	5	6	200	50	10000	1	600	10	10800	0	0	6000	0	0	0	4800	2400	2000	4000	800	800	0	0
4	6	1	123	0	小灵蝠	黄色	91012	xiaolingfu	机灵的小灵蝠，擅长提升物理攻击，适合物攻型英雄	5	0	0	0	0	0	0	0	13500	0	0	7500	0	0	0	6000	3000	2500	5000	1000	1000	0	0
