petType	starLevel	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	parry	puncture	antibroken	notbroken	damageupgrade	damagereduce
宠物类型	星级	生命	攻击速度	怒气	物攻	物防	法攻	法防	暴击	免暴	格挡	破挡	破防	免破	增伤	免伤
1	1	3000	0	0	1600	0	0	0	1300	700	600	1100	300	300	0	0
1	2	8400	0	0	4600	0	0	0	3700	1900	1600	3000	700	700	0	0
1	3	16500	0	0	9100	0	0	0	7300	3700	3000	5900	1200	1200	0	0
1	4	30000	0	0	16600	0	0	0	13300	6700	5400	10700	2100	2100	0	0
1	5	54300	0	0	30100	0	0	0	24100	12100	9700	19300	3700	3700	0	0
2	1	3000	0	0	0	0	1600	0	1200	900	700	1000	300	300	0	0
2	2	8400	0	0	0	0	4600	0	3400	2300	1800	2800	700	700	0	0
2	3	16500	0	0	0	0	9100	0	6600	4500	3400	5500	1200	1200	0	0
2	4	30000	0	0	0	0	16600	0	12000	8100	6100	10000	2100	2100	0	0
2	5	54300	0	0	0	0	30100	0	21700	14500	10900	18100	3700	3700	0	0
3	1	5700	0	0	700	0	0	0	700	1300	1100	600	300	300	0	0
3	2	16500	0	0	1900	0	0	0	1900	3700	3000	1600	700	700	0	0
3	3	32700	0	0	3700	0	0	0	3700	7300	5900	3000	1200	1200	0	0
3	4	59700	0	0	6700	0	0	0	6700	13300	10700	5400	2100	2100	0	0
3	5	108300	0	0	12100	0	0	0	12100	24100	19300	9700	3700	3700	0	0
4	1	3000	0	0	1600	0	0	0	1300	700	600	1100	300	300	0	0
4	2	8400	0	0	4600	0	0	0	3700	1900	1600	3000	700	700	0	0
4	3	16500	0	0	9100	0	0	0	7300	3700	3000	5900	1200	1200	0	0
4	4	30000	0	0	16600	0	0	0	13300	6700	5400	10700	2100	2100	0	0
4	5	54300	0	0	30100	0	0	0	24100	12100	9700	19300	3700	3700	0	0
