index	thing	type	isBroadcast
索引	物品(code,cnt)	类型1:道具2：命魂	是否全服公告
1	(26044,1)	1	0
2	(26033,1)	1	0
3	(26032,1)	1	0
4	(26267,1)	1	0
5	(26119,1)	1	0
6	(26266,1)	1	0
7	(25837,2)	1	0
8	(26479,2)	1	0
9	(25837,1)	1	0
10	(26479,1)	1	0
11	(26144,1)	1	0
12	(26144,2)	1	0
13	(26446,1)	1	0
14	(26221,3)	1	0
101	(47,1)	2	1
102	(26928,1)	1	1
103	(26230,1)	1	1
104	(25837,15)	1	0
105	(26479,12)	1	0
106	(26225,1)	1	0
107	(26224,1)	1	0
108	(26026,1)	1	0
109	(26229,1)	1	0
110	(26228,1)	1	0
111	(26227,1)	1	0
112	(26144,15)	1	0
113	(26448,3)	1	0
114	(26221,20)	1	0
115	(26221,30)	1	0
116	(26221,50)	1	0
117	(26221,100)	1	0
118	(26161,1)	1	0
119	(26162,1)	1	0
120	(26163,1)	1	0
121	(26164,1)	1	0
122	(26166,1)	1	0
123	(26165,1)	1	0
124	(47,1)	2	1
125	(26929,1)	1	1
126	(26930,1)	1	1
127	(25837,15)	1	0
128	(26298,5)	1	0
129	(26225,1)	1	0
130	(26224,1)	1	0
131	(26026,1)	1	0
132	(26229,1)	1	0
133	(26228,1)	1	0
134	(26227,1)	1	0
135	(26144,15)	1	0
136	(26448,3)	1	0
137	(26221,20)	1	0
138	(26221,30)	1	0
139	(26221,50)	1	0
140	(26221,100)	1	0
141	(26161,1)	1	0
142	(26162,1)	1	0
143	(26163,1)	1	0
144	(26164,1)	1	0
145	(26166,1)	1	0
146	(26165,1)	1	0
147	(28030,1)	1	1
148	(28031,1)	1	1
149	(28032,1)	1	1
150	(27709,1)	1	1
151	(27710,1)	1	1
301	(27168,1)	1	0
152	(59,1)	2	1
153	(27880,1)	1	1
