index	item	needLevel	Limittype	LimitNum	currencyCoding	currencyCnt
商品索引	道具coding及数量	需要角色等级	限购类型（0为不限购，1为每日限购，2为活动时间内限购）	活动期间限购次数（0为不限）	代币coding	消耗代币数量
6	(28456,1)	30	2	1	28528	360
7	(26972,1)	30	2	1	28528	200
8	(27571,1)	100	2	1	28528	488
9	(27569,1)	100	2	1	28528	388
10	(28559,1)	80	2	200	28528	1
11	(26319,1)	80	2	200	28528	1
12	(28561,1)	80	2	200	28528	4
13	(26337,1)	80	2	200	28528	4
15	(28897,1)	80	2	1	28528	1500
16	(28452,1)	100	2	150	28528	4
17	(28448,1)	100	2	50	28528	4
18	(28449,1)	100	2	100	28528	3
19	(28450,1)	100	2	100	28528	3
20	(28451,1)	100	2	100	28528	3
21	(27874,1)	80	2	150	28528	2
22	(27875,1)	80	2	50	28528	2
23	(27876,1)	80	2	100	28528	2
24	(27877,1)	80	2	100	28528	2
25	(27878,1)	80	2	100	28528	2
26	(26873,1)	45	2	1	28528	100
27	(26874,1)	45	2	1	28528	100
28	(26875,1)	45	2	1	28528	100
29	(26876,1)	45	2	1	28528	100
30	(26877,1)	45	2	1	28528	100
31	(26878,1)	45	2	1	28528	100
32	(27341,1)	45	2	1	28528	40
33	(27342,1)	45	2	1	28528	40
34	(27343,1)	45	2	1	28528	40
35	(27344,1)	45	2	1	28528	40
36	(27345,1)	45	2	1	28528	40
37	(27346,1)	45	2	1	28528	40
38	(27347,1)	45	2	1	28528	40
39	(27348,1)	45	2	1	28528	40
40	(27349,1)	45	2	1	28528	40
41	(27350,1)	45	2	1	28528	40
42	(27351,1)	45	2	1	28528	40
43	(27352,1)	45	2	1	28528	40
44	(26849,1)	45	2	1	28528	100
45	(26850,1)	45	2	1	28528	100
46	(26851,1)	45	2	1	28528	100
47	(26852,1)	45	2	1	28528	100
48	(26853,1)	45	2	1	28528	100
49	(26854,1)	45	2	1	28528	100
50	(27323,1)	45	2	1	28528	40
51	(27324,1)	45	2	1	28528	40
52	(27325,1)	45	2	1	28528	40
53	(27326,1)	45	2	1	28528	40
54	(27327,1)	45	2	1	28528	40
55	(27328,1)	45	2	1	28528	40
56	(27329,1)	45	2	1	28528	40
57	(27330,1)	45	2	1	28528	40
58	(27331,1)	45	2	1	28528	40
59	(27332,1)	45	2	1	28528	40
60	(27333,1)	45	2	1	28528	40
61	(27334,1)	45	2	1	28528	40
62	(26753,1)	45	2	1	28528	30
63	(26754,1)	45	2	1	28528	30
64	(26755,1)	45	2	1	28528	30
65	(26756,1)	45	2	1	28528	30
66	(26757,1)	45	2	1	28528	30
67	(26758,1)	45	2	1	28528	30
68	(27251,1)	45	2	1	28528	20
69	(27252,1)	45	2	1	28528	20
70	(27253,1)	45	2	1	28528	20
71	(27254,1)	45	2	1	28528	20
72	(27255,1)	45	2	1	28528	20
73	(27256,1)	45	2	1	28528	20
74	(27257,1)	45	2	1	28528	20
75	(27258,1)	45	2	1	28528	20
76	(27259,1)	45	2	1	28528	20
77	(27260,1)	45	2	1	28528	20
78	(27261,1)	45	2	1	28528	20
79	(27262,1)	45	2	1	28528	20
