rewardId	isPrecious	item	rateValue
奖励ID	是否珍稀道具(0:否,1:是)	奖励物品(coding,cnt)	抽奖随机几率
1	0	(26934,12)	2000
2	0	(27566,5)	350
3	0	(37059,1)	1
4	0	(26677,10)	2000
5	0	(25837,20)	2000
6	0	(26298,5)	350
7	0	(26328,10)	10
8	0	(26144,20)	2000
9	0	(26479,10)	2000
10	0	(27709,1)	55
11	0	(28883,1)	45
12	0	(26676,1)	300
13	0	(27709,1)	55
14	0	(26310,20)	10
15	1	(37060,1)	1
16	0	(26934,12)	2000
17	0	(26676,1)	300
18	0	(28883,1)	45
19	0	(26144,20)	2000
20	0	(25837,20)	2000
21	0	(26677,10)	2000
22	0	(27566,5)	350
23	0	(26298,5)	350
24	0	(26479,10)	2000
25	0	(26676,1)	300
26	0	(26934,12)	2000
27	0	(26677,10)	2000
28	0	(26144,20)	2000
29	0	(26298,5)	350
30	0	(27709,1)	55
31	0	(28883,1)	45
32	0	(25837,20)	2000
33	0	(26479,10)	2000
34	1	(37061,1)	1
35	0	(27566,5)	350
36	0	(26310,20)	10
37	0	(27709,1)	55
38	1	(37062,1)	1
39	0	(25837,20)	2000
40	0	(28883,1)	45
41	0	(27566,5)	350
42	0	(26676,1)	300
43	0	(26298,5)	350
44	0	(26677,10)	2000
45	0	(26144,20)	2000
46	0	(26479,10)	2000
47	0	(26310,20)	10
48	0	(26934,12)	2000
49	0	(26310,20)	10
50	0	(26479,10)	2000
51	0	(27709,1)	55
52	0	(26677,10)	2000
53	0	(27566,5)	350
54	0	(26934,12)	2000
55	1	(37059,1)	1
56	0	(26298,5)	350
57	0	(28883,1)	45
58	0	(25837,20)	2000
59	0	(26144,20)	2000
60	0	(26676,1)	300
61	0	(26144,20)	2000
62	0	(28883,1)	45
63	0	(27709,1)	55
64	0	(26479,10)	2000
65	0	(25837,20)	2000
66	0	(26298,5)	350
67	0	(26677,10)	2000
68	0	(37060,1)	1
69	0	(26328,10)	10
70	0	(26934,12)	2000
71	0	(26676,1)	300
72	0	(27566,5)	350
73	0	(26298,5)	350
74	0	(27709,1)	55
75	0	(26676,1)	300
76	0	(26677,10)	2000
77	0	(26479,10)	2000
78	0	(37061,1)	1
79	0	(26934,12)	2000
80	0	(26144,20)	2000
81	0	(26328,10)	10
82	0	(25837,20)	2000
83	0	(27566,5)	350
84	0	(28883,1)	45
85	0	(26934,12)	2000
86	0	(26677,10)	2000
87	0	(26144,20)	2000
88	0	(25837,20)	2000
89	0	(26479,10)	2000
90	0	(26676,1)	300
91	0	(27566,5)	350
92	0	(26298,5)	350
93	0	(27709,1)	55
94	0	(28883,1)	45
95	0	(26328,10)	10
96	0	(37062,1)	1
