rewardId	item	biaozhi
奖励物品id	（奖励coding，奖励个数）	是否闪烁
1	(27623,1)	0
2	(26042,2)	0
3	(27167,2)	0
4	(28701,2)	1
5	(25600,50)	0
6	(27108,5)	0
7	(26344,50)	0
8	(28702,20)	1
9	(25837,20)	0
10	(26298,5)	0
11	(37061,1)	1
12	(26314,20)	1
13	(26925,10)	0
14	(26144,20)	0
15	(27520,1)	0
16	(26450,20)	0
17	(28031,1)	0
18	(37060,1)	1
19	(26334,10)	1
20	(27519,1)	0
21	(28701,2)	1
22	(26925,10)	0
23	(26144,20)	0
24	(26314,20)	1
25	(37059,1)	1
26	(27939,5)	0
27	(28702,20)	0
28	(28030,1)	0
29	(27588,20)	0
30	(26334,10)	1
31	(27520,1)	0
32	(26042,1)	0
33	(26924,10)	0
34	(27566,5)	0
35	(37062,1)	1
36	(26314,20)	1
37	(28032,1)	0
38	(27587,20)	0
39	(28701,5)	1
40	(27109,1)	1
