serverType	index	rankInterval	needValue	reward	rankImg	rewardItemsPreview
服务器类型	排名索引	排名区间	占位最低消费值	奖励	是否显示	客户端预览
1	1	1,1	2000	[(28260,300),(26344,200),(26450,100),(25806,1),(27619,1),(26899,1)]	KHPD_TextDYM	[(28260,300),(26344,200),(26450,100),(25806,1),(27619,1),(26899,1)]
1	2	2,2	2000	[(28260,250),(26344,150),(26450,75),(25797,1),(27618,1)]	KHPD_TextDRM	[(28260,250),(26344,150),(26450,75),(25797,1),(27618,1)]
1	3	3,3	2000	[(28260,200),(26344,120),(26450,60),(25788,1),(27521,1)]	KHPD_TextDSM	[(28260,200),(26344,120),(26450,60),(25788,1),(27521,1)]
1	4	4,4	2000	[(28260,150),(26344,100),(26450,50),(25779,1),(27520,1)]	KHPD_TextD4M	[(28260,150),(26344,100),(26450,50),(25779,1),(27520,1)]
1	5	5,5	2000	[(28260,120),(26344,80),(26450,40),(25779,1),(27520,1)]	KHPD_TextD5M	[(28260,120),(26344,80),(26450,40),(25779,1),(27520,1)]
1	6	6,10	2000	[(28260,100),(26344,60),(26450,30),(25770,1)]	KHPD_Text6	[(28260,100),(26344,60),(26450,30),(25770,1)]
1	7	11,20	2000	[(28260,80),(26344,40),(26450,20),(25770,1)]	KHPD_Text11	[(28260,80),(26344,40),(26450,20),(25770,1)]
1	8	21,50	2000	[(28260,60),(26344,20),(26450,15),(25761,1)]	KHPD_Text21	[(28260,60),(26344,20),(26450,15),(25761,1)]
1	9	51,100	1000	[(28260,40),(26344,10),(26450,10),(25752,1)]	KHPD_Text51	[(28260,40),(26344,10),(26450,10),(25752,1)]
2	1	1,1	2000	[(28260,300),(26344,200),(26450,100),(25809,1),(27619,1),(26899,1)]	KHPD_TextDYM	[(28260,300),(26344,200),(26450,100),(25809,1),(27619,1),(26899,1)]
2	2	2,2	2000	[(28260,250),(26344,150),(26450,75),(25800,1),(27618,1)]	KHPD_TextDRM	[(28260,250),(26344,150),(26450,75),(25800,1),(27618,1)]
2	3	3,3	2000	[(28260,200),(26344,120),(26450,60),(25791,1),(27521,1)]	KHPD_TextDSM	[(28260,200),(26344,120),(26450,60),(25791,1),(27521,1)]
2	4	4,4	2000	[(28260,150),(26344,100),(26450,50),(25782,1),(27520,1)]	KHPD_TextD4M	[(28260,150),(26344,100),(26450,50),(25782,1),(27520,1)]
2	5	5,5	2000	[(28260,120),(26344,80),(26450,40),(25782,1),(27520,1)]	KHPD_TextD5M	[(28260,120),(26344,80),(26450,40),(25782,1),(27520,1)]
2	6	6,10	2000	[(28260,100),(26344,60),(26450,30),(25773,1)]	KHPD_Text6	[(28260,100),(26344,60),(26450,30),(25773,1)]
2	7	11,20	2000	[(28260,80),(26344,40),(26450,20),(25773,1)]	KHPD_Text11	[(28260,80),(26344,40),(26450,20),(25773,1)]
2	8	21,50	2000	[(28260,60),(26344,20),(26450,15),(25764,1)]	KHPD_Text21	[(28260,60),(26344,20),(26450,15),(25764,1)]
2	9	51,100	1000	[(28260,40),(26344,10),(26450,10),(25755,1)]	KHPD_Text51	[(28260,40),(26344,10),(26450,10),(25755,1)]
3	1	1,1	2000	[(28260,300),(26344,200),(26450,100),(25809,1),(27626,1),(26899,1)]	KHPD_TextDYM	[(28260,300),(26344,200),(26450,100),(25809,1),(27626,1),(26899,1)]
3	2	2,2	2000	[(28260,250),(26344,150),(26450,75),(25800,1),(27625,1)]	KHPD_TextDRM	[(28260,250),(26344,150),(26450,75),(25800,1),(27625,1)]
3	3	3,3	2000	[(28260,200),(26344,120),(26450,60),(25791,1),(27624,1)]	KHPD_TextDSM	[(28260,200),(26344,120),(26450,60),(25791,1),(27624,1)]
3	4	4,4	2000	[(28260,150),(26344,100),(26450,50),(25782,1),(27623,1)]	KHPD_TextD4M	[(28260,150),(26344,100),(26450,50),(25782,1),(27623,1)]
3	5	5,5	2000	[(28260,120),(26344,80),(26450,40),(25782,1),(27623,1)]	KHPD_TextD5M	[(28260,120),(26344,80),(26450,40),(25782,1),(27623,1)]
3	6	6,10	2000	[(28260,100),(26344,60),(26450,30),(25773,1)]	KHPD_Text6	[(28260,100),(26344,60),(26450,30),(25773,1)]
