index	needLevel	returnUnbindRMBRates	returnBindRMBRates	returnShowRates	lvlArea	tips
神石银行提取索引	提取需要等级	返还神石百分比	返还魔晶百分比	返还比例（客户端用）	等级区间	提示内容
1	1	20	20	40	[1,37]	
2	38	10	10	20	[38,39]	
3	40	10	10	20	[40,44]	
4	45	10	10	20	[45,49]	<font color='#00EE00'>此刻您已获得1倍返利</font>
5	50	20	20	40	[50,54]	
6	55	10	10	20	[55,59]	
7	60	10	10	20	[60,64]	
8	65	10	10	20	[65,69]	<font color='#00EE00'>此刻您已获得2倍返利</font>
9	70	20	20	40	[70,74]	
10	75	15	15	30	[75,79]	
11	80	15	15	30	[80,84]	<font color='#00EE00'>此刻您已获得3倍返利</font>
12	85	15	15	30	[85,87]	
13	88	25	25	50	[88,89]	
14	90	20	20	40	[90,92]	<font color='#00EE00'>此刻您已获得4.2倍返利</font>
15	93	20	20	40	[93,94]	<font color='#00EE00'>此刻您已获得4.6倍返利</font>
16	95	20	20	40	[95,98]	<font color='#00EE00'>此刻您已获得5倍返利</font>
17	99	50	50	100	[99,124]	<font color='#00EE00'>此刻您已获得6倍返利</font>
