SceneId	MapId	SceneName	des	showStar	SceneType	isShowExitBtn	fireLimit	AreaSize	IsSaveData	CanSeeOther	IsCross	Effect	EffectPos	HasFog	Dest	AttackType	FlyScale	isStage	WorldIndex	isAutoFindMon	openTeamtower	showStarGirl	showPet
场景ID	地图ID	场景名	策划备注	是否显示评分（0不显示 1显示）	场景类型(2:公共场景， 4：单人副本,5:多人副本)	是否显示退出按钮(0:不显示)	是否可以使用烟花（0否，1是）	区域大小	是否需要保存玩家数据(0 :不保存   1：保存)	是否可以看见其他玩家（0：不可以　　１：可以）	是否是跨服场景	场景特效	特效位置	是否有迷雾  1:有 默认可以不填	可传送到场景(多个场景逗号分开)	1-碰撞战斗，2-点击战斗	飞行缩放率	是否是普通关卡	世界地图索引	是否需要自动寻怪功能	是否可以打开组队爬塔面板	是否显示星灵（0否，1是）	是否显示宠物（0否，1是）
1	2	龙骑神殿			2	0	0	10	1	1					3						0	1	1
2	3	龙骇山			2	0	0	10	1	0					3						0	1	1
3	1	圣辉城			2	0	1	10	1	1					5,7		.5				0	1	1
4	508	圣辉城大教堂			2	0	0	10	1	0					1,3						0	1	1
5	710	梦境之海			2	0	0	10	1	0					3						0	1	1
6	70	军团领地			0	1	0	10	0	1										1	0	1	1
7	10005	魔兽入侵			2	1	0	10	0	1						1				1	0	1	1
8	7005	城主轮值			2	1	0	10000	0	1											0	0	0
9	4038	龙骑神台			2	1	0	10	0	1											0	1	1
10	905	荣耀之战			2	1	0	10	0	1						2					0	1	1
11	6021	梦幻森林	公会副本1		2	1	0	1000	0	1						2					0	1	1
12	6022	圣辉城	公会副本2		2	1	0	1000	0	1						2					0	1	1
13	6023	龙骑神殿	公会副本3		2	1	0	1000	0	1						2					0	1	1
14	6024	精灵大陆	公会副本4		2	1	0	1000	0	1						2					0	1	1
15	7000	梦幻森林	世界地图		2	0	1	10	1	1					16				1		1	1	1
16	7024	圣辉城	世界地图		2	0	1	10	1	1					15,17,30				2		1	1	1
17	7023	龙骑神殿	世界地图		2	0	1	10	1	1					16,18				3		1	1	1
18	7002	精灵大陆	世界地图		2	0	1	10	1	1					17,19				4		1	1	1
19	7003	亡灵圣域	世界地图		2	0	1	10	1	1					18,20				5		1	1	1
20	7000	镜·梦幻森林	世界地图		2	0	1	10	1	1					19,21				6		1	1	1
21	1	镜·圣辉城	世界地图		2	0	1	10	1	1					20,22				7		1	1	1
22	7004	镜·龙骑神殿	世界地图		2	0	1	10	1	1					21,23				8		1	1	1
23	7002	镜·精灵大陆	世界地图		2	0	1	10	1	1					22,24				9		1	1	1
24	7003	镜·亡灵圣域	世界地图		2	0	1	10	1	1					23				10		1	1	1
30	514	术士塔三层			2	0	0	10	1	0					31				2		0	1	1
31	590	术士塔二层			2	0	0	10	1	0					32				2		0	1	1
32	514	术士塔一层			2	0	0	10	1	0					16				2		0	1	1
33	2005	梦幻森林	副本地图	1	4	1	0	10	0	0						1		1		1	0	1	1
34	2004	梦幻森林	副本地图	1	4	1	0	10	0	0						1		1		1	0	1	1
35	6001	圣辉城	副本地图	1	4	1	0	10	0	0						1		1		1	0	1	1
36	7010	圣辉城	副本地图	1	4	1	0	10	0	0						1		1		1	0	1	1
37	7009	龙骑神殿	副本地图	1	4	1	0	10	0	0						1		1		1	0	1	1
38	703	龙骑神殿	副本地图	1	4	1	0	10	0	0						1		1		1	0	1	1
39	1016	精灵大陆	副本地图	1	4	1	0	10	0	0						1		1		1	0	1	1
40	2006	精灵大陆	副本地图	1	4	1	0	10	0	0						1		1		1	0	1	1
41	7007	亡灵大陆	副本地图	1	4	1	0	10	0	0						1		1		1	0	1	1
42	7008	亡灵大陆	副本地图	1	4	1	0	10	0	0						1		1		1	0	1	1
49	509	恶魔深渊	恶魔深渊	1	2	1	0	10	1	0											0	1	1
50	7006	答题	答题场景		2	1	1	1000	0	1											0	1	1
51	2005	梦幻森林	组队副本地图	1	5	1	0	10	0	0						1		1		1	0	1	1
52	2004	梦幻森林	组队副本地图	1	5	1	0	10	0	0						1		1		1	0	1	1
53	6001	圣辉城	组队副本地图	1	5	1	0	10	0	0						1		1		1	0	1	1
54	7010	圣辉城	组队副本地图	1	5	1	0	10	0	0						1		1		1	0	1	1
55	7009	龙骑神殿	组队副本地图	1	5	1	0	10	0	0						1		1		1	0	1	1
56	703	龙骑神殿	组队副本地图	1	5	1	0	10	0	0						1		1		1	0	1	1
57	1016	精灵大陆	组队副本地图	1	5	1	0	10	0	0						1		1		1	0	1	1
58	2006	精灵大陆	组队副本地图	1	5	1	0	10	0	0						1		1		1	0	1	1
59	7007	亡灵大陆	组队副本地图	1	5	1	0	10	0	0						1		1		1	0	1	1
60	7008	亡灵大陆	组队副本地图	1	5	1	0	10	0	0						1		1		1	0	1	1
61	1111	新婚教堂	结婚场景地图		2	1	0	10000	0	1											0	1	1
62	4038	龙骑神台	情缘副本覆盖		2	1	0	10	0	0											0	1	1
63	905	神魔大陆	北美主线部分		2	0	1	10	1	0					15						0	1	1
64	4038	组队准备间	开服BOSS		2	1	0	1000	0	1						2					0	1	1
65	6025	亡灵圣域	公会副本5		2	1	0	1000	0	1						2					0	1	1
66	7011	金币宝藏	许愿池金币副本		4	1	0	1000	0	0						1					0	1	1
67	6026	亡灵大陆	公会副本5		2	1	0	1000	0	1						2					0	1	1
68	6021	镜·梦幻森林	公会副本6		2	1	0	1000	0	1						2					0	1	1
70	2005	镜·梦幻森林	副本地图	1	4	1	0	10	0	0						1		1		1	0	1	1
71	2004	镜·梦幻森林	副本地图	1	4	1	0	10	0	0						1		1		1	0	1	1
72	6001	镜·圣辉城	副本地图	1	4	1	0	10	0	0						1		1		1	0	1	1
73	7010	镜·圣辉城	副本地图	1	4	1	0	10	0	0						1		1		1	0	1	1
