actId	idx	desc	rewardMoney	rewardRMB	rewardItem	rewardItemShow	needBuyUnbindRMB	needGoldCnt	needMountTrainCnt	needLoginCnt	needPurgatoryId	needPurgatoryPassCnt	needFinishGVEFBCnt	needJJCCnt	needFinishFBCnt	needFinishUnionFBCnt	needSlavePlayCnt	needOnlineTime
活动ID	活动索引	描述	金币奖励	魔晶	道具奖励	客户端展示奖励	需要累计充值神石	需要炼金次数	需要培养坐骑次数	需要登录次数	需要的心魔炼狱ID	需要心魔炼狱通关次数	需要挑战GVE副本次数	需要挑战竞技场次数	需要通关的公会副本	需要挑战公会副本次数	需要勇斗领主互动次数	需要在线时间
1	1	Восстановить 1,500 Баленов всего	500000	0	[(25638,20),(25837,2),(25600,2)]	[(25828,500000),(25638,20),(25837,2),(25600,2)]	1500	0	0	0	0	0	0	0	0	0	0	0
1	2	累计充值5000神石	1000000	0	[(25639,20),(26044,1),(25837,5),(25600,5)]	[(25828,1000000),(25639,20),(26044,1),(25837,5),(25600,5)]	5000	0	0	0	0	0	0	0	0	0	0	0
1	3	累计充值10000神石	2000000	0	[(26044,2),(26267,2),(25837,10),(25600,10)]	[(25828,2000000),(26044,2),(26267,2),(25837,10),(25600,10)]	10000	0	0	0	0	0	0	0	0	0	0	0
1	4	累计充值20000神石	3000000	0	[(26044,5),(26267,5),(25837,15),(25600,15)]	[(25828,3000000),(26044,5),(26267,5),(25837,15),(25600,15)]	20000	0	0	0	0	0	0	0	0	0	0	0
1	5	累计充值40000神石	4000000	0	[(26044,10),(26267,10),(25837,30),(25600,30)]	[(25828,4000000),(26044,10),(26267,10),(25837,30),(25600,30)]	40000	0	0	0	0	0	0	0	0	0	0	0
2	1	впервые истратьте определенное количество Баленов.	100000	0	[(26026,1),(25600,10),(26044,5)]	[(25828,100000),(26026,1),(25600,10),(26044,5)]	0	0	0	0	0	0	0	0	0	0	0	0
3	1	每日首笔消费任意神石	100000	0	[(25638,10),(26152,5),(25600,1)]	[(25828,100000),(25638,10),(26152,5),(25600,1)]	0	0	0	0	0	0	0	0	0	0	0	0
4	1	每日炼金2次	0	0	[(25600,1),(25638,1)]	[(25600,1),(25638,1)]	0	2	0	0	0	0	0	0	0	0	0	0
4	2	每日炼金20次	0	0	[(25837,1),(25600,5),(25638,5)]	[(25837,1),(25600,5),(25638,5)]	0	20	0	0	0	0	0	0	0	0	0	0
5	1	每日培养坐骑10次	0	0	[(25638,1)]	[(25638,1)]	0	0	10	0	0	0	0	0	0	0	0	0
5	2	每日培养坐骑30次	0	0	[(25600,1),(25638,5)]	[(25600,1),(25638,5)]	0	0	30	0	0	0	0	0	0	0	0	0
5	3	每日培养坐骑60次	0	0	[(25600,3),(25638,10)]	[(25600,3),(25638,10)]	0	0	60	0	0	0	0	0	0	0	0	0
5	4	每日培养坐骑100次	0	0	[(25600,5),(25638,20)]	[(25600,5),(25638,20)]	0	0	100	0	0	0	0	0	0	0	0	0
6	1	Войдите 1 день	0	0	[(25638,1)]	[(25638,1)]	0	0	0	1	0	0	0	0	0	0	0	0
6	2	Войдите 2 день	0	0	[(25638,5)]	[(25638,5)]	0	0	0	2	0	0	0	0	0	0	0	0
6	3	Войдите 3 день	0	0	[(25638,10)]	[(25638,10)]	0	0	0	3	0	0	0	0	0	0	0	0
6	4	Войдите 4 день	0	0	[(25638,15)]	[(25638,15)]	0	0	0	4	0	0	0	0	0	0	0	0
6	5	Войдите 5 день	0	0	[(25638,20)]	[(25638,20)]	0	0	0	5	0	0	0	0	0	0	0	0
6	6	Войдите 6 день	0	0	[(25638,25)]	[(25638,25)]	0	0	0	6	0	0	0	0	0	0	0	0
6	7	Войдите 7 день	0	0	[(25638,30)]	[(25638,30)]	0	0	0	7	0	0	0	0	0	0	0	0
7	1	每日一重罪通关达到S级及以上评价1次	0	0	[(25600,1)]	[(25600,1)]	0	0	0	0	1	0	0	0	0	0	0	0
7	2	每日二重罪通关达到S级及以上评价1次	0	0	[(25600,3)]	[(25600,3)]	0	0	0	0	2	0	0	0	0	0	0	0
7	3	每日通关任意评价3次	0	0	[(25638,10)]	[(25638,10)]	0	0	0	0	0	3	0	0	0	0	0	0
7	4	每日三重罪通关任意评价1次	0	0	[(25600,3)]	[(25600,3)]	0	0	0	0	3	0	0	0	0	0	0	0
9	1	每日参与竞技战15次	0	0	[(25638,1),(26152,1)]	[(25638,1),(26152,1)]	0	0	0	0	0	0	0	15	0	0	0	0
9	2	每日参与竞技战 25 次	0	0	[(25638,3),(26152,1)]	[(25638,3),(26152,1)]	0	0	0	0	0	0	0	25	0	0	0	0
9	3	每日参与竞技战 35 次	0	0	[(25638,5),(26152,1)]	[(25638,5),(26152,1)]	0	0	0	0	0	0	0	35	0	0	0	0
10	1	每日参与单人副本20次	0	0	[(25638,5),(26152,1)]	[(25638,5),(26152,1)]	0	0	0	0	0	0	0	0	20	0	0	0
11	1	每日参与公会副本3次	0	0	[(25638,2),(26152,1)]	[(25638,2),(26152,1)]	0	0	0	0	0	0	0	0	0	3	0	0
11	2	每日参与公会副本5次	0	0	[(25638,3),(26152,1)]	[(25638,3),(26152,1)]	0	0	0	0	0	0	0	0	0	5	0	0
