targetType	rank	tarot	item	contribution	money	bindRMB	yulan
目标类型	排名	命魂	道具	个人贡献	奖励金币	魔晶	客户端预览
1	1	[]	[(25929,1)]	0	0	0	[(25929,1)]
1	2	[]	[(25917,1)]	0	0	0	[(25917,1)]
1	3	[]	[(25905,1)]	0	0	0	[(25905,1)]
1	4	[]	[(25905,1)]	0	0	0	[(25905,1)]
1	5	[]	[(25905,1)]	0	0	0	[(25905,1)]
1	6	[]	[(25893,1)]	0	0	0	[(25893,1)]
1	7	[]	[(25893,1)]	0	0	0	[(25893,1)]
1	8	[]	[(25893,1)]	0	0	0	[(25893,1)]
1	9	[]	[(25893,1)]	0	0	0	[(25893,1)]
1	10	[]	[(25893,1)]	0	0	0	[(25893,1)]
1	11	[]	[(25881,1)]	0	0	0	[(25881,1)]
1	12	[]	[(25881,1)]	0	0	0	[(25881,1)]
1	13	[]	[(25881,1)]	0	0	0	[(25881,1)]
1	14	[]	[(25881,1)]	0	0	0	[(25881,1)]
1	15	[]	[(25881,1)]	0	0	0	[(25881,1)]
1	16	[]	[(25881,1)]	0	0	0	[(25881,1)]
1	17	[]	[(25881,1)]	0	0	0	[(25881,1)]
1	18	[]	[(25881,1)]	0	0	0	[(25881,1)]
1	19	[]	[(25881,1)]	0	0	0	[(25881,1)]
1	20	[]	[(25881,1)]	0	0	0	[(25881,1)]
2	1	[]	[(27677,1)]	0	0	0	[(27677,1)]
2	2	[(27,1)]	[]	0	0	0	[]
2	3	[(27,1)]	[]	0	0	0	[]
2	4	[(2,1)]	[]	0	0	0	[]
2	5	[(2,1)]	[]	0	0	0	[]
2	6	[(50,1)]	[]	0	0	0	[]
2	7	[(50,1)]	[]	0	0	0	[]
2	8	[(50,1)]	[]	0	0	0	[]
2	9	[(50,1)]	[]	0	0	0	[]
2	10	[(50,1)]	[]	0	0	0	[]
2	11	[(49,1)]	[]	0	0	0	[]
2	12	[(49,1)]	[]	0	0	0	[]
2	13	[(49,1)]	[]	0	0	0	[]
2	14	[(49,1)]	[]	0	0	0	[]
2	15	[(49,1)]	[]	0	0	0	[]
2	16	[(49,1)]	[]	0	0	0	[]
2	17	[(49,1)]	[]	0	0	0	[]
2	18	[(49,1)]	[]	0	0	0	[]
2	19	[(49,1)]	[]	0	0	0	[]
2	20	[(49,1)]	[]	0	0	0	[]
3	1	[]	[(25672,200)]	2000	0	0	[(25672,200),(27667,2000)]
3	2	[]	[(25672,100)]	1000	0	0	[(25672,100),(27667,1000)]
3	3	[]	[(25672,50)]	500	0	0	[(25672,50),(27667,500)]
