id	item	num	weight	superItem	cnt
序列号	道具	个数	权重	是否极品	必出次数
1	27518	1	3000	0	0
2	26227	1	3000	0	0
3	27566	2	3000	0	0
4	27167	1	3000	0	0
5	25837	12	3000	0	0
6	26144	12	3000	0	0
7	26042	1	3000	0	0
8	26934	6	3000	0	0
9	26925	5	3000	0	0
10	26924	5	3000	0	0
11	25831	10	3000	0	0
12	25970	10	3000	0	0
13	27570	10	3000	0	0
14	26677	6	3000	0	0
15	26485	3	3000	0	0
16	26676	1	600	0	0
17	27519	1	800	0	0
18	27622	1	800	0	0
19	28030	1	800	0	0
1001	27520	1	400	1	0
1002	27623	1	400	1	0
1003	28031	1	400	1	0
1004	25837	100	50	1	0
1005	26144	100	50	1	0
1006	27566	20	50	1	0
1007	27710	1	50	1	0
1008	26448	20	50	1	0
1009	27619	1	6	1	0
1010	27626	1	6	1	190
1011	28043	1	6	1	0
1012	27712	1	2	1	390
1013	27492	1	10	1	590
1014	28253	1	1	1	790
1015	27167	10	50	1	0
1016	26298	20	50	1	0
1017	26450	50	50	1	0
1018	28032	1	50	1	0
1019	27521	1	50	1	0
