posIndex	pos	npcType	caijiCnt	items	items_fcm	isRumor
位置索引	位置(x坐标， y坐标， 朝向)	npc类型	可采集次数	获得物品（物品coding， 物品数量）	获得物品（物品coding， 物品数量）	是否传闻
1	(848,530,1)	22007	1	[(25849,2),(28278,80)]	[(25849,1),(28278,40)]	0
2	(897,687,1)	22007	1	[(25849,2),(28278,80)]	[(25849,1),(28278,40)]	0
3	(1131,654,1)	22007	1	[(25849,2),(28278,80)]	[(25849,1),(28278,40)]	0
4	(1007,901,1)	22007	1	[(25849,2),(28278,80)]	[(25849,1),(28278,40)]	0
5	(1077,1044,1)	22007	1	[(25849,2),(28278,80)]	[(25849,1),(28278,40)]	0
6	(782,1008,1)	22007	1	[(25849,2),(28278,80)]	[(25849,1),(28278,40)]	0
7	(784,1208,1)	22007	1	[(25849,2),(28278,80)]	[(25849,1),(28278,40)]	0
8	(592,1354,1)	22007	1	[(25849,2),(28278,80)]	[(25849,1),(28278,40)]	0
9	(798,1492,1)	22007	1	[(25849,2),(28278,80)]	[(25849,1),(28278,40)]	0
10	(661,1632,1)	22007	1	[(25849,2),(28278,80)]	[(25849,1),(28278,40)]	0
11	(1933,656,1)	22007	1	[(25849,2),(28278,80)]	[(25849,1),(28278,40)]	0
12	(2012,756,1)	22007	1	[(25849,2),(28278,80)]	[(25849,1),(28278,40)]	0
13	(1813,775,1)	22007	1	[(25849,2),(28278,80)]	[(25849,1),(28278,40)]	0
14	(1791,665,1)	22009	1	[(25849,2),(28278,80)]	[(25849,1),(28278,40)]	0
15	(1674,562,1)	22009	1	[(25849,2),(28278,80)]	[(25849,1),(28278,40)]	0
16	(1503,607,1)	22009	1	[(25849,2),(28278,80)]	[(25849,1),(28278,40)]	0
17	(1327,644,1)	22009	1	[(25849,2),(28278,80)]	[(25849,1),(28278,40)]	0
18	(1426,743,1)	22009	1	[(25849,2),(28278,80)]	[(25849,1),(28278,40)]	0
19	(1530,833,1)	22009	1	[(25849,2),(28278,80)]	[(25849,1),(28278,40)]	0
20	(1661,890,1)	22009	1	[(25849,2),(28278,80)]	[(25849,1),(28278,40)]	0
21	(1784,951,1)	22009	1	[(25849,2),(28278,80)]	[(25849,1),(28278,40)]	0
22	(1779,1064,1)	22009	1	[(25849,2),(28278,80)]	[(25849,1),(28278,40)]	0
23	(1490,1098,1)	22009	1	[(25849,2),(28278,80)]	[(25849,1),(28278,40)]	0
24	(1341,958,1)	22009	1	[(25849,2),(28278,80)]	[(25849,1),(28278,40)]	0
25	(1196,889,1)	22009	1	[(25849,2),(28278,80)]	[(25849,1),(28278,40)]	0
26	(1111,997,1)	22009	1	[(25849,2),(28278,80)]	[(25849,1),(28278,40)]	0
27	(1067,1141,1)	22006	3	[(25849,2),(28278,80)]	[(25849,1),(28278,40)]	0
28	(1359,1144,1)	22006	3	[(25849,2),(28278,80)]	[(25849,1),(28278,40)]	0
29	(1654,1007,1)	22006	3	[(25849,2),(28278,80)]	[(25849,1),(28278,40)]	0
30	(895,1129,1)	22008	3	[(25849,2),(28278,80)]	[(25849,1),(28278,40)]	0
31	(810,459,1)	22008	3	[(25849,2),(28278,80)]	[(25849,1),(28278,40)]	0
32	(2016,546,1)	22008	3	[(25849,2),(28278,80)]	[(25849,1),(28278,40)]	0
33	(2872,724,1)	22007	1	[(25849,2),(28278,80)]	[(25849,1),(28278,40)]	0
34	(2980,827,1)	22007	1	[(25849,2),(28278,80)]	[(25849,1),(28278,40)]	0
35	(3105,719,1)	22007	1	[(25849,2),(28278,80)]	[(25849,1),(28278,40)]	0
36	(3258,775,1)	22009	1	[(25849,2),(28278,80)]	[(25849,1),(28278,40)]	0
37	(3275,642,1)	22009	1	[(25849,2),(28278,80)]	[(25849,1),(28278,40)]	0
38	(3386,743,1)	22009	1	[(26026,1)]	[(26026,1)]	1
39	(3444,638,1)	22009	1	[(25849,2),(28278,80)]	[(25849,1),(28278,40)]	0
40	(3482,492,1)	22009	1	[(25849,2),(28278,80)]	[(25849,1),(28278,40)]	0
