roleLevel	shenshulv_1	shenshulv_2	shenshulv_3	shenshulv_4	shenshulv_5	shenshulv_6	shenshulv_7	shenshulv_8	shenshulv_9	shenshulv_10	shenshulv_1_fcm	shenshulv_2_fcm	shenshulv_3_fcm	shenshulv_4_fcm	shenshulv_5_fcm	shenshulv_6_fcm	shenshulv_7_fcm	shenshulv_8_fcm	shenshulv_9_fcm	shenshulv_10_fcm
角色等级	神树等级1	神树等级2	神树等级3	神树等级4	神树等级5	神树等级6	神树等级7	神树等级8	神树等级9	神树等级10										
30	998	1109	1220	1331	1442	1553	1664	1775	1886	1997	499	555	611	666	722	777	833	888	944	999
31	998	1109	1220	1331	1442	1553	1664	1775	1886	1997	499	555	611	666	722	777	833	888	944	999
32	998	1109	1220	1331	1442	1553	1664	1775	1886	1997	499	555	611	666	722	777	833	888	944	999
33	998	1109	1220	1331	1442	1553	1664	1775	1886	1997	499	555	611	666	722	777	833	888	944	999
34	998	1109	1220	1331	1442	1553	1664	1775	1886	1997	499	555	611	666	722	777	833	888	944	999
35	998	1109	1220	1331	1442	1553	1664	1775	1886	1997	499	555	611	666	722	777	833	888	944	999
36	998	1109	1220	1331	1442	1553	1664	1775	1886	1997	499	555	611	666	722	777	833	888	944	999
37	998	1109	1220	1331	1442	1553	1664	1775	1886	1997	499	555	611	666	722	777	833	888	944	999
38	998	1109	1220	1331	1442	1553	1664	1775	1886	1997	499	555	611	666	722	777	833	888	944	999
39	998	1109	1220	1331	1442	1553	1664	1775	1886	1997	499	555	611	666	722	777	833	888	944	999
40	1386	1540	1694	1848	2002	2156	2310	2464	2618	2772	693	770	848	925	1002	1079	1156	1233	1310	1387
41	1386	1540	1694	1848	2002	2156	2310	2464	2618	2772	693	770	848	925	1002	1079	1156	1233	1310	1387
42	1386	1540	1694	1848	2002	2156	2310	2464	2618	2772	693	770	848	925	1002	1079	1156	1233	1310	1387
43	1386	1540	1694	1848	2002	2156	2310	2464	2618	2772	693	770	848	925	1002	1079	1156	1233	1310	1387
44	1386	1540	1694	1848	2002	2156	2310	2464	2618	2772	693	770	848	925	1002	1079	1156	1233	1310	1387
45	1386	1540	1694	1848	2002	2156	2310	2464	2618	2772	693	770	848	925	1002	1079	1156	1233	1310	1387
46	1386	1540	1694	1848	2002	2156	2310	2464	2618	2772	693	770	848	925	1002	1079	1156	1233	1310	1387
47	1386	1540	1694	1848	2002	2156	2310	2464	2618	2772	693	770	848	925	1002	1079	1156	1233	1310	1387
48	1386	1540	1694	1848	2002	2156	2310	2464	2618	2772	693	770	848	925	1002	1079	1156	1233	1310	1387
49	1386	1540	1694	1848	2002	2156	2310	2464	2618	2772	693	770	848	925	1002	1079	1156	1233	1310	1387
50	1386	1540	1694	1848	2002	2156	2310	2464	2618	2772	693	770	848	925	1002	1079	1156	1233	1310	1387
51	1386	1540	1694	1848	2002	2156	2310	2464	2618	2772	693	770	848	925	1002	1079	1156	1233	1310	1387
52	1386	1540	1694	1848	2002	2156	2310	2464	2618	2772	693	770	848	925	1002	1079	1156	1233	1310	1387
53	1386	1540	1694	1848	2002	2156	2310	2464	2618	2772	693	770	848	925	1002	1079	1156	1233	1310	1387
54	1386	1540	1694	1848	2002	2156	2310	2464	2618	2772	693	770	848	925	1002	1079	1156	1233	1310	1387
55	1386	1540	1694	1848	2002	2156	2310	2464	2618	2772	693	770	848	925	1002	1079	1156	1233	1310	1387
56	1386	1540	1694	1848	2002	2156	2310	2464	2618	2772	693	770	848	925	1002	1079	1156	1233	1310	1387
57	1386	1540	1694	1848	2002	2156	2310	2464	2618	2772	693	770	848	925	1002	1079	1156	1233	1310	1387
58	1386	1540	1694	1848	2002	2156	2310	2464	2618	2772	693	770	848	925	1002	1079	1156	1233	1310	1387
59	1386	1540	1694	1848	2002	2156	2310	2464	2618	2772	693	770	848	925	1002	1079	1156	1233	1310	1387
60	1980	2200	2420	2640	2860	3080	3300	3520	3740	3960	990	1100	1211	1321	1431	1541	1651	1761	1871	1981
61	1980	2200	2420	2640	2860	3080	3300	3520	3740	3960	990	1100	1211	1321	1431	1541	1651	1761	1871	1981
62	1980	2200	2420	2640	2860	3080	3300	3520	3740	3960	990	1100	1211	1321	1431	1541	1651	1761	1871	1981
63	1980	2200	2420	2640	2860	3080	3300	3520	3740	3960	990	1100	1211	1321	1431	1541	1651	1761	1871	1981
64	1980	2200	2420	2640	2860	3080	3300	3520	3740	3960	990	1100	1211	1321	1431	1541	1651	1761	1871	1981
65	1980	2200	2420	2640	2860	3080	3300	3520	3740	3960	990	1100	1211	1321	1431	1541	1651	1761	1871	1981
66	1980	2200	2420	2640	2860	3080	3300	3520	3740	3960	990	1100	1211	1321	1431	1541	1651	1761	1871	1981
67	1980	2200	2420	2640	2860	3080	3300	3520	3740	3960	990	1100	1211	1321	1431	1541	1651	1761	1871	1981
68	1980	2200	2420	2640	2860	3080	3300	3520	3740	3960	990	1100	1211	1321	1431	1541	1651	1761	1871	1981
69	1980	2200	2420	2640	2860	3080	3300	3520	3740	3960	990	1100	1211	1321	1431	1541	1651	1761	1871	1981
70	1980	2200	2420	2640	2860	3080	3300	3520	3740	3960	990	1100	1211	1321	1431	1541	1651	1761	1871	1981
71	1980	2200	2420	2640	2860	3080	3300	3520	3740	3960	990	1100	1211	1321	1431	1541	1651	1761	1871	1981
72	1980	2200	2420	2640	2860	3080	3300	3520	3740	3960	990	1100	1211	1321	1431	1541	1651	1761	1871	1981
73	1980	2200	2420	2640	2860	3080	3300	3520	3740	3960	990	1100	1211	1321	1431	1541	1651	1761	1871	1981
74	1980	2200	2420	2640	2860	3080	3300	3520	3740	3960	990	1100	1211	1321	1431	1541	1651	1761	1871	1981
75	1980	2200	2420	2640	2860	3080	3300	3520	3740	3960	990	1100	1211	1321	1431	1541	1651	1761	1871	1981
76	1980	2200	2420	2640	2860	3080	3300	3520	3740	3960	990	1100	1211	1321	1431	1541	1651	1761	1871	1981
77	1980	2200	2420	2640	2860	3080	3300	3520	3740	3960	990	1100	1211	1321	1431	1541	1651	1761	1871	1981
78	1980	2200	2420	2640	2860	3080	3300	3520	3740	3960	990	1100	1211	1321	1431	1541	1651	1761	1871	1981
79	1980	2200	2420	2640	2860	3080	3300	3520	3740	3960	990	1100	1211	1321	1431	1541	1651	1761	1871	1981
80	2475	2750	3025	3300	3575	3850	4125	4400	4675	4950	1238	1375	1513	1651	1788	1926	2063	2201	2338	2476
81	2475	2750	3025	3300	3575	3850	4125	4400	4675	4950	1238	1375	1513	1651	1788	1926	2063	2201	2338	2476
82	2475	2750	3025	3300	3575	3850	4125	4400	4675	4950	1238	1375	1513	1651	1788	1926	2063	2201	2338	2476
83	2475	2750	3025	3300	3575	3850	4125	4400	4675	4950	1238	1375	1513	1651	1788	1926	2063	2201	2338	2476
84	2475	2750	3025	3300	3575	3850	4125	4400	4675	4950	1238	1375	1513	1651	1788	1926	2063	2201	2338	2476
85	2475	2750	3025	3300	3575	3850	4125	4400	4675	4950	1238	1375	1513	1651	1788	1926	2063	2201	2338	2476
86	2475	2750	3025	3300	3575	3850	4125	4400	4675	4950	1238	1375	1513	1651	1788	1926	2063	2201	2338	2476
87	2475	2750	3025	3300	3575	3850	4125	4400	4675	4950	1238	1375	1513	1651	1788	1926	2063	2201	2338	2476
88	2475	2750	3025	3300	3575	3850	4125	4400	4675	4950	1238	1375	1513	1651	1788	1926	2063	2201	2338	2476
89	2475	2750	3025	3300	3575	3850	4125	4400	4675	4950	1238	1375	1513	1651	1788	1926	2063	2201	2338	2476
90	2475	2750	3025	3300	3575	3850	4125	4400	4675	4950	1238	1375	1513	1651	1788	1926	2063	2201	2338	2476
91	2475	2750	3025	3300	3575	3850	4125	4400	4675	4950	1238	1375	1513	1651	1788	1926	2063	2201	2338	2476
