itemCoding	needUnbindRMB	num
物品coding	使用的需要花费的最小神石	可以折算神石
27368	200	20
27369	500	50
27370	2000	268
27371	10000	1688
27488	1	28
27489	1	58
27490	1	222
27491	1	1212
27530	1	50
27531	1	80
27532	1	100
27533	1	200
27534	1	300
27535	1	400
28445	1	623
28446	4000	623
28460	1	150
28461	1	500
28462	1	1000
28463	1	3000
28477	1	28
28478	1	58
28479	1	222
28480	1	1212
28481	1	50
28482	1	80
28483	1	100
28484	1	200
28485	1	300
28486	1	400
28487	200	20
28488	500	50
28489	2000	268
28490	10000	1688
28684	1	20
28688	1	5
28689	1	10
