mallType	tradeId	goodsId	goodsIdShow	goodsName	sortPriority	goodsType	dayLimitCnt	limitCnt	rebateCoding	needCnt
商品类型 	交易ID	商品ID	商品ID(客户端显示)	商品名字	排序优先级（值越小越前）	出售的货物类型	每天限购数量	永久限购数量	返利道具coding	需要返利道具个数
DJSC	201	100	26047	100奖励神石	1	5	10	0	28438	180
DJSC	202	200	25829	200魔晶	2	6	5	0	28438	180
DJSC	203	26450	26450	许愿币	3	1	20	0	28438	30
DJSC	204	28280	28280	魔灵洗练石	4	1	10	0	28438	75
DJSC	205	27939	27939	神造石	5	1	5	0	28438	300
DJSC	206	25837	25837	羽翼培养石	19	1	999	0	28438	15
DJSC	207	26144	26144	宠物圣果	20	1	999	0	28438	15
DJSC	208	26936	26936	魂炼之石	21	1	999	0	28438	15
DJSC	209	26677	26677	时装精华	22	1	999	0	28438	30
DJSC	210	26932	26932	星灵之泪	23	1	999	0	28438	30
DJSC	211	26933	26933	星灵之羽	24	1	999	0	28438	30
DJSC	212	26934	26934	星灵水晶	25	1	999	0	28438	30
DJSC	213	27570	27570	时装水晶石	26	1	999	0	28438	30
DJSC	214	26925	26925	生命之源	27	1	999	0	28438	40
DJSC	215	26924	26924	生命结晶	28	1	999	0	28438	40
DJSC	216	26484	26484	装备附魔宝箱钥匙	29	1	999	0	28438	40
DJSC	217	26031	26031	符文宝珠	30	1	999	0	28438	70
DJSC	218	26485	26485	装备附魔宝箱	31	1	999	0	28438	75
DJSC	219	27566	27566	坐骑进化石	32	1	999	0	28438	75
DJSC	220	26448	26448	高阶幸运石	33	1	999	0	28438	120
DJSC	221	26026	26026	四级宝石礼盒	34	1	999	0	28438	144
DJSC	222	27167	27167	羽灵精魄	35	1	999	0	28438	150
DJSC	223	25600	25600	坐骑培养石	36	1	999	0	28438	9
DJSC	224	26227	26227	四级符文礼盒	37	1	999	0	28438	180
DJSC	225	26344	26344	姻缘石	38	1	999	0	28438	11
DJSC	226	26042	26042	占卜令	39	1	999	0	28438	300
DJSC	227	26969	26969	神龙宝箱	40	1	999	0	28438	300
DJSC	228	28030	28030	四级雕纹	41	1	999	0	28438	360
DJSC	229	26676	26676	时装之魄	42	1	999	0	28438	450
DJSC	230	27529	27529	太阳神	43	1	0	1	28438	5888
DJSC	231	27588	27588	装备洗练锁	6	1	999	0	28438	15
DJSC	232	26343	26343	三生锁	7	1	999	0	28438	15
DJSC	233	26342	26342	精炼石	8	1	999	0	28438	15
DJSC	234	26302	26302	圣器洗练锁	9	1	999	0	28438	15
DJSC	235	26298	26298	圣器附魔石	10	1	999	0	28438	75
DJSC	236	26221	26221	宠物精华	11	1	999	0	28438	15
DJSC	237	26340	26340	天赋卡钥匙	12	1	999	0	28438	900
DJSC	238	26935	26935	星灵魂印	13	1	999	0	28438	300
DJSC	239	28268	28268	水瓶座女神（紫）	14	1	1	0	28438	3000
DJSC	240	28532	28532	格挡黄魂礼包	15	1	1	0	28438	1500
DJSC	241	28533	28533	物防黄魂礼包	16	1	1	0	28438	1500
DJSC	242	28534	28534	法防黄魂礼包	17	1	1	0	28438	1500
DJSC	243	28535	28535	生命黄魂礼包	18	1	1	0	28438	1500
