tradeId	itemCoding	needItemCoding	needCnt	needLevel	type
交易ID	物品coding	兑换需要coding	兑换需要物品数量	兑换需要等级	类型
1	26032	26982	1	20	1
2	26266	26982	1	20	1
3	25837	26982	2	20	1
4	25831	26982	3	20	1
5	25970	26982	5	20	1
6	37009	26982	150	20	1
7	26676	26982	50	20	1
8	26677	26982	5	20	1
9	37008	26982	150	20	1
10	37003	27480	195	30	2
11	37008	27480	55	30	2
12	37006	27480	55	30	2
13	25970	27480	1	30	2
14	25831	27480	1	30	2
15	26032	27480	1	30	2
16	26266	27480	1	30	2
17	37002	27545	55	30	3
18	26164	27545	15	30	3
19	26165	27545	15	30	3
20	26163	27545	15	30	3
21	26221	27545	1	30	3
22	26266	27545	1	30	3
23	26032	27545	1	30	3
24	37004	27546	55	30	4
25	26446	27546	2	30	4
26	26447	27546	5	30	4
27	26043	27546	1	30	4
28	26266	27546	1	30	4
29	26032	27546	1	30	4
30	37003	27590	255	30	5
31	37001	27590	55	30	5
32	37002	27590	55	30	5
33	37004	27590	55	30	5
34	26676	27590	30	30	5
35	26677	27590	3	30	5
36	25970	27590	1	30	5
37	25831	27590	1	30	5
38	26266	27590	1	30	5
39	26032	27590	1	30	5
40	27028	27644	300	30	6
41	37009	27644	200	30	6
42	37004	27644	50	30	6
43	26031	27644	5	30	6
44	25600	27644	1	30	6
45	35818	27655	200	30	7
46	35802	27655	100	30	7
47	35801	27655	60	30	7
48	27577	27655	50	30	7
49	26345	27655	10	30	7
50	26144	27655	2	30	7
51	26343	27655	1	30	7
52	26342	27655	1	30	7
53	26344	27655	1	30	7
54	26032	27655	1	30	7
55	37007	27691	350	30	8
56	27704	27691	250	30	8
57	37011	27691	100	30	8
58	26345	27691	10	30	8
59	26144	27691	2	30	8
60	26343	27691	1	30	8
61	26342	27691	1	30	8
62	26344	27691	1	30	8
63	27529	27696	120	30	9
64	27577	27696	50	30	9
65	26345	27696	10	30	9
66	26123	27696	10	30	9
67	26121	27696	7	30	9
68	26122	27696	5	30	9
69	26266	27696	1	30	9
70	26032	27696	1	30	9
71	35722	27828	400	30	10
72	35721	27828	400	30	10
73	37018	27828	150	30	10
74	37019	27828	150	30	10
75	37020	27828	150	30	10
76	26676	27828	15	30	10
77	26345	27828	10	30	10
78	26479	27828	2	30	10
79	26302	27828	1	30	10
80	26266	27828	1	30	10
81	26032	27828	1	30	10
82	35721	27830	350	30	11
83	35723	27830	350	30	11
84	37018	27830	130	30	11
85	37019	27830	130	30	11
86	37020	27830	130	30	11
87	26676	27830	15	30	11
88	26345	27830	10	30	11
89	26479	27830	2	30	11
90	26302	27830	1	30	11
91	26266	27830	1	30	11
92	26032	27830	1	30	11
93	27100	28262	3	30	12
94	27097	28262	4	30	12
95	26123	28262	5	30	12
96	26121	28262	4	30	12
97	26122	28262	3	30	12
98	27699	28262	9	30	12
99	26479	28262	2	30	12
100	26302	28262	1	30	12
101	26266	28262	1	30	12
102	26032	28262	1	30	12
103	26972	28296	360	30	13
104	26753	28296	60	30	13
105	26754	28296	60	30	13
106	26755	28296	60	30	13
107	26756	28296	60	30	13
108	26757	28296	60	30	13
109	26758	28296	60	30	13
110	27100	28296	5	30	13
111	27097	28296	5	30	13
112	27098	28296	3	30	13
113	26479	28296	2	30	13
114	26302	28296	1	30	13
115	26266	28296	1	30	13
116	26032	28296	1	30	13
117	26753	28526	80	30	14
118	26754	28526	80	30	14
119	26755	28526	80	30	14
120	26756	28526	80	30	14
121	26757	28526	80	30	14
122	26758	28526	80	30	14
123	27678	28526	250	30	14
124	27680	28526	200	30	14
125	27681	28526	200	30	14
126	27679	28526	280	30	14
127	27684	28526	230	30	14
128	27685	28526	230	30	14
129	26972	28526	200	30	14
130	37038	28526	200	30	14
131	37035	28526	100	30	14
132	37036	28526	100	30	14
133	37037	28526	100	30	14
134	27874	28526	1	30	14
135	27875	28526	2	30	14
136	27876	28526	2	30	14
137	27877	28526	2	30	14
138	27878	28526	4	30	14
139	37009	28526	14	30	14
140	28034	28526	4	30	14
141	26266	28526	1	30	14
142	26032	28526	1	30	14
143	37039	28597	100	30	15
144	37040	28597	100	30	15
145	37041	28597	100	30	15
146	37042	28597	150	30	15
147	37006	28597	4	30	15
148	37005	28597	5	30	15
149	37008	28597	5	30	15
150	28452	28597	2	30	15
151	28448	28597	2	30	15
152	28449	28597	2	30	15
153	28450	28597	4	30	15
154	28451	28597	8	30	15
155	26753	28597	80	30	15
156	26754	28597	80	30	15
157	26755	28597	80	30	15
158	26756	28597	80	30	15
159	26757	28597	80	30	15
160	26758	28597	80	30	15
161	27251	28597	60	30	15
162	27252	28597	60	30	15
163	27253	28597	60	30	15
164	27254	28597	60	30	15
165	27255	28597	60	30	15
166	27256	28597	60	30	15
167	27080	28597	80	30	15
168	26972	28597	200	30	15
169	28035	28597	4	30	15
170	26119	28597	1	30	15
171	26033	28597	1	30	15
172	26304	28262	4	30	16
173	26317	28262	4	30	16
174	26753	28262	50	30	16
175	26754	28262	50	30	16
176	26755	28262	50	30	16
177	26756	28262	50	30	16
178	26757	28262	50	30	16
179	26758	28262	50	30	16
180	27251	28262	30	30	16
181	27252	28262	30	30	16
182	27253	28262	30	30	16
183	27254	28262	30	30	16
184	27255	28262	30	30	16
185	27256	28262	30	30	16
186	28452	28262	2	30	16
187	28448	28262	2	30	16
188	28449	28262	2	30	16
189	28450	28262	4	30	16
190	28451	28262	8	30	16
191	37039	28262	100	30	16
192	37040	28262	90	30	16
193	37041	28262	90	30	16
194	37042	28262	120	30	16
195	27710	28262	33	30	16
196	27712	28262	100	30	16
197	26266	28262	1	30	16
198	26032	28262	1	30	16
199	37047	28839	100	30	17
200	37048	28839	90	30	17
201	37049	28839	90	30	17
202	37050	28839	120	30	17
203	26849	28839	80	30	17
204	26850	28839	80	30	17
205	26851	28839	80	30	17
206	26852	28839	80	30	17
207	26853	28839	80	30	17
208	26854	28839	80	30	17
209	27323	28839	60	30	17
210	27324	28839	60	30	17
211	27325	28839	60	30	17
212	27326	28839	60	30	17
213	27327	28839	60	30	17
214	27328	28839	60	30	17
215	27678	28839	250	30	17
216	27680	28839	200	30	17
217	27681	28839	200	30	17
218	27679	28839	280	30	17
219	27684	28839	230	30	17
220	27685	28839	230	30	17
221	27709	28839	50	30	17
222	27710	28839	95	30	17
223	26266	28839	1	30	17
224	26032	28839	1	30	17
225	28030	28839	10	30	17
226	26450	28839	3	30	17
227	26753	28296	50	30	18
228	26754	28296	50	30	18
229	26755	28296	50	30	18
230	26756	28296	50	30	18
231	26757	28296	50	30	18
232	26758	28296	50	30	18
233	27251	28296	30	30	18
234	27252	28296	30	30	18
235	27253	28296	30	30	18
236	27254	28296	30	30	18
237	27255	28296	30	30	18
238	27256	28296	30	30	18
239	26438	28296	300	30	18
240	26439	28296	800	30	18
241	27710	28296	50	30	18
242	27712	28296	150	30	18
243	26266	28296	1	30	18
244	26032	28296	1	30	18
245	28030	28296	10	30	18
246	26450	28296	3	30	18
247	26753	29244	50	30	19
248	26754	29244	50	30	19
249	26755	29244	50	30	19
250	26756	29244	50	30	19
251	26757	29244	50	30	19
252	26758	29244	50	30	19
253	27251	29244	30	30	19
254	27252	29244	30	30	19
255	27253	29244	30	30	19
256	27254	29244	30	30	19
257	27255	29244	30	30	19
258	27256	29244	30	30	19
259	28452	29244	2	30	19
260	28448	29244	2	30	19
261	28449	29244	2	30	19
262	28450	29244	4	30	19
263	28451	29244	8	30	19
264	27710	29244	33	30	19
265	27712	29244	100	30	19
266	26266	29244	1	30	19
267	26032	29244	1	30	19
268	26304	29244	4	30	19
269	26317	29244	4	30	19
270	28972	29244	500	30	19
271	26479	29244	2	30	19
272	26450	29244	3	30	19
273	27493	29244	1200	30	19
274	27699	29244	10	30	19
275	28376	28296	60	30	20
276	28280	28296	3	30	20
277	26849	28296	80	30	20
278	26850	28296	80	30	20
279	26851	28296	80	30	20
280	26852	28296	80	30	20
281	26853	28296	80	30	20
282	26854	28296	80	30	20
283	27323	28296	60	30	20
284	27324	28296	60	30	20
285	27325	28296	60	30	20
286	27326	28296	60	30	20
287	27327	28296	60	30	20
288	27328	28296	60	30	20
289	27710	28296	50	30	20
290	27712	28296	150	30	20
291	26266	28296	1	30	20
292	26032	28296	1	30	20
293	26479	28296	2	30	20
294	26450	28296	1	30	20
295	26676	28296	20	30	20
296	26144	28296	1	30	20
297	25837	28296	1	30	20
298	28253	28296	300	30	20
299	29343	28296	5	30	20
300	37051	28526	80	30	21
301	37052	28526	80	30	21
302	37053	28526	80	30	21
303	37054	28526	120	30	21
304	28452	28526	2	30	21
305	28448	28526	2	30	21
306	28449	28526	2	30	21
307	28450	28526	4	30	21
308	28451	28526	8	30	21
309	28253	28526	300	30	21
310	28973	28526	300	30	21
311	27710	28526	50	30	21
312	27712	28526	150	30	21
313	26266	28526	1	30	21
314	26032	28526	1	30	21
315	28030	28526	10	30	21
316	26450	28526	1	30	21
317	37055	29463	100	30	22
318	37056	29463	100	30	22
319	37057	29463	100	30	22
320	37058	29463	120	30	22
321	29392	29463	360	30	22
322	28452	29463	2	30	22
323	28448	29463	2	30	22
324	28449	29463	2	30	22
325	28450	29463	4	30	22
326	28451	29463	8	30	22
327	28253	29463	300	30	22
328	28973	29463	300	30	22
329	27710	29463	50	30	22
330	27712	29463	150	30	22
331	28030	29463	10	30	22
332	26266	29463	1	30	22
333	26032	29463	1	30	22
334	26450	29463	3	30	22
