mallType	tradeId	goodsId	goodsName	sortPriority	goodsType	sellType	needLevel	hideLevel	needVIP	needDay	startTime	endTime	isShow	dayLimitCnt	limitCnt	baseRMB	discountRMB	discountForever	discountCardCoding	VipLevelDiscount	activeTypeShow	viewItems	CanGiving	QRMB
商品类型 	交易ID	商品ID	商品名字	排序优先级（值越小越前）	出售的货物类型	出售类型1热卖2促销	购买需要人物等级	隐藏需要人物等级	购买需要VIP等级	购买需要开服时间	购买开始时间	购买结束时间	未满足条件是否显示(1显示 0隐藏)	每天限购数量	永久限购数量	不打折消耗神石	打折消耗神石	是否永久打折	打折卡物品编码	VIP打折需要的VIP等级	是否活动开启显示	客户端预览，0代表普通物品。2代表命魂（等级大礼用）	是否可以赠送(1：可以赠送，0：不可以)	是否只能充值神石购买，并且不能放在购物车，不能使用代金券
XSSC	201	26029	圣·光辉饰品礼包	1	1	1	1	999	0	(1,2)			0	1	0	360	360	0	0	0		0	0	0
XSSC	202	26030	圣·光辉装备礼包	2	1	1	1	999	0	(1,2)			0	1	0	660	660	0	0	0		0	0	0
XSSC	203	27635	宝石礼包（生命）	3	1	2	35	999	0	(2,3)			0	2	0	600	380	1	0	0		0	0	0
XSSC	204	27636	宝石礼包（物攻）	4	1	2	35	999	0	(2,3)			0	1	0	600	380	1	0	0		0	0	0
XSSC	205	27637	宝石礼包（法攻）	5	1	2	35	999	0	(2,3)			0	1	0	600	380	1	0	0		0	0	0
XSSC	208	27638	宝石礼包（暴击）	6	1	2	60	999	0	(7,10)			0	2	0	600	380	1	0	0		0	0	0
XSSC	209	27639	宝石礼包（免爆）	7	1	2	60	999	0	(7,10)			0	2	0	600	380	1	0	0		0	0	0
XSSC	210	27640	宝石礼包（破挡）	8	1	2	60	999	0	(7,10)			0	2	0	600	380	1	0	0		0	0	0
XSSC	211	27641	宝石礼包（格挡）	9	1	2	60	999	0	(7,10)			0	2	0	600	380	1	0	0		0	0	0
XSSC	212	26006	10神石礼包	10	1	2	50	999	0	(4,6)			0	4	0	10	8	1	0	0		0	0	0
XSSC	213	26007	10神石礼包（二）	11	1	2	65	999	0	(12,17)			0	4	0	10	8	1	0	0		0	0	0
XSSC	214	26008	10神石礼包（三）	12	1	2	50	999	0	(24,28)			0	4	0	10	8	1	0	0		0	0	0
XSSC	215	26009	10神石礼包（四）	13	1	2	100	999	0	(68,71)			0	4	0	10	8	1	0	0		0	0	0
XSSC	216	26010	20神石礼包	14	1	2	50	999	0	(4,6)			0	4	0	20	16	1	0	0		0	0	0
XSSC	217	26011	20神石礼包（二）	15	1	2	65	999	0	(12,17)			0	4	0	20	16	1	0	0		0	0	0
XSSC	218	26012	20神石礼包（三）	16	1	2	80	999	0	(24,28)			0	4	0	20	16	1	0	0		0	0	0
XSSC	219	26013	20神石礼包（四）	17	1	2	100	999	0	(68,71)			0	4	0	20	16	1	0	0		0	0	0
XSSC	220	26014	100神石礼包	18	1	2	50	999	0	(4,6)			0	4	0	100	88	1	0	0		0	0	0
XSSC	221	26015	100神石礼包（二）	19	1	2	65	999	0	(12,17)			0	4	0	100	88	1	0	0		0	0	0
XSSC	222	26016	100神石礼包（三）	20	1	2	80	999	0	(24,28)			0	4	0	100	88	1	0	0		0	0	0
XSSC	223	26017	100神石礼包（四）	21	1	2	100	999	0	(68,71)			0	4	0	100	88	1	0	0		0	0	0
XSSC	224	26018	英雄礼包	22	1	2	65	999	0	(12,17)			0	3	0	600	488	1	0	0		0	0	0
XSSC	225	26019	英雄礼包（二）	23	1	2	80	999	0	(24,28)			0	3	0	600	488	1	0	0		0	0	0
XSSC	227	26021	英雄礼包（四）	24	1	2	100	999	0	(68,71)			0	3	0	600	488	1	0	0		0	0	0
