level	rewardItem	rewardItem_fcm
互动对象等级	奖励物品	奖励物品
31	(25636,13)	(25636,7)
32	(25636,13)	(25636,7)
33	(25636,13)	(25636,7)
34	(25636,13)	(25636,7)
35	(25636,13)	(25636,7)
36	(25636,13)	(25636,7)
37	(25636,13)	(25636,7)
38	(25636,13)	(25636,7)
39	(25636,14)	(25636,7)
40	(25637,11)	(25637,6)
41	(25637,11)	(25637,6)
42	(25637,11)	(25637,6)
43	(25637,11)	(25637,6)
44	(25637,11)	(25637,6)
45	(25637,11)	(25637,6)
46	(25637,11)	(25637,6)
47	(25637,11)	(25637,6)
48	(25637,11)	(25637,6)
49	(25637,11)	(25637,6)
50	(25638,7)	(25638,4)
51	(25638,7)	(25638,4)
52	(25638,7)	(25638,4)
53	(25638,7)	(25638,4)
54	(25638,7)	(25638,4)
55	(25638,7)	(25638,4)
56	(25638,7)	(25638,4)
57	(25638,7)	(25638,4)
58	(25638,7)	(25638,4)
59	(25638,7)	(25638,4)
60	(25638,10)	(25638,5)
61	(25638,10)	(25638,5)
62	(25638,10)	(25638,5)
63	(25638,10)	(25638,5)
64	(25638,10)	(25638,5)
65	(25638,10)	(25638,5)
66	(25638,10)	(25638,5)
67	(25638,10)	(25638,5)
68	(25638,10)	(25638,5)
69	(25638,10)	(25638,5)
70	(25638,12)	(25638,6)
71	(25638,12)	(25638,6)
72	(25638,12)	(25638,6)
73	(25638,12)	(25638,6)
74	(25638,12)	(25638,6)
75	(25638,12)	(25638,6)
76	(25638,12)	(25638,6)
77	(25638,12)	(25638,6)
78	(25638,12)	(25638,6)
79	(25638,12)	(25638,6)
80	(25642,12)	(25642,6)
81	(25642,12)	(25642,6)
82	(25642,12)	(25642,6)
83	(25642,12)	(25642,6)
84	(25642,12)	(25642,6)
85	(25642,12)	(25642,6)
86	(25642,12)	(25642,6)
87	(25642,12)	(25642,6)
88	(25642,12)	(25642,6)
89	(25642,12)	(25642,6)
90	(25642,12)	(25642,6)
91	(25642,12)	(25642,6)
92	(25642,12)	(25642,6)
93	(25642,12)	(25642,6)
94	(25642,12)	(25642,6)
95	(25642,12)	(25642,6)
96	(25642,12)	(25642,6)
97	(25642,12)	(25642,6)
98	(25642,12)	(25642,6)
99	(25642,12)	(25642,6)
100	(25642,15)	(25642,8)
101	(25642,15)	(25642,8)
102	(25642,15)	(25642,8)
103	(25642,15)	(25642,8)
104	(25642,15)	(25642,8)
105	(25642,15)	(25642,8)
106	(25642,15)	(25642,8)
107	(25642,15)	(25642,8)
108	(25642,15)	(25642,8)
109	(25642,15)	(25642,8)
110	(25642,15)	(25642,8)
111	(25642,15)	(25642,8)
112	(25642,15)	(25642,8)
113	(25642,15)	(25642,8)
114	(25642,15)	(25642,8)
115	(25642,15)	(25642,8)
116	(25642,15)	(25642,8)
117	(25642,15)	(25642,8)
118	(25642,15)	(25642,8)
119	(25642,15)	(25642,8)
120	(25642,18)	(25642,9)
121	(25642,18)	(25642,9)
122	(25642,18)	(25642,9)
123	(25642,18)	(25642,9)
124	(25642,18)	(25642,9)
125	(25642,18)	(25642,9)
126	(25642,18)	(25642,9)
127	(25642,18)	(25642,9)
128	(25642,18)	(25642,9)
129	(25642,18)	(25642,9)
130	(25642,18)	(25642,9)
131	(25642,18)	(25642,9)
132	(25642,18)	(25642,9)
133	(25642,18)	(25642,9)
134	(25642,18)	(25642,9)
135	(25642,18)	(25642,9)
136	(25642,18)	(25642,9)
137	(25642,18)	(25642,9)
138	(25642,18)	(25642,9)
139	(25642,18)	(25642,9)
140	(25642,20)	(25642,10)
141	(25642,20)	(25642,10)
142	(25642,20)	(25642,10)
143	(25642,20)	(25642,10)
144	(25642,20)	(25642,10)
145	(25642,20)	(25642,10)
146	(25642,20)	(25642,10)
147	(25642,20)	(25642,10)
148	(25642,20)	(25642,10)
149	(25642,20)	(25642,10)
150	(25642,20)	(25642,10)
151	(25642,20)	(25642,10)
152	(25642,20)	(25642,10)
153	(25642,20)	(25642,10)
154	(25642,20)	(25642,10)
155	(25642,20)	(25642,10)
156	(25642,20)	(25642,10)
157	(25642,20)	(25642,10)
158	(25642,20)	(25642,10)
159	(25642,20)	(25642,10)
160	(25642,22)	(25642,11)
161	(25642,22)	(25642,11)
162	(25642,22)	(25642,11)
163	(25642,22)	(25642,11)
164	(25642,22)	(25642,11)
165	(25642,22)	(25642,11)
166	(25642,22)	(25642,11)
167	(25642,22)	(25642,11)
168	(25642,22)	(25642,11)
169	(25642,22)	(25642,11)
170	(25642,22)	(25642,11)
171	(25642,22)	(25642,11)
172	(25642,22)	(25642,11)
173	(25642,22)	(25642,11)
174	(25642,22)	(25642,11)
175	(25642,22)	(25642,11)
176	(25642,22)	(25642,11)
177	(25642,22)	(25642,11)
178	(25642,22)	(25642,11)
179	(25642,22)	(25642,11)
