level	reward1	reward2	reward3
玩家等级	奖励	奖励	奖励
1	(27566, 2)	(27566, 4)	(27566, 20)
2	(27566, 2)	(27566, 4)	(27566, 20)
3	(27566, 2)	(27566, 4)	(27566, 20)
4	(27566, 2)	(27566, 4)	(27566, 20)
5	(27566, 2)	(27566, 4)	(27566, 20)
6	(27566, 2)	(27566, 4)	(27566, 20)
7	(27566, 2)	(27566, 4)	(27566, 20)
8	(27566, 2)	(27566, 4)	(27566, 20)
9	(27566, 2)	(27566, 4)	(27566, 20)
10	(27566, 2)	(27566, 4)	(27566, 20)
11	(27566, 2)	(27566, 4)	(27566, 20)
12	(27566, 2)	(27566, 4)	(27566, 20)
13	(27566, 2)	(27566, 4)	(27566, 20)
14	(27566, 2)	(27566, 4)	(27566, 20)
15	(27566, 2)	(27566, 4)	(27566, 20)
16	(27566, 2)	(27566, 4)	(27566, 20)
17	(27566, 2)	(27566, 4)	(27566, 20)
18	(27566, 2)	(27566, 4)	(27566, 20)
19	(27566, 2)	(27566, 4)	(27566, 20)
20	(27566, 2)	(27566, 4)	(27566, 20)
21	(27566, 2)	(27566, 4)	(27566, 20)
22	(27566, 2)	(27566, 4)	(27566, 20)
23	(27566, 2)	(27566, 4)	(27566, 20)
24	(27566, 2)	(27566, 4)	(27566, 20)
25	(27566, 2)	(27566, 4)	(27566, 20)
26	(27566, 2)	(27566, 4)	(27566, 20)
27	(27566, 2)	(27566, 4)	(27566, 20)
28	(27566, 2)	(27566, 4)	(27566, 20)
29	(27566, 2)	(27566, 4)	(27566, 20)
30	(27566, 2)	(27566, 4)	(27566, 20)
31	(27566, 2)	(27566, 4)	(27566, 20)
32	(27566, 2)	(27566, 4)	(27566, 20)
33	(27566, 2)	(27566, 4)	(27566, 20)
34	(27566, 2)	(27566, 4)	(27566, 20)
35	(27566, 2)	(27566, 4)	(27566, 20)
36	(27566, 2)	(27566, 4)	(27566, 20)
37	(27566, 2)	(27566, 4)	(27566, 20)
38	(27566, 2)	(27566, 4)	(27566, 20)
39	(27566, 2)	(27566, 4)	(27566, 20)
40	(27566, 2)	(27566, 4)	(27566, 20)
41	(27566, 2)	(27566, 4)	(27566, 20)
42	(27566, 2)	(27566, 4)	(27566, 20)
43	(27566, 2)	(27566, 4)	(27566, 20)
44	(27566, 2)	(27566, 4)	(27566, 20)
45	(27566, 2)	(27566, 4)	(27566, 20)
46	(27566, 2)	(27566, 4)	(27566, 20)
47	(27566, 2)	(27566, 4)	(27566, 20)
48	(27566, 2)	(27566, 4)	(27566, 20)
49	(27566, 2)	(27566, 4)	(27566, 20)
50	(27566, 2)	(27566, 4)	(27566, 20)
51	(27566, 2)	(27566, 4)	(27566, 20)
52	(27566, 2)	(27566, 4)	(27566, 20)
53	(27566, 2)	(27566, 4)	(27566, 20)
54	(27566, 2)	(27566, 4)	(27566, 20)
55	(27566, 2)	(27566, 4)	(27566, 20)
56	(27566, 2)	(27566, 4)	(27566, 20)
57	(27566, 2)	(27566, 4)	(27566, 20)
58	(27566, 2)	(27566, 4)	(27566, 20)
59	(27566, 2)	(27566, 4)	(27566, 20)
60	(27566, 2)	(27566, 4)	(27566, 20)
61	(27566, 2)	(27566, 4)	(27566, 20)
62	(27566, 2)	(27566, 4)	(27566, 20)
63	(27566, 2)	(27566, 4)	(27566, 20)
64	(27566, 2)	(27566, 4)	(27566, 20)
65	(27566, 2)	(27566, 4)	(27566, 20)
66	(27566, 2)	(27566, 4)	(27566, 20)
67	(27566, 2)	(27566, 4)	(27566, 20)
68	(27566, 2)	(27566, 4)	(27566, 20)
69	(27566, 2)	(27566, 4)	(27566, 20)
70	(27167, 1)	(27167, 2)	(27167, 10)
71	(27167, 1)	(27167, 2)	(27167, 10)
72	(27167, 1)	(27167, 2)	(27167, 10)
73	(27167, 1)	(27167, 2)	(27167, 10)
