serverType	rank	needScore	rewardItems	money	bindRMB	rewardItemsPreview	rankImg
区域类型	排名	达标量	奖励	金币奖励	魔晶	奖励道具预览（客户端用）	是否显示
1	1	3000	[(27868,60),(25600,100),(27521,1)]	0	0	[(27868,60),(25600,100),(27521,1)]	SDJNH_TextDYM
1	2	3000	[(27868,48),(25600,80),(27520,1)]	0	0	[(27868,48),(25600,80),(27520,1)]	SDJNH_TextDRM
1	3	2500	[(27868,42),(25600,60),(27519,1)]	0	0	[(27868,42),(25600,60),(27519,1)]	SDJNH_TextDSM
1	4	2000	[(27868,36),(25600,50),(27518,1)]	0	0	[(27868,36),(25600,50),(27518,1)]	SDJNH_TextD4M
1	5	1500	[(27868,30),(25600,40),(27518,1)]	0	0	[(27868,30),(25600,40),(27518,1)]	SDJNH_TextD5M
1	6	1500	[(27868,24),(25600,30),(27518,1)]	0	0	[(27868,24),(25600,30),(27518,1)]	0
1	7	1000	[(27868,18),(25600,25),(27518,1)]	0	0	[(27868,18),(25600,25),(27518,1)]	0
1	8	1000	[(27868,15),(25600,20),(27518,1)]	0	0	[(27868,15),(25600,20),(27518,1)]	0
1	9	1000	[(27868,12),(25600,15),(27518,1)]	0	0	[(27868,12),(25600,15),(27518,1)]	0
1	10	1000	[(27868,10),(25600,10),(27518,1)]	0	0	[(27868,10),(25600,10),(27518,1)]	0
2	1	3000	[(27868,60),(25600,100),(27624,1)]	0	0	[(27868,60),(25600,100),(27624,1)]	SDJNH_TextDYM
2	2	3000	[(27868,48),(25600,80),(27623,1)]	0	0	[(27868,48),(25600,80),(27623,1)]	SDJNH_TextDRM
2	3	2500	[(27868,42),(25600,60),(27622,1)]	0	0	[(27868,42),(25600,60),(27622,1)]	SDJNH_TextDSM
2	4	2000	[(27868,36),(25600,50),(27621,1)]	0	0	[(27868,36),(25600,50),(27621,1)]	SDJNH_TextD4M
2	5	1500	[(27868,30),(25600,40),(27621,1)]	0	0	[(27868,30),(25600,40),(27621,1)]	SDJNH_TextD5M
2	6	1500	[(27868,24),(25600,30),(27621,1)]	0	0	[(27868,24),(25600,30),(27621,1)]	0
2	7	1000	[(27868,18),(25600,25),(27621,1)]	0	0	[(27868,18),(25600,25),(27621,1)]	0
2	8	1000	[(27868,15),(25600,20),(27621,1)]	0	0	[(27868,15),(25600,20),(27621,1)]	0
2	9	1000	[(27868,12),(25600,15),(27621,1)]	0	0	[(27868,12),(25600,15),(27621,1)]	0
2	10	1000	[(27868,10),(25600,10),(27621,1)]	0	0	[(27868,10),(25600,10),(27621,1)]	0
3	1	3000	[(27868,60),(25600,100),(27042,32)]	0	0	[(27868,60),(25600,100),(27042,32)]	SDJNH_TextDYM
3	2	3000	[(27868,48),(25600,80),(27042,16)]	0	0	[(27868,48),(25600,80),(27042,16)]	SDJNH_TextDRM
3	3	2500	[(27868,42),(25600,60),(27042,8)]	0	0	[(27868,42),(25600,60),(27042,8)]	SDJNH_TextDSM
3	4	2000	[(27868,36),(25600,50),(27042,4)]	0	0	[(27868,36),(25600,50),(27042,4)]	SDJNH_TextD4M
3	5	1500	[(27868,30),(25600,40),(27042,4)]	0	0	[(27868,30),(25600,40),(27042,4)]	SDJNH_TextD5M
3	6	1500	[(27868,24),(25600,30),(27042,4)]	0	0	[(27868,24),(25600,30),(27042,4)]	0
3	7	1000	[(27868,18),(25600,25),(27042,4)]	0	0	[(27868,18),(25600,25),(27042,4)]	0
3	8	1000	[(27868,15),(25600,20),(27042,4)]	0	0	[(27868,15),(25600,20),(27042,4)]	0
3	9	1000	[(27868,12),(25600,15),(27042,4)]	0	0	[(27868,12),(25600,15),(27042,4)]	0
3	10	1000	[(27868,10),(25600,10),(27042,4)]	0	0	[(27868,10),(25600,10),(27042,4)]	0
4	1	3000	[(27868,60),(25600,100),(27042,32)]	0	0	[(27868,60),(25600,100),(27042,32)]	SDJNH_TextDYM
4	2	3000	[(27868,48),(25600,80),(27042,16)]	0	0	[(27868,48),(25600,80),(27042,16)]	SDJNH_TextDRM
4	3	2500	[(27868,42),(25600,60),(27042,8)]	0	0	[(27868,42),(25600,60),(27042,8)]	SDJNH_TextDSM
4	4	2000	[(27868,36),(25600,50),(27042,4)]	0	0	[(27868,36),(25600,50),(27042,4)]	SDJNH_TextD4M
4	5	1500	[(27868,30),(25600,40),(27042,4)]	0	0	[(27868,30),(25600,40),(27042,4)]	SDJNH_TextD5M
4	6	1500	[(27868,24),(25600,30),(27042,4)]	0	0	[(27868,24),(25600,30),(27042,4)]	0
4	7	1000	[(27868,18),(25600,25),(27042,4)]	0	0	[(27868,18),(25600,25),(27042,4)]	0
4	8	1000	[(27868,15),(25600,20),(27042,4)]	0	0	[(27868,15),(25600,20),(27042,4)]	0
4	9	1000	[(27868,12),(25600,15),(27042,4)]	0	0	[(27868,12),(25600,15),(27042,4)]	0
4	10	1000	[(27868,10),(25600,10),(27042,4)]	0	0	[(27868,10),(25600,10),(27042,4)]	0
5	1	3000	[(27868,60),(25600,100),(27042,32)]	0	0	[(27868,60),(25600,100),(27042,32)]	SDJNH_TextDYM
