level	needItem
传承星灵等级	消耗道具个数
1	(26932,5)
2	(26932,5)
3	(26932,5)
4	(26932,5)
5	(26932,5)
6	(26932,5)
7	(26932,5)
8	(26932,5)
9	(26932,5)
10	(26932,5)
11	(26932,10)
12	(26932,10)
13	(26932,10)
14	(26932,10)
15	(26932,10)
16	(26932,10)
17	(26932,10)
18	(26932,10)
19	(26932,10)
20	(26932,10)
21	(26932,50)
22	(26932,50)
23	(26932,50)
24	(26932,50)
25	(26932,50)
26	(26932,50)
27	(26932,50)
28	(26932,50)
29	(26932,50)
30	(26932,50)
31	(26932,100)
32	(26932,100)
33	(26932,100)
34	(26932,100)
35	(26932,100)
36	(26932,100)
37	(26932,100)
38	(26932,100)
39	(26932,100)
40	(26932,100)
41	(26932,250)
42	(26932,250)
43	(26932,250)
44	(26932,250)
45	(26932,250)
46	(26932,250)
47	(26932,250)
48	(26932,250)
49	(26932,250)
50	(26932,250)
51	(26932,500)
52	(26932,500)
53	(26932,500)
54	(26932,500)
55	(26932,500)
56	(26932,500)
57	(26932,500)
58	(26932,500)
59	(26932,500)
60	(26932,500)
61	(26932,800)
62	(26932,800)
63	(26932,800)
64	(26932,800)
65	(26932,800)
66	(26932,800)
67	(26932,800)
68	(26932,800)
69	(26932,800)
70	(26932,800)
71	(26932,800)
72	(26932,800)
73	(26932,800)
74	(26932,800)
75	(26932,800)
76	(26932,800)
77	(26932,800)
78	(26932,800)
79	(26932,800)
80	(26932,800)
81	(26932,800)
82	(26932,800)
83	(26932,800)
84	(26932,800)
85	(26932,800)
86	(26932,800)
87	(26932,800)
88	(26932,800)
89	(26932,800)
90	(26932,800)
91	(26932,800)
92	(26932,800)
93	(26932,800)
94	(26932,800)
95	(26932,800)
96	(26932,800)
97	(26932,800)
98	(26932,800)
99	(26932,800)
100	(26932,800)
101	(26932,1000)
102	(26932,1000)
103	(26932,1000)
104	(26932,1000)
105	(26932,1000)
106	(26932,1000)
107	(26932,1000)
108	(26932,1000)
109	(26932,1000)
110	(26932,1000)
111	(26932,1500)
112	(26932,1500)
113	(26932,1500)
114	(26932,1500)
115	(26932,1500)
116	(26932,1500)
117	(26932,1500)
118	(26932,1500)
119	(26932,1500)
120	(26932,1500)
