girlId	grade	starHead	starHesdL	starHalfhead	starHalfbody	starBackground	girlName	resId	unlockNeedStarLucky	unlockNeedRoleLevel	gradeMaxLevel	unlockNeedItem	Discribe	evolveNeedItem	gradecolor	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce	activeSkill	iskillIcon	iskillName	iskillDes
星灵ID	星灵阶级	头像(星灵之力)	大头像(传承进化)	小半身像(星灵列表)	半身像（UI）	背景图	星灵名字	外观资源id	解锁需要星运	解锁需要主角等级	阶级对应最大等级	解锁需要道具	道具悬浮描述	进化需要道具	阶级对应颜色	生命(初始属性)	攻击速度	怒气	物攻	物防	法攻	法防	暴击	免暴	破防	免破	格挡	破挡	增伤	免伤	主动技能(技能ID，等级)	主动技能图标	主动技能名称	主动技能描述
1	1	jinniuS	jinniuL	jinnium	jinniuh	XL_jinniu_BG	金牛座星灵	6004	100	60	10			(26932,5)	白色	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(3201,1)	jnxl01	金牛冲击	#C(#ffffff)随机攻击单个目标1次，额外造成#C(#ffd700)800#n点伤害,消耗50点怒气#n
1	2	jinniuS	jinniuL	jinnium	jinniuh	XL_jinniu_BG	金牛座星灵	6004	100	60	20			(26932,10)	绿色	2004	0	0	668	0	668	0	100	0	0	0	0	0	0	0	(3201,2)	jnxl01	金牛冲击	#C(#ffffff)随机攻击单个目标1次，额外造成#C(#ffd700)900#n点伤害,消耗50点怒气#n
1	3	jinniuS	jinniuL	jinnium	jinniuh	XL_jinniu_BG	金牛座星灵	6004	100	60	30			(26932,50)	蓝色	4008	0	0	1336	0	1336	0	300	0	0	0	0	0	0	0	(3201,3)	jnxl01	金牛冲击	#C(#ffffff)随机攻击单个目标1次，额外造成#C(#ffd700)1000#n点伤害,消耗50点怒气#n
1	4	jinniuS	jinniuL	jinnium	jinniuh	XL_jinniu_BG	金牛座星灵	6004	100	60	40			(26932,100)	紫色	5538	0	0	1846	0	1846	0	700	0	0	0	0	0	0	0	(3201,4)	jnxl01	金牛冲击	#C(#ffffff)随机攻击单个目标1次，额外造成#C(#ffd700)1100#n点伤害,消耗50点怒气#n
1	5	jinniuS	jinniuL	jinnium	jinniuh	XL_jinniu_BG	金牛座星灵	6004	100	60	50			(26932,250)	黄色	7542	0	0	2514	0	2514	0	1400	0	0	0	0	0	0	0	(3201,5)	jnxl01	金牛冲击	#C(#ffffff)随机攻击单个目标1次，额外造成#C(#ffd700)1200#n点伤害,消耗50点怒气#n
2	1	chunvS	chunvL	chunvm	chunvh	XL_chunv_BG	处女座星灵	6001	1500	60	10	(26971,1)	道具来源：玩家60级后有概率在#C(#00ff00)天天秒杀#n活动中购买获得	(26932,5)	白色	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(3200,1)	jnxl03	处女铁壁	#C(#ffffff)为血量最少的单位增加一个护盾,额外吸收#C(#ffd700)8000#n点伤害,消耗50点怒气#n
2	2	chunvS	chunvL	chunvm	chunvh	XL_chunv_BG	处女座星灵	6001	1500	60	20	(26971,1)	道具来源：玩家60级后有概率在#C(#00ff00)天天秒杀#n活动中购买获得	(26932,10)	绿色	2004	0	0	668	0	668	0	100	0	0	0	0	0	0	0	(3200,2)	jnxl03	处女铁壁	#C(#ffffff)为血量最少的单位增加一个护盾,额外吸收#C(#ffd700)9000#n点伤害,消耗50点怒气#n
2	3	chunvS	chunvL	chunvm	chunvh	XL_chunv_BG	处女座星灵	6001	1500	60	30	(26971,1)	道具来源：玩家60级后有概率在#C(#00ff00)天天秒杀#n活动中购买获得	(26932,50)	蓝色	4008	0	0	1336	0	1336	0	300	0	0	0	0	0	0	0	(3200,3)	jnxl03	处女铁壁	#C(#ffffff)为血量最少的单位增加一个护盾,额外吸收#C(#ffd700)10000#n点伤害,消耗50点怒气#n
2	4	chunvS	chunvL	chunvm	chunvh	XL_chunv_BG	处女座星灵	6001	1500	60	40	(26971,1)	道具来源：玩家60级后有概率在#C(#00ff00)天天秒杀#n活动中购买获得	(26932,100)	紫色	5547	0	0	1849	0	1849	0	700	0	0	0	0	0	0	0	(3200,4)	jnxl03	处女铁壁	#C(#ffffff)为血量最少的单位增加一个护盾,额外吸收#C(#ffd700)11000#n点伤害,消耗50点怒气#n
