girlId	starLevel	girlName	maxStarlevel	maxBlessValue	successNeedMinBlessValue	failAddBlessValue	starLevelUpOdds	starLevelUpNeedItem	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce	passiveSkill	skill_rate	pskillIcon	starNotice	skillName	skillDes
星灵ID	星灵星级	星灵名字	最大星级	最大祝福值	升星成功至少需要的祝福值	失败增加祝福值	升星概率	升星需要道具	生命	攻击速度	怒气	物攻	物防	法攻	法防	暴击	免暴	破防	免破	格挡	破挡	增伤	免伤	被动技能	主动技能系数	技能图标	被动技能提示	技能名称	技能描述
1	1	金牛座星灵	20	16	4	1	14285	(26934,1)	6000	0	0	2400	0	2400	0	300	0	0	0	0	300	0	0	[(3008,1)]	10000	jnxl04		金牛守护	#C(#ffffff)1.为主角提高#C(#ffd700)1500+星灵10%生命上限#n的生命#H2.攻击时降低目标#C(#ffd700)星灵攻击力10%#n的防御#C(#0066cc)(5星激活该技能)#n#H3.星灵暴击伤害提高10%#C(#0066cc)(8星激活该技能)#n#H4.初始星灵增加25怒气#C(#0066cc)(10星激活该技能)#n#H5.星灵增伤提高10%#C(#0066cc)(12星激活该技能)#n#H6.星灵攻击20%概率增加25点怒气#C(#0066cc)(14星激活该技能)#n#H7.星灵攻击30%概率眩晕目标1回合#C(#0066cc)(16星激活该技能)#n#H8.战斗中提升全队5%增伤及5%减伤#C(#0066cc)(18星激活该技能)#n#n
1	2	金牛座星灵	20	40	8	1	5555	(26934,1)	12000	0	0	4800	0	4800	0	500	0	0	0	0	500	0	0	[(3008,2)]	10000	jnxl04		金牛守护	#C(#ffffff)1.为主角提高#C(#ffd700)3000+星灵10%生命上限#n的生命#H2.攻击时降低目标#C(#ffd700)星灵攻击力10%#n的防御#C(#0066cc)(5星激活该技能)#n#H3.星灵暴击伤害提高10%#C(#0066cc)(8星激活该技能)#n#H4.初始星灵增加25怒气#C(#0066cc)(10星激活该技能)#n#H5.星灵增伤提高10%#C(#0066cc)(12星激活该技能)#n#H6.星灵攻击20%概率增加25点怒气#C(#0066cc)(14星激活该技能)#n#H7.星灵攻击30%概率眩晕目标1回合#C(#0066cc)(16星激活该技能)#n#H8.战斗中提升全队5%增伤及5%减伤#C(#0066cc)18星激活该技能)#n#n
1	3	金牛座星灵	20	97	20	1	2564	(26934,1)	18000	0	0	7200	0	7200	0	800	0	0	0	0	800	0	0	[(3008,3)]	10000	jnxl04		金牛守护	#C(#ffffff)1.为主角提高#C(#ffd700)4500+星灵10%生命上限#n的生命#H2.攻击时降低目标#C(#ffd700)星灵攻击力10%#n的防御#C(#0066cc)(5星激活该技能)#n#H3.星灵暴击伤害提高10%#C(#0066cc)(8星激活该技能)#n#H4.初始星灵增加25怒气#C(#0066cc)(10星激活该技能)#n#H5.星灵增伤提高10%#C(#0066cc)(12星激活该技能)#n#H6.星灵攻击20%概率增加25点怒气#C(#0066cc)(14星激活该技能)#n#H7.星灵攻击30%概率眩晕目标1回合#C(#0066cc)(16星激活该技能)#n#H8.战斗中提升全队5%增伤及5%减伤#C(#0066cc)(18星激活该技能)#n#n
1	4	金牛座星灵	20	198	40	1	1666	(26934,1)	24000	0	0	9600	0	9600	0	1000	0	0	0	0	1000	0	0	[(3008,4)]	10000	jnxl04		金牛守护	#C(#ffffff)1.为主角提高#C(#ffd700)6000+星灵10%生命上限#n的生命#H2.攻击时降低目标#C(#ffd700)星灵攻击力10%#n的防御#C(#0066cc)(5星激活该技能)#n#H3.星灵暴击伤害提高10%#C(#0066cc)(8星激活该技能)#n#H4.初始星灵增加25怒气#C(#0066cc)(10星激活该技能)#n#H5.星灵增伤提高10%#C(#0066cc)(12星激活该技能)#n#H6.星灵攻击20%概率增加25点怒气#C(#0066cc)(14星激活该技能)#n#H7.星灵攻击30%概率眩晕目标1回合#C(#0066cc)(16星激活该技能)#n#H8.战斗中提升全队5%增伤及5%减伤#C(#0066cc)(18星激活该技能)#n#n
1	5	金牛座星灵	20	335	67	1	746	(26934,1)	30000	0	0	12000	0	12000	0	1200	0	0	0	0	1200	0	0	[(3008,5),(3014,0)]	11500	jnxl04	5星可激活被动技能：#H#C(#00FF00)攻击时降低目标#C(#ffd700)星灵攻击力10%#n的防御#n	金牛守护	#C(#ffffff)1.为主角提高#C(#ffd700)7500+星灵10%生命上限#n的生命#H2.攻击时降低目标#C(#ffd700)星灵攻击力10%#n的防御#C(#0066cc)(5星激活该技能)#n#H3.星灵暴击伤害提高10%#C(#0066cc)(8星激活该技能)#n#H4.初始星灵增加25怒气#C(#0066cc)(10星激活该技能)#n#H5.星灵增伤提高10%#C(#0066cc)(12星激活该技能)#n#H6.星灵攻击20%概率增加25点怒气#C(#0066cc)(14星激活该技能)#n#H7.星灵攻击30%概率眩晕目标1回合#C(#0066cc)(16星激活该技能)#n#H8.战斗中提升全队5%增伤及5%减伤#C(#0066cc)(18星激活该技能)#n#n
1	6	金牛座星灵	20	535	347	1	531	(26934,1)	36000	0	0	14400	0	14400	0	1500	0	0	0	0	1500	0	0	[(3008,6),(3014,0)]	11500	jnxl04		金牛守护	#C(#ffffff)1.为主角提高#C(#ffd700)9000+星灵10%生命上限#n的生命#H2.攻击时降低目标#C(#ffd700)星灵攻击力10%#n的防御#C(#0066cc)(5星激活该技能)#n#H3.星灵暴击伤害提高10%#C(#0066cc)(8星激活该技能)#n#H4.初始星灵增加25怒气#C(#0066cc)(10星激活该技能)#n#H5.星灵增伤提高10%#C(#0066cc)(12星激活该技能)#n#H6.星灵攻击20%概率增加25点怒气#C(#0066cc)(14星激活该技能)#n#H7.星灵攻击30%概率眩晕目标1回合#C(#0066cc)(16星激活该技能)#n#H8.战斗中提升全队5%增伤及5%减伤#C(#0066cc)(18星激活该技能)#n#n
1	7	金牛座星灵	20	735	514	1	452	(26934,1)	42000	0	0	16800	0	16800	0	1800	0	0	0	0	1800	0	0	[(3008,7),(3014,0)]	11500	jnxl04		金牛守护	#C(#ffffff)1.为主角提高#C(#ffd700)10500+星灵10%生命上限#n的生命#H2.攻击时降低目标#C(#ffd700)星灵攻击力10%#n的防御#C(#0066cc)(5星激活该技能)#n#H3.星灵暴击伤害提高10%#C(#0066cc)(8星激活该技能)#n#H4.初始星灵增加25怒气#C(#0066cc)(10星激活该技能)#n#H5.星灵增伤提高10%#C(#0066cc)(12星激活该技能)#n#H6.星灵攻击20%概率增加25点怒气#C(#0066cc)(14星激活该技能)#n#H7.星灵攻击30%概率眩晕目标1回合#C(#0066cc)(16星激活该技能)#n#H8.战斗中提升全队5%增伤及5%减伤#C(#0066cc)(18星激活该技能)#n#n
1	8	金牛座星灵	20	1101	748	1	283	(26934,1)	48000	0	0	19200	0	19200	0	2100	0	0	0	0	2100	0	0	[(3008,8),(3014,0),(3010,0)]	13000	jnxl04	8星可激活被动技能：#H#C(#00FF00)星灵暴击伤害提高10%#n	金牛守护	#C(#ffffff)1.为主角提高#C(#ffd700)12000+星灵10%生命上限#n的生命#H2.攻击时降低目标#C(#ffd700)星灵攻击力10%#n的防御#C(#0066cc)(5星激活该技能)#n#H3.星灵暴击伤害提高10%#C(#0066cc)(8星激活该技能)#n#H4.初始星灵增加25怒气#C(#0066cc)(10星激活该技能)#n#H5.星灵增伤提高10%#C(#0066cc)(12星激活该技能)#n#H6.星灵攻击20%概率增加25点怒气#C(#0066cc)(14星激活该技能)#n#H7.星灵攻击30%概率眩晕目标1回合#C(#0066cc)(16星激活该技能)#n#H8.战斗中提升全队5%增伤及5%减伤#C(#0066cc)(18星激活该技能)#n#n
1	9	金牛座星灵	20	1412	988	1	235	(26934,1)	56000	0	0	22400	0	22400	0	2400	0	0	0	0	2400	0	0	[(3008,9),(3014,0),(3010,0)]	13000	jnxl04		金牛守护	#C(#ffffff)1.为主角提高#C(#ffd700)13500+星灵10%生命上限#n的生命#H2.攻击时降低目标#C(#ffd700)星灵攻击力10%#n的防御#C(#0066cc)(5星激活该技能)#n#H3.星灵暴击伤害提高10%#C(#0066cc)(8星激活该技能)#n#H4.初始星灵增加25怒气#C(#0066cc)(10星激活该技能)#n#H5.星灵增伤提高10%#C(#0066cc)(12星激活该技能)#n#H6.星灵攻击20%概率增加25点怒气#C(#0066cc)(14星激活该技能)#n#H7.星灵攻击30%概率眩晕目标1回合#C(#0066cc)(16星激活该技能)#n#H8.战斗中提升全队5%增伤及5%减伤#C(#0066cc)(18星激活该技能)#n#n
