goodsId	goodsType	isTreasure	valIndex	LevelVal	moneyType	currPrice	originPrice	apperaPro	golds	bindRMB	unbindRMB	point	needCoding	rewards
商品ID	商品类型（(1.普通），（2.宝物））	是否展示（1是）		等级	货币类型(1金币 2魔晶 3神石 4积分 5道具)	现价	原价	出现的概率（这里分2类，即商品类型1和2的概率是独立的）,万分比	1	2	3	4	5	奖励
1	1	1	1	[30,59]	1	350000	350000	3000	350000	0	0	0	0	[25639,50]
2	1	0	1	[30,59]	1	500000	500000	3000	500000	0	0	0	0	[25661,5]
3	1	0	1	[30,59]	1	500000	500000	3000	500000	0	0	0	0	[25666,5]
4	1	0	1	[30,59]	2	20	20	1500	0	20	0	0	0	[26032,1]
5	1	0	1	[30,59]	2	40	40	1500	0	40	0	0	0	[26033,1]
6	2	0	1	[30,59]	2	80	80	1500	0	80	0	0	0	[26044,1]
7	2	0	1	[30,59]	2	160	160	1500	0	160	0	0	0	[26026,1]
8	1	0	1	[30,59]	2	200	250	1500	0	200	0	0	0	[25600,25]
9	2	0	1	[30,59]	2	200	250	1500	0	200	0	0	0	[26344,25]
10	1	0	1	[30,59]	3	10	15	1500	0	0	10	0	0	[26032,1]
11	1	0	1	[30,59]	3	20	30	1500	0	0	20	0	0	[26033,1]
12	2	1	1	[30,59]	3	40	60	1500	0	0	40	0	0	[26044,1]
13	2	1	1	[30,59]	3	80	120	1500	0	0	80	0	0	[26026,1]
14	2	1	1	[30,59]	3	125	250	1500	0	0	125	0	0	[25600,25]
15	2	1	1	[30,59]	3	125	250	1500	0	0	125	0	0	[26344,25]
16	1	0	2	[60,79]	1	500000	500000	2250	500000	0	0	0	0	[25640,50]
17	1	0	2	[60,79]	1	750000	750000	2250	750000	0	0	0	0	[25662,10]
18	1	0	2	[60,79]	1	750000	750000	2250	750000	0	0	0	0	[25667,10]
19	1	0	2	[60,79]	1	500000	500000	2250	500000	0	0	0	0	[25971,10]
20	1	0	2	[60,79]	2	160	160	1800	0	160	0	0	0	[26026,1]
21	1	0	2	[60,79]	2	100	100	1800	0	100	0	0	0	[26267,1]
22	1	0	2	[60,79]	2	300	300	1800	0	300	0	0	0	[26042,1]
23	2	1	2	[60,79]	3	15	30	1125	0	0	15	0	0	[25831,3]
24	2	1	2	[60,79]	3	15	30	1125	0	0	15	0	0	[26043,3]
25	2	1	2	[60,79]	3	15	30	1125	0	0	15	0	0	[25970,3]
26	1	0	2	[60,79]	2	80	80	1800	0	80	0	0	0	[25837,5]
27	1	0	2	[60,79]	2	80	80	1800	0	80	0	0	0	[26144,5]
28	2	1	2	[60,79]	3	80	120	1125	0	0	80	0	0	[26026,1]
29	2	1	2	[60,79]	3	50	60	1125	0	0	50	0	0	[26267,1]
30	2	1	2	[60,79]	3	150	200	1125	0	0	150	0	0	[26042,1]
31	2	1	2	[60,79]	3	40	50	1125	0	0	40	0	0	[25837,5]
32	2	1	2	[60,79]	3	40	50	1125	0	0	40	0	0	[26144,5]
33	1	1	3	[80,99]	1	750000	750000	2250	750000	0	0	0	0	[25641,50]
34	1	0	3	[80,99]	1	1000000	1000000	2250	1000000	0	0	0	0	[25663,15]
35	1	0	3	[80,99]	1	1000000	1000000	2250	1000000	0	0	0	0	[25668,15]
36	1	0	3	[80,99]	1	500000	500000	2250	500000	0	0	0	0	[25971,10]
37	1	0	3	[80,99]	2	160	160	1500	0	160	0	0	0	[26026,1]
38	2	0	3	[80,99]	2	100	100	1500	0	100	0	0	0	[26267,1]
39	1	0	3	[80,99]	2	300	300	1500	0	300	0	0	0	[26042,1]
40	2	0	3	[80,99]	3	15	30	1000	0	0	15	0	0	[25831,3]
41	2	0	3	[80,99]	3	15	30	1000	0	0	15	0	0	[26043,3]
42	2	0	3	[80,99]	3	15	30	1000	0	0	15	0	0	[25970,3]
43	1	0	3	[80,99]	2	80	80	1500	0	80	0	0	0	[25837,5]
44	1	0	3	[80,99]	2	80	80	1500	0	80	0	0	0	[26144,5]
45	1	0	3	[80,99]	2	60	60	1500	0	60	0	0	0	[26272,5]
46	2	1	3	[80,99]	3	80	120	1000	0	0	80	0	0	[26026,1]
47	2	1	3	[80,99]	3	50	60	1000	0	0	50	0	0	[26267,1]
