goodsId	goodsType	isTreasure	valIndex	LevelVal	moneyType	currPrice	originPrice	apperaPro	golds	bindRMB	unbindRMB	point	needCoding	rewards
商品ID	商品类型（(1.普通），（2.宝物））	是否展示（1是）		等级	货币类型(1金币 2魔晶 3神石 4积分 5道具)	现价	原价	出现的概率（这里分2类，即商品类型1和2的概率是独立的）,万分比	1	2	3	4	5	奖励
1	1	1	1	[30,59]	1	350000	350000	3000	350000	0	0	0	0	[25639,50]
2	1	0	1	[30,59]	1	500000	500000	3000	500000	0	0	0	0	[25661,5]
3	1	0	1	[30,59]	1	500000	500000	3000	500000	0	0	0	0	[25666,5]
4	1	0	1	[30,59]	2	55	55	1500	0	55	0	0	0	[26032,1]
5	1	0	1	[30,59]	2	105	105	1500	0	105	0	0	0	[26033,1]
6	2	0	1	[30,59]	2	205	205	1500	0	205	0	0	0	[26044,1]
7	2	0	1	[30,59]	2	405	405	1500	0	405	0	0	0	[26026,1]
8	1	0	1	[30,59]	2	395	500	1500	0	395	0	0	0	[25600,25]
9	2	0	1	[30,59]	2	495	625	1500	0	495	0	0	0	[26344,25]
10	1	0	1	[30,59]	3	30	45	1500	0	0	30	0	0	[26032,1]
11	1	0	1	[30,59]	3	55	85	1500	0	0	55	0	0	[26033,1]
12	2	1	1	[30,59]	3	95	155	1500	0	0	95	0	0	[26044,1]
13	2	1	1	[30,59]	3	195	295	1500	0	0	195	0	0	[26026,1]
14	2	1	1	[30,59]	3	250	500	1500	0	0	250	0	0	[25600,25]
15	2	1	1	[30,59]	3	315	625	1500	0	0	315	0	0	[26344,25]
16	1	0	2	[60,79]	1	500000	500000	2250	500000	0	0	0	0	[25640,50]
17	1	0	2	[60,79]	1	750000	750000	2250	750000	0	0	0	0	[25662,10]
18	1	0	2	[60,79]	1	750000	750000	2250	750000	0	0	0	0	[25667,10]
19	1	0	2	[60,79]	1	500000	500000	2250	500000	0	0	0	0	[25971,10]
20	1	0	2	[60,79]	2	405	405	1800	0	405	0	0	0	[26026,1]
21	1	0	2	[60,79]	2	205	205	1800	0	205	0	0	0	[26267,1]
22	1	0	2	[60,79]	2	1295	1295	1800	0	1295	0	0	0	[26042,1]
23	2	1	2	[60,79]	3	45	150	1125	0	0	45	0	0	[25831,3]
24	2	1	2	[60,79]	3	45	150	1125	0	0	45	0	0	[26043,3]
25	2	1	2	[60,79]	3	45	150	1125	0	0	45	0	0	[25970,3]
26	1	0	2	[60,79]	2	250	250	1800	0	250	0	0	0	[25837,5]
27	1	0	2	[60,79]	2	475	475	1800	0	475	0	0	0	[26144,5]
28	2	1	2	[60,79]	3	195	295	1125	0	0	195	0	0	[26026,1]
29	2	1	2	[60,79]	3	125	155	1125	0	0	125	0	0	[26267,1]
30	2	1	2	[60,79]	3	665	895	1125	0	0	665	0	0	[26042,1]
31	2	1	2	[60,79]	3	200	250	1125	0	0	200	0	0	[25837,5]
32	2	1	2	[60,79]	3	375	475	1125	0	0	375	0	0	[26144,5]
33	1	1	3	[80,99]	1	750000	750000	2250	750000	0	0	0	0	[25641,50]
34	1	0	3	[80,99]	1	1000000	1000000	2250	1000000	0	0	0	0	[25663,15]
35	1	0	3	[80,99]	1	1000000	1000000	2250	1000000	0	0	0	0	[25668,15]
36	1	0	3	[80,99]	1	500000	500000	2250	500000	0	0	0	0	[25971,10]
37	1	0	3	[80,99]	2	405	405	1500	0	405	0	0	0	[26026,1]
38	2	0	3	[80,99]	2	205	205	1500	0	205	0	0	0	[26267,1]
39	1	0	3	[80,99]	2	1295	1295	1500	0	1295	0	0	0	[26042,1]
40	2	0	3	[80,99]	3	45	150	1000	0	0	45	0	0	[25831,3]
41	2	0	3	[80,99]	3	45	150	1000	0	0	45	0	0	[26043,3]
42	2	0	3	[80,99]	3	45	150	1000	0	0	45	0	0	[25970,3]
43	1	0	3	[80,99]	2	250	250	1500	0	250	0	0	0	[25837,5]
44	1	0	3	[80,99]	2	475	475	1500	0	475	0	0	0	[26144,5]
45	1	0	3	[80,99]	2	225	225	1500	0	225	0	0	0	[26272,5]
46	2	1	3	[80,99]	3	195	295	1000	0	0	195	0	0	[26026,1]
47	2	1	3	[80,99]	3	125	155	1000	0	0	125	0	0	[26267,1]
