station	star	needRepution	stationDescription
助阵位	星级	需要声望	阵位描述
1	1	14000	一星主助阵位
1	2	79000	二星主助阵位
1	3	350000	三星主助阵位
1	4	900000	四星主助阵位
1	5	1800000	五星主助阵位
1	6	4000000	六星主助阵位
1	7	6000000	七星主助阵位
1	8	9000000	八星主助阵位
2	1	27500	一星主助阵位
2	2	128000	二星主助阵位
2	3	500000	三星主助阵位
2	4	1100000	四星主助阵位
2	5	2200000	五星主助阵位
2	6	4600000	六星主助阵位
2	7	7000000	七星主助阵位
2	8	10000000	八星主助阵位
3	1	46000	一星主助阵位
3	2	160000	二星主助阵位
3	3	700000	三星主助阵位
3	4	1500000	四星主助阵位
3	5	2600000	五星主助阵位
3	6	5200000	六星主助阵位
3	7	8000000	七星主助阵位
3	8	11000000	八星主助阵位
4	1	46000	副助阵位
5	1	46000	副助阵位
6	1	46000	副助阵位
4	2	46000	副助阵位
5	2	46000	副助阵位
6	2	46000	副助阵位
4	3	46000	副助阵位
5	3	46000	副助阵位
6	3	46000	副助阵位
4	4	46000	副助阵位
5	4	46000	副助阵位
6	4	46000	副助阵位
4	5	46000	副助阵位
5	5	46000	副助阵位
6	5	46000	副助阵位
4	6	46000	副助阵位
5	6	46000	副助阵位
6	6	46000	副助阵位
4	7	46000	副助阵位
5	7	46000	副助阵位
6	7	46000	副助阵位
