level	showNode	showLine
阵灵等级	星星序列（数组形式）	星星路线（数组形式）
0	[13,11,5,6,7,8,1,2,3,4]	[19,20,14,15,16,9,10,11,12]
1	[3,4,5,6,7,12,11,13,9,1]	[12,13,14,15,24,3,19,18,17]
2	[3,10,9,1,8,7,12,13,11,5]	[21,1,17,9,16,24,23,19,20]
3	[3,10,9,1,8,7,6,5,11,13]	[21,1,17,9,16,15,14,20,19]
4	[13,9,10,11,12,7,8,1,2,3]	[18,1,2,3,24,16,9,10,11]
5	[13,9,1,8,7,6,5,4,3,2]	[18,17,9,16,15,14,13,12,11]
6	[7,8,1,2,3,10,9,13,11,5]	[16,9,10,11,21,1,18,19,20]
7	[7,12,13,11,5,4,3,10,9,1]	[24,23,19,20,13,12,21,1,17]
8	[7,12,9,1,2,3,4,5,11,13]	[24,4,17,10,11,12,13,20,19]
9	[13,11,10,9,12,7,6,5,4,3]	[19,2,1,4,24,15,14,13,12]
