ssId	gradeLevel	starLevel	canBreak	maxItemCnt	effGrade	gradePic	nextSSId	price	upgradeItem	otherItemCoding	needWarStationId	breakItem	skillState	attack_pt	attack_mt	maxhp_t	crit_t	critpress_t	parry_t	puncture_t	antibroken_t	notbroken_t	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce
阵灵ID	阶级	星级	是否突破	强化石使用上限	特效等级	阶级对应的图片	下一等级阵灵ID	神石购买单个道具价格	升星道具	可替用时效性道具coding	突破需要战魂ID	突破需要的(道具，数量，增加的进度,总共需要的进度)	技能状态[(skillId,skillLevel)]	物攻万分比属性	法攻万分比属性	生命万分比属性	暴击万分比属性	免暴万分比属性	格挡万分比属性	破挡万分比属性	破防万分比属性	免破万分比属性	生命	攻击速度	怒气	物攻	物防	法攻	法防	暴击	免暴	破防	免破	格挡	破挡	增伤	免伤
0	0	0	0	0	0	zhenling01	1	50	(28571,32)	28573	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	1	0	3	1	zhenling01	2	50	(28571,12)	28573	0			0	0	0	0	0	0	0	0	0	1880	0	0	500	0	500	0	100	100	50	50	100	100	0	0
2	0	2	0	4	1	zhenling01	3	50	(28571,14)	28573	0			0	0	0	0	0	0	0	0	0	2180	0	0	580	0	580	0	110	120	60	60	120	110	0	0
3	0	3	0	5	1	zhenling01	4	50	(28571,17)	28573	0			0	0	0	0	0	0	0	0	0	2480	0	0	660	0	660	0	120	140	70	70	140	120	0	0
4	0	4	0	6	1	zhenling01	5	50	(28571,20)	28573	0			0	0	0	0	0	0	0	0	0	2780	0	0	740	0	740	0	130	160	80	80	160	130	0	0
5	0	5	0	7	1	zhenling01	6	50	(28571,25)	28573	0			0	0	0	0	0	0	0	0	0	3080	0	0	820	0	820	0	140	180	90	90	180	140	0	0
6	0	6	0	8	1	zhenling01	7	50	(28571,27)	28573	0			0	0	0	0	0	0	0	0	0	3380	0	0	900	0	900	0	150	200	100	100	200	150	0	0
7	0	7	0	9	1	zhenling01	8	50	(28571,27)	28573	0			0	0	0	0	0	0	0	0	0	3680	0	0	980	0	980	0	160	220	110	110	220	160	0	0
8	0	8	0	10	1	zhenling01	9	50	(28571,27)	28573	0			0	0	0	0	0	0	0	0	0	3980	0	0	1060	0	1060	0	170	240	120	120	240	170	0	0
