name-name	n	ST_FightStatus	ST_Team	ST_InMirror	ST_InTeamMirror	ST_TP	ST_InCouplesFB	ST_InWedding	ST_WildBoss	ST_UnionFB	ST_Halloween	ST_JTGoToCross	ST_JTMatch	ST_MarryParty	ST_Zuma	ST_DailyFB	ST_DKCFight	ST_DukeOnDuty	ST_DemonDefense	ST_HunluanSpace	ST_GloryWar	ST_ClashOfTitans	ST_QiangHongBao	ST_Shenshumijing	ST_MDragonCome	ST_DeepHell
变量名-变量名(T:互相依赖，要进入下面某状态，必须先有右边某状态， F:互斥，不能同时存在,要进入下面某状态，必须不能有右边某状态)	状态名字	战斗状态	组队	单人非组队副本中	组队相关副本中	传送状态	是否在情缘副本中	是否在婚礼场景中	野外寻宝	是否在公会副本中	是否在万圣节宴会中	是否可以从本服到跨服组队竞技场	组队竞技场匹配中	结婚Party中	天天消龙珠游戏中	勇者试炼场中	龙骑试炼战斗	城主轮值	魔兽入侵	混乱时空	荣耀之战	诸神之战	抢红包	神数秘境	魔龙降临	深渊炼狱
ST_FightStatus	战斗状态	F	不相关	不相关	不相关	不相关	不相关	F	不相关	不相关	不相关	不相关	不相关	F	不相关	不相关	不相关	不相关	不相关	不相关	不相关	不相关	不相关	不相关	不相关	不相关
ST_Team	组队	F	F	F	不相关	不相关	F	F	不相关	不相关	不相关	不相关	F	F	F	F	F	F	F	F	F	F	F	不相关	F	不相关
ST_InMirror	单人非组队副本中	F	F	F	F	不相关	不相关	F	不相关	F	不相关	不相关	F	F	F	F	F	F	F	F	F	F	F	F	F	不相关
ST_InTeamMirror	组队相关副本中	F	T	F	不相关	不相关	F	F	不相关	F	不相关	不相关	F	F	F	F	F	F	F	F	F	F	F	F	F	不相关
ST_TP	传送状态	F	不相关	不相关	不相关	不相关	不相关	F	不相关	不相关	不相关	不相关	F	不相关	不相关	不相关	F	F	F	不相关	F	不相关	F	不相关	F	不相关
ST_InCouplesFB	是否在情缘副本中	F	F	不相关	不相关	不相关	不相关	F	不相关	F	不相关	不相关	F	F	不相关	F	F	F	F	F	F	F	F	F	F	不相关
ST_InWedding	是否在婚礼场景中	F	F	F	F	不相关	F	F	不相关	F	不相关	不相关	F	F	F	F	F	F	F	F	F	F	F	F	F	不相关
ST_WildBoss	野外寻宝	F	F	F	F	F	F	F	不相关	F	不相关	不相关	F	F	F	F	F	F	F	F	F	F	F	F	F	不相关
ST_UnionFB	是否在公会副本中	F	不相关	F	F	不相关	F	F	不相关	不相关	不相关	不相关	F	F	F	F	F	F	F	F	F	F	F	不相关	F	不相关
ST_Halloween	是否在万圣节宴会中	F	不相关	F	F	不相关	F	F	不相关	不相关	F	不相关	F	F	F	不相关	F	F	F	F	F	F	F	不相关	F	不相关
ST_JTGoToCross	是否可以从本服到跨服组队竞技场	F	F	F	F	不相关	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
ST_JTMatch	组队竞技场匹配中	F	不相关	F	F	不相关	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
ST_MarryParty	结婚Party中	F	F	F	F	不相关	F	F	不相关	F	不相关	不相关	F	F	F	F	F	F	F	F	F	F	F	F	F	不相关
ST_Zuma	天天消龙珠游戏中	F	不相关	不相关	不相关	不相关	不相关	不相关	不相关	不相关	不相关	不相关	不相关	不相关	不相关	不相关	F	F	F	F	F	F	F	不相关	F	不相关
ST_DailyFB	在在勇者试炼场中	F	F	F	F	不相关	F	F	不相关	不相关	不相关	不相关	F	F	F	不相关	F	F	F	F	F	F	F	不相关	F	不相关
ST_DKCFight	龙骑试炼战斗	F	F	F	F	不相关	F	F	F	F	F	F	F	F	F	F	不相关	F	F	F	F	F	F	F	F	F
ST_DukeOnDuty	城主轮值	F	F	F	F	不相关	F	F	F	F	F	F	F	F	F	F	F	不相关	F	F	F	F	F	F	F	F
ST_DemonDefense	魔兽入侵	F	F	F	F	不相关	F	F	F	F	F	F	F	F	F	F	F	F	不相关	F	F	F	F	F	F	F
ST_HunluanSpace	混乱时空	F	F	F	F	不相关	F	F	F	F	F	F	F	F	F	F	F	F	F	不相关	F	F	F	F	F	F
ST_GloryWar	荣耀之战	F	F	F	F	不相关	F	F	F	F	F	F	F	F	F	F	F	F	F	F	不相关	F	F	F	F	F
ST_ClashOfTitans	诸神之战	F	F	F	F	不相关	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	不相关	F	F	F	F
ST_QiangHongBao	抢红包	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
ST_Shenshumijing	神数秘境	F	不相关	F	F	不相关	F	F	不相关	不相关	不相关	不相关	F	F	F	F	F	F	F	F	F	F	F	不相关	F	不相关
ST_MDragonCome	魔龙降临	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	不相关	F
ST_DeepHell	深渊炼狱	F	F	F	F	F	F	F	不相关	F	不相关	不相关	F	F	F	F	F	F	F	F	F	F	F	F	F	不相关
