SkillResId	SkillRes	desc	spaceTrigger	targetDo	triggerFrame	catchRole	HurtEffect	FireCount	actiontype	SkillType	SkillTarget	SceneEffect	Time	MoveSpeed	Name	xuqiSkillEff	castskilleff	caseSkillEffTrigger	screeneff	hurtEff	back	is_shadow	bullet_length	isZhaoHuan
特效Id	技能资源	描述	技能间隔出发的时间，一个技能打多个目标，那么特效播放出来有间隔（单位：ms)	同一个目标有间隔时间	触发帧（如果是抓取玩家的那么就是在结束帧出发扣血（前端已处理结束帧），否则就是这个触发帧扣血）	是否抓取玩家	受击特效	受击次数	动作类型（0-普通攻击，1-施法动作1，2-施法动作2,3-施法动作3….）	技能类型(1:弹道 2：近身技能  3 ：远身技能)	群技能（1:群技能，2：目标技能）	场景效果（1:抖屏，2：黑屏，3：镜头，4：白屏）	场景特效()	弹道移动速度	技能名字资源	施法技能前的特效	释放技能时在人物中心点释放的特效	释放技能中心点特效触发帧	释放技能时在屏幕中心点释放的特效	受击是否泛白 和抖动（0 没有 1 有）	0不击退  1 小击退 2  大击退	移动是否有残影	子弹的长度	是否是召唤
1		英勇打击(剑士)						1	0	2	2	1	400	100	yingyongdaji	JianShiDaJiQian	JianShiDaJi	10		1	1	1		
2	ShenPanDanDao	审判（剑士）	400		10		ShenPanShouJi	1	1	1	2	1	400	60	shenpan		ShenPanShiFa	10		1	1	1	210	
3	JuLongTuXi	巨龙突袭（剑士）			21	1		1	1	3	2	1,2	400	100			LZPXJianShiShiFa	10	JuLongTuXiName	1	0	1		
4	jufu	正义风暴(剑士）			12			1	1	3	2	1	400	100	zhengyifengbao	JianShiDaJiQian		10		1	1	1		
5	HuiMieLongXi	毁灭龙息（剑士）			48			1	1	3	1	1,2	400	100			LZPXJianShiShiFa	10	HuiMieLongXiName	1	1	1		
6	LZPXShouJi	龙之咆哮（剑士）	400		12			1	1	3	2	1,2	400	100			LZPXJianShiShiFa	10	LongZhiPaoXiaoName	1	1	1		
7		灵魂降临（剑士）			10			1	1	3	1	1,2	400	100			LZPXJianShiShiFa	10	LingHunJiangLin	1	1	1		1
11		英勇打击(法师)						1	0	2	2	1	400	100	yingyongdaji	FaShiDaJiQian	FaShiDaJi	18		1	1	1		
12	ShenPanDanDao	审判（法师）	400		10		ShenPanShouJi	1	1	1	2	1	400	60	shenpan		ShenPanShiFa	10		1	1	1	210	
13	JuLongTuXi	巨龙突袭（法师）			21	1		1	1	3	2	1,2	400	100			LZPXFaShiShiFa	10	JuLongTuXiName	1	0	1		
14	jufu	正义风暴（法师）			12			1	1	3	2	1	400	100	zhengyifengbao	FaShiDaJiQian		10		1	1	1		
15	HuiMieLongXi	毁灭龙息（剑士）			48			1	1	3	1	1,2	400	100			LZPXFaShiShiFa	10	HuiMieLongXiName	1	1	1		
16	LZPXShouJi	龙之咆哮（法师）	400		12			1	1	3	2	1,2	400	100			LZPXFaShiShiFa	10	LongZhiPaoXiaoName	1	1	1		
17		灵魂降临（法师）			10			1	1	3	1	1,2	400	100			LZPXFaShiShiFa	10	LingHunJiangLin	1	1	1		1
18		英勇打击(剑士-时装)			10		SZJianShiDaJiShouJi	1	0	2	2	1	400	100	emoxueyuezhan	JianShiDaJiQian	SZJianShiDaJi	10		1	1	1		
19	SZShenPanDanDao	审判（剑士-时装）	400		10		SZShenPanShouJi	1	1	1	2	1	400	60	tianshishenpan		SZShenPanShiFa	10		1	1	1	210	
20		英勇打击(法师-时装)			10		SZJianShiDaJiShouJi	1	0	2	2	1	400	100	emoxueyuezhan	FaShiDaJiQian	SZJianShiDaJi	10		1	1	1		
21	SZShenPanDanDao	审判（法师-时装）	400		10		SZShenPanShouJi	1	1	1	2	1	400	60	tianshishenpan		SZShenPanShiFa	10		1	1	1	210	
22		骑士-急速冷却			18		JiSuLengQueShouJi	1	1	3	2		400	100	jisulengque	JianShiDaJiQian		10		0	0	0		
23		法师-急速冷却			18		JiSuLengQueShouJi	1	1	3	2		400	100	jisulengque	JianShiDaJiQian		10		0	0	0		
24	MoLongKuangXi	巨龙突袭（剑士-时装）			21	1		1	1	3	2	1,2	400	100			LZPXJianShiShiFa	10	MoLongKuangXiName	1	0	1		
25	xueyanliuxing	正义风暴(剑士-时装）			12			1	1	3	2	1	400	100	xueyanliuxing	JianShiDaJiQian		10		1	1	1		
26	MoLongKuangXi	巨龙突袭（法师-时装）			21	1		1	1	3	2	1,2	400	100			LZPXFaShiShiFa	10	MoLongKuangXiName	1	0	1		
27	xueyanliuxing	正义风暴（法师-时装）			12			1	1	3	2	1	400	100	xueyanliuxing	FaShiDaJiQian		10		1	1	1		
101	ShiFaKong	近战怪物普通攻击			12		TongYongShouJi	1	0	2	2		400	100				10		0	1	0		
102	target	远程怪物普通攻击			10		TongYongShouJi	1	0	3	2		400	100				10		0	1	0		
200		英雄普通攻击			10		TongYongShouJi	1	0	2	1		400	100		xuqi	xuqi	10		0	1	1		
201	TianKongSheShouJiNengShouJi	一星攻将主动技(月神箭)			10			1	1	3	2	1	400	100		JianShiDaJiQian		10		1	1	0		
202		一星辅将主动技(蝮蛇祝福)			10		JMYHShiFaShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
203	ShiFaKong	一星防将主动技(吸血攻击)			15		QiangBingShiFaShouJi	1	1	2	2		400	100		JianShiDaJiQian		10		1	1	0		
204		二星攻将主动技(恩赐解脱)			10		SiShenShiFaShouJi	1	1	3	2	1	400	100		JianShiDaJiQian		10		1	1	0		
205		二星辅将主动技(神圣护佑)			10		NJSShiFaShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
206	ShiFaKong	二星防将主动技(圣光护盾)			10		QiShiShiFaShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
207	XZJJShiFa	三星攻将主动技1(魂之挽歌)			30			1	1	2	1	1,2	400	100		JianShiDaJiQian		10		1	1	0		
208		三星攻将主动技2(剑刃风暴)			10		TaiYangShenShiFaShouJi	1	1	3	2	1	400	100		JianShiDaJiQian		10		1	1	0		
209	LeiShenShiFaShouJi	三星防将主动技(闪电风暴)			22			1	1	3	1	1,2	400	100		JianShiDaJiQian		10		1	1	0		
210	ShiFaKong	三星辅将主动技(鲜血护盾)			10		HongPaoNvWuShiFaShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
211	ZongShenZhiWangShiFaShouJi	四星攻将主动技1(神王之怒)			22			1	1	3	1	1	400	100		JianShiDaJiQian		10		1	1	0		
212	DaFaShiShiFaShouJi	四星攻将主动技2(光击阵)			8			1	1	3	2	1	400	100		JianShiDaJiQian		10		1	1	0		
213	ShiFaKong	四星防将主动技(灵魂盾击)			15		ZhanZhengZhiWangShiFaShouJi	1	1	2	2	1	400	100		JianShiDaJiQian		10		1	1	0		
214		四星辅将主动技(秘法回复)			10		HuanShuYaoJiShiFaShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
215	LieYanZhanShiShiFaShouJi	五星攻将主动技			15			1	1	3	1	1	400	100		JianShiDaJiQian		10		1	1	0		
