LiBaoID	SDType	Cnt	RealPrice	MoneyType	Items	RealItems	RewardMoney	RewardRMB	RewardBindRMB	LiBaoName
礼包ID	所属主题类型（关联CircleActivity.activeType）	限购数量	真实价格	0:充值,1：充值/奖励	礼包物品(客户端)	奖励物品	金币	奖励神石	魔晶	物品名称
1	204	4	1140	0	[(26450,20),(26047,100)]	[(26450,20)]	0	100	0	许愿小礼包
2	204	2	2230	0	[(26450,40),(26047,150)]	[(26450,40)]	0	150	0	许愿中礼包
3	204	1	4750	0	[(26450,100),(26047,200)]	[(26450,100)]	0	200	0	许愿大礼包
4	204	1	15000	0	[(26450,50),(26047,15000)]	[(26450,50)]	0	15000	0	许愿超级礼包
5	205	5	1345	0	[(26042,2),(25828,880000)]	[(26042,2)]	880000	0	0	占卜优惠礼包
6	205	2	3495	0	[(26042,5),(26047,495)]	[(26042,5)]	0	495	0	占卜返利小礼包
7	205	1	6595	0	[(26042,10),(26047,800)]	[(26042,10)]	0	800	0	占卜返利大礼包
8	207	1	12500	0	[(25837,100),(26047,10000),(27167,20)]	[(25837,100),(27167,20)]	0	10000	0	羽翼培养豪礼
9	207	10	695	0	[(25837,20),(25828,388000)]	[(25837,20)]	388000	0	0	羽翼培养小型礼包
10	207	2	1995	0	[(25837,30),(26047,495),(27167,5)]	[(25837,30),(27167,5)]	0	495	0	羽翼培养中型礼包
11	207	1	2995	0	[(25837,70),(26047,695),(27167,10)]	[(25837,70),(27167,10)]	0	695	0	羽翼培养大型礼包
12	211	1	10000	0	[(25600,150),(26047,8000),(27566,25)]	[(25600,150),(27566,25)]	0	8000	0	坐骑培养豪礼
13	211	20	195	0	[(25600,20)]	[(25600,20)]	0	0	0	坐骑培养礼包
14	211	10	995	0	[(25600,50),(26047,195),(27566,5)]	[(25600,50),(27566,5)]	0	195	0	坐骑培养大礼包
15	211	5	1995	0	[(25600,100),(25828,1880000),(27566,15)]	[(25600,100),(27566,15)]	1880000	0	0	坐骑培养返利礼包
