cardId	cardLevel	UnbindRMB	backstar	backcard
天赋卡类型	天赋卡等级	需要的神石数	分解返还的星魂数	返还的天赋卡类型（类型，数量）
1	1	0	(26341,300)	
1	2	20	(26341,100)	[(1,1)]
1	3	30	(26341,300)	[(1,1)]
1	4	40	(26341,700)	[(1,2)]
1	5	50	(26341,1500)	[(1,3)]
2	1	0	(26341,300)	
2	2	20	(26341,100)	[(2,1)]
2	3	30	(26341,300)	[(2,1)]
2	4	40	(26341,700)	[(2,2)]
2	5	50	(26341,1500)	[(2,3)]
3	1	0	(26341,300)	
3	2	20	(26341,100)	[(3,1)]
3	3	30	(26341,300)	[(3,1)]
3	4	40	(26341,700)	[(3,2)]
3	5	50	(26341,1500)	[(3,3)]
4	1	0	(26341,300)	
4	2	20	(26341,100)	[(4,1)]
4	3	30	(26341,300)	[(4,1)]
4	4	40	(26341,700)	[(4,2)]
4	5	50	(26341,1500)	[(4,3)]
5	1	0	(26341,300)	
5	2	20	(26341,100)	[(5,1)]
5	3	30	(26341,300)	[(5,1)]
5	4	40	(26341,700)	[(5,2)]
5	5	50	(26341,1500)	[(5,3)]
6	1	0	(26341,300)	
6	2	20	(26341,100)	[(6,1)]
6	3	30	(26341,300)	[(6,1)]
6	4	40	(26341,700)	[(6,2)]
6	5	50	(26341,1500)	[(6,3)]
7	1	0	(26341,300)	
7	2	20	(26341,100)	[(7,1)]
7	3	30	(26341,300)	[(7,1)]
7	4	40	(26341,700)	[(7,2)]
7	5	50	(26341,1500)	[(7,3)]
8	1	0	(26341,300)	
8	2	20	(26341,100)	[(8,1)]
8	3	30	(26341,300)	[(8,1)]
8	4	40	(26341,700)	[(8,2)]
8	5	50	(26341,1500)	[(8,3)]
9	1	0	(26341,300)	
9	2	20	(26341,100)	[(9,1)]
9	3	30	(26341,300)	[(9,1)]
9	4	40	(26341,700)	[(9,2)]
9	5	50	(26341,1500)	[(9,3)]
10	1	0	(26341,300)	
10	2	20	(26341,100)	[(10,1)]
10	3	30	(26341,300)	[(10,1)]
10	4	40	(26341,700)	[(10,2)]
10	5	50	(26341,1500)	[(10,3)]
11	1	0	(26341,300)	
11	2	20	(26341,100)	[(11,1)]
11	3	30	(26341,300)	[(11,1)]
11	4	40	(26341,700)	[(11,2)]
11	5	50	(26341,1500)	[(11,3)]
12	1	0	(26341,300)	
12	2	20	(26341,100)	[(12,1)]
12	3	30	(26341,300)	[(12,1)]
12	4	40	(26341,700)	[(12,2)]
12	5	50	(26341,1500)	[(12,3)]
13	1	0	(26341,300)	
13	2	20	(26341,100)	[(13,1)]
13	3	30	(26341,300)	[(13,1)]
13	4	40	(26341,700)	[(13,2)]
13	5	50	(26341,1500)	[(13,3)]
14	1	0	(26341,300)	
14	2	20	(26341,100)	[(14,1)]
14	3	30	(26341,300)	[(14,1)]
14	4	40	(26341,700)	[(14,2)]
14	5	50	(26341,1500)	[(14,3)]
15	1	0	(26341,300)	
15	2	20	(26341,100)	[(15,1)]
15	3	30	(26341,300)	[(15,1)]
15	4	40	(26341,700)	[(15,2)]
15	5	50	(26341,1500)	[(15,3)]
16	1	0	(26341,300)	
16	2	20	(26341,100)	[(16,1)]
16	3	30	(26341,300)	[(16,1)]
16	4	40	(26341,700)	[(16,2)]
16	5	50	(26341,1500)	[(16,3)]
17	1	0	(26341,300)	
17	2	20	(26341,100)	[(17,1)]
17	3	30	(26341,300)	[(17,1)]
17	4	40	(26341,700)	[(17,2)]
17	5	50	(26341,1500)	[(17,3)]
18	1	0	(26341,300)	
18	2	20	(26341,100)	[(18,1)]
18	3	30	(26341,300)	[(18,1)]
18	4	40	(26341,700)	[(18,2)]
18	5	50	(26341,1500)	[(18,3)]
19	1	0	(26341,300)	
